,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CVS200515P00027500,1585236484,27.5,0.36,0.0,0.31,0.0,0.0,,0,1.5234398828124998,False,REGULAR,USD
1,CVS200515P00030000,1586966214,30.0,0.08,0.0,0.26,0.0,0.0,7.0,0,1.3398470507812497,False,REGULAR,USD
2,CVS200515P00032500,1587059825,32.5,0.09,0.0,0.57,0.010000005,12.500008,10.0,0,1.3847687011718748,False,REGULAR,USD
3,CVS200515P00035000,1587135034,35.0,0.06,0.06,0.34,-0.06999999,-53.84615,4.0,0,1.171879140625,False,REGULAR,USD
4,CVS200515P00037500,1586894027,37.5,0.2,0.05,0.39,0.0,0.0,2.0,0,1.0703171484375003,False,REGULAR,USD
5,CVS200515P00040000,1587152681,40.0,0.2,0.11,0.37,-0.03999999,-16.666664,8.0,172,0.9707034179687499,False,REGULAR,USD
6,CVS200515P00042500,1587148741,42.5,0.28,0.19,0.33,-0.050000012,-15.151519,15.0,0,0.87500125,False,REGULAR,USD
7,CVS200515P00045000,1587148649,45.0,0.34,0.31,0.36,-0.13,-27.659575,21.0,1556,0.8125018749999999,False,REGULAR,USD
8,CVS200515P00047500,1587150787,47.5,0.46,0.41,0.76,-0.119999975,-20.689651,26.0,250,0.8129901513671874,False,REGULAR,USD
9,CVS200515P00050000,1587152832,50.0,0.57,0.48,0.59,-0.23000002,-28.750002,304.0,1662,0.6831086376953126,False,REGULAR,USD
10,CVS200515P00052500,1587153077,52.5,0.72,0.65,0.83,-0.37,-33.944954,87.0,870,0.6357458300781251,False,REGULAR,USD
11,CVS200515P00055000,1587152729,55.0,1.04,0.85,1.07,-0.47000003,-31.125828,195.0,5825,0.5744671459960937,False,REGULAR,USD
12,CVS200515P00057500,1587152367,57.5,1.5,1.3,1.51,-0.79999995,-34.782608,54.0,2921,0.5405319384765627,False,REGULAR,USD
13,CVS200515P00060000,1587152637,60.0,2.18,1.86,2.01,-1.0799999,-33.12883,188.0,3704,0.5039112109375,False,REGULAR,USD
14,CVS200515P00062500,1587151880,62.5,3.15,1.84,3.15,-1.6199999,-33.96226,52.0,10301,0.5129443237304687,False,REGULAR,USD
15,CVS200515P00065000,1587153327,65.0,4.15,3.95,4.75,-1.8299999,-30.602005,64.0,7714,0.5468795312500001,True,REGULAR,USD
16,CVS200515P00067500,1587140074,67.5,6.3,4.95,6.2,-2.5500002,-28.813559,3.0,0,0.5227098510742187,True,REGULAR,USD
17,CVS200515P00070000,1587149045,70.0,8.35,7.35,7.9,-2.5,-23.041473,43.0,2178,0.4978077563476563,True,REGULAR,USD
18,CVS200515P00072500,1586963175,72.5,13.6,8.55,10.4,0.0,0.0,2.0,0,0.58789474609375,True,REGULAR,USD
19,CVS200515P00075000,1587152685,75.0,12.5,10.8,12.95,-2.5699997,-17.053747,37.0,0,0.6796907031250001,True,REGULAR,USD
20,CVS200515P00077500,1586893800,77.5,16.5,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
21,CVS200515P00080000,1585577543,80.0,22.0,14.9,19.1,0.0,0.0,1.0,0,0.5751995605468749,True,REGULAR,USD
22,CVS200515P00082500,1584544746,82.5,25.99,25.2,27.85,0.0,0.0,1.0,0,1.9013676806640625,True,REGULAR,USD
23,CVS200515P00085000,1586807840,85.0,25.47,19.7,24.1,0.0,0.0,1.0,0,0.63867548828125,True,REGULAR,USD
24,CVS200515P00090000,1586807840,90.0,30.44,24.7,29.4,0.0,0.0,1.0,0,0.8037129003906249,True,REGULAR,USD
25,CVS200515P00100000,1584740517,100.0,43.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
