,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KMI200515P00007000,1586971553,7.0,0.04,0.0,0.12,0.0,0.0,1.0,0,1.5234398828124998,False,REGULAR,USD
1,KMI200515P00008000,1587051456,8.0,0.06,0.0,0.08,-0.02,-25.0,2.0,523,1.1953165234375,False,REGULAR,USD
2,KMI200515P00009000,1587147308,9.0,0.08,0.0,0.16,0.0,0.0,1.0,0,1.1328168359375002,False,REGULAR,USD
3,KMI200515P00010000,1586369401,10.0,0.13,0.0,0.2,0.0,0.0,1.0,0,0.9804689453125001,False,REGULAR,USD
4,KMI200515P00011000,1587144229,11.0,0.18,0.1,0.35,-0.09,-33.333336,3.0,0,0.98437515625,False,REGULAR,USD
5,KMI200515P00012000,1587130513,12.0,0.3,0.16,0.32,-0.099999994,-24.999998,2.0,634,0.79101771484375,False,REGULAR,USD
6,KMI200515P00013000,1587151987,13.0,0.48,0.34,0.56,-0.16,-25.0,16.0,1520,0.7685570019531252,False,REGULAR,USD
7,KMI200515P00014000,1587138094,14.0,0.75,0.58,0.92,-0.26,-25.742573,46.0,1461,0.7334011035156249,False,REGULAR,USD
8,KMI200515P00015000,1587149052,15.0,1.25,0.86,1.12,-0.29999995,-19.354837,8.0,591,0.5898478515625001,True,REGULAR,USD
9,KMI200515P00016000,1587147308,16.0,1.83,0.98,1.89,-0.00999999,-0.5434777,1.0,0,0.7675804492187501,True,REGULAR,USD
10,KMI200515P00017000,1586968422,17.0,3.15,1.64,3.15,0.0,0.0,1.0,0,0.6210975390625001,True,REGULAR,USD
11,KMI200515P00018000,1585576619,18.0,5.0,2.26,4.2,0.0,0.0,11.0,0,0.6171913281250001,True,REGULAR,USD
12,KMI200515P00019000,1586973066,19.0,5.05,2.13,4.95,0.0,0.0,6.0,0,1.3027378613281246,True,REGULAR,USD
13,KMI200515P00020000,1586192026,20.0,6.2,3.15,7.4,0.0,0.0,2.0,0,0.88476677734375,True,REGULAR,USD
14,KMI200515P00023000,1585840435,23.0,9.8,6.1,10.8,0.0,0.0,,0,1.3437532812499997,True,REGULAR,USD
