,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UPS200515P00050000,1586969194,50.0,0.53,0.02,0.85,0.0,0.0,2.0,0,1.46484642578125,False,REGULAR,USD
1,UPS200515P00060000,1587053483,60.0,0.6,0.08,0.53,-0.049999952,-7.6923003,780.0,0,1.0625046875000002,False,REGULAR,USD
2,UPS200515P00065000,1586287416,65.0,0.8,0.05,4.6,0.0,0.0,,0,1.5078149609375,False,REGULAR,USD
3,UPS200515P00070000,1586880496,70.0,0.65,0.01,1.16,0.0,0.0,1.0,0,0.9082040429687499,False,REGULAR,USD
4,UPS200515P00075000,1587061646,75.0,0.75,0.5,1.18,-0.100000024,-11.7647085,9.0,0,0.8437515624999999,False,REGULAR,USD
5,UPS200515P00080000,1587146375,80.0,1.05,0.7,0.99,-0.25,-19.23077,37.0,0,0.7072783178710937,False,REGULAR,USD
6,UPS200515P00085000,1587149155,85.0,1.3,0.11,4.65,-0.5,-27.777779,20.0,0,0.8188494677734374,False,REGULAR,USD
7,UPS200515P00087500,1587151707,87.5,1.63,0.0,2.0,-0.84000003,-34.0081,19.0,0,0.5361374511718751,False,REGULAR,USD
8,UPS200515P00090000,1587151055,90.0,1.92,1.14,2.0,-0.8000001,-29.411766,46.0,0,0.5524947094726562,False,REGULAR,USD
9,UPS200515P00092500,1587153018,92.5,2.2,2.0,5.5,-1.3499999,-38.028164,10.0,0,0.7277859252929688,False,REGULAR,USD
10,UPS200515P00095000,1587152682,95.0,2.0,1.1,3.25,-2.1599998,-51.923073,16.0,0,0.585941640625,False,REGULAR,USD
11,UPS200515P00097500,1587140836,97.5,4.4,2.7,6.5,-0.3800001,-7.9497924,1.0,0,0.6254920263671876,False,REGULAR,USD
12,UPS200515P00100000,1587151322,100.0,4.59,3.65,6.1,-1.6099997,-25.967737,12.0,0,0.5498091894531252,False,REGULAR,USD
13,UPS200515P00105000,1587153299,105.0,6.07,3.5,7.75,-2.5399995,-29.500576,81.0,0,0.5725140405273439,True,REGULAR,USD
14,UPS200515P00110000,1587044785,110.0,10.93,6.5,11.15,-1.4200001,-11.497976,2.0,0,0.5905802661132813,True,REGULAR,USD
15,UPS200515P00115000,1586792237,115.0,15.34,10.1,15.45,0.0,0.0,1.0,0,0.6543003320312502,True,REGULAR,USD
16,UPS200515P00120000,1586277385,120.0,23.19,14.5,19.4,0.0,0.0,1.0,0,0.6506382592773439,True,REGULAR,USD
17,UPS200515P00140000,1585239372,140.0,44.0,34.5,39.2,0.0,0.0,,0,0.9653323779296875,True,REGULAR,USD
