,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,USB200515C00025000,1586375403,25.0,11.1,10.05,10.75,0.0,0.0,31,0,0.9335944140625,True,REGULAR,USD
1,USB200515C00027500,1586367860,27.5,8.25,8.0,8.05,0.0,0.0,100,0,0.7949239257812499,True,REGULAR,USD
2,USB200515C00030000,1587142773,30.0,5.45,5.55,5.9,-1.25,-18.656717,15,449,0.6669955175781253,True,REGULAR,USD
3,USB200515C00032500,1587152149,32.5,3.76,3.75,3.95,0.78999996,26.599323,36,653,0.63086306640625,True,REGULAR,USD
4,USB200515C00035000,1587152902,35.0,2.21,2.09,2.4,0.64,40.764328,339,2367,0.5727581787109376,True,REGULAR,USD
5,USB200515C00037500,1587152911,37.5,1.1,1.08,1.18,0.40000004,57.142864,941,1325,0.532231240234375,False,REGULAR,USD
6,USB200515C00040000,1587150434,40.0,0.45,0.45,0.5,0.21,87.5,225,2577,0.5009815527343751,False,REGULAR,USD
7,USB200515C00042500,1587150440,42.5,0.17,0.1,0.19,0.060000002,54.545456,26,1934,0.49414568359375005,False,REGULAR,USD
8,USB200515C00045000,1587053095,45.0,0.04,0.04,0.09,-0.010000002,-20.000004,29,1561,0.5136767382812499,False,REGULAR,USD
9,USB200515C00047500,1587152332,47.5,0.04,0.01,0.08,0.0,0.0,3,0,0.5351608984375,False,REGULAR,USD
10,USB200515C00050000,1586889638,50.0,0.02,0.0,0.08,0.0,0.0,51,0,0.5976602734375001,False,REGULAR,USD
11,USB200515C00052500,1585759432,52.5,0.03,0.0,0.06,0.0,0.0,111,0,0.64062859375,False,REGULAR,USD
12,USB200515C00055000,1586969555,55.0,0.02,0.0,0.03,0.0,0.0,33,0,0.648441015625,False,REGULAR,USD
13,USB200515C00057500,1587136491,57.5,0.01,0.0,0.06,0.0,0.0,2,0,0.7578149218750001,False,REGULAR,USD
14,USB200515C00060000,1585840965,60.0,0.01,0.0,0.07,0.0,0.0,1,0,0.8320329296874999,False,REGULAR,USD
15,USB200515C00065000,1584643316,65.0,0.02,0.0,0.07,0.0,0.0,1,0,0.937500625,False,REGULAR,USD
