,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WMT200515C00065000,1586266726,65.0,60.8,64.7,68.95,0.0,0.0,1,0,1.867676442871094,True,REGULAR,USD
1,WMT200515C00070000,1586368655,70.0,50.92,60.35,64.6,0.0,0.0,26,0,1.2089883300781248,True,REGULAR,USD
2,WMT200515C00075000,1586971180,75.0,53.88,54.75,59.4,0.0,0.0,64,0,1.6430681909179685,True,REGULAR,USD
3,WMT200515C00080000,1586267492,80.0,44.0,49.7,54.4,0.0,0.0,1,0,1.491457620849609,True,REGULAR,USD
4,WMT200515C00085000,1585322274,85.0,25.61,44.7,49.4,0.0,0.0,1,0,1.3481477905273436,True,REGULAR,USD
5,WMT200515C00090000,1587047235,90.0,38.75,39.7,43.7,1.0499992,2.7851439,28,24,1.090092440185547,True,REGULAR,USD
6,WMT200515C00095000,1587134083,95.0,35.65,35.65,39.6,1.4800034,4.331295,3,0,0.735354208984375,True,REGULAR,USD
7,WMT200515C00100000,1587062231,100.0,30.6,31.25,35.0,1.1499996,3.9049222,5,0,0.7524438818359375,True,REGULAR,USD
8,WMT200515C00105000,1587130434,105.0,25.57,26.2,30.5,7.869999,44.46327,1,94,0.6860382958984376,True,REGULAR,USD
9,WMT200515C00110000,1587149902,110.0,21.1,21.9,23.0,2.75,14.986375,3,0,0.5271043383789062,True,REGULAR,USD
10,WMT200515C00115000,1587152690,115.0,17.95,16.65,18.5,3.8100004,26.94484,14,934,0.49561051269531253,True,REGULAR,USD
11,WMT200515C00120000,1587152765,120.0,12.7,12.5,13.65,2.79,28.153381,136,5318,0.40491317749023437,True,REGULAR,USD
12,WMT200515C00125000,1587153451,125.0,8.45,8.7,9.1,1.7999997,27.067665,396,2921,0.3315496533203125,True,REGULAR,USD
13,WMT200515C00130000,1587153535,130.0,5.1,5.2,5.6,1.3499999,36.0,548,7241,0.30811238769531246,True,REGULAR,USD
14,WMT200515C00135000,1587153591,135.0,2.7,2.66,2.9,0.85,45.945946,1350,4825,0.2834544311523437,False,REGULAR,USD
15,WMT200515C00140000,1587153587,140.0,1.28,1.23,1.31,0.42999995,50.588226,1420,2368,0.27295648925781246,False,REGULAR,USD
16,WMT200515C00145000,1587153508,145.0,0.53,0.49,0.6,0.099999964,23.255806,384,1467,0.2795482202148437,False,REGULAR,USD
17,WMT200515C00150000,1587153592,150.0,0.31,0.25,0.31,0.060000002,24.0,616,2816,0.2973703076171874,False,REGULAR,USD
18,WMT200515C00155000,1587153366,155.0,0.16,0.12,0.21,-0.010000005,-5.882356,143,931,0.32910827148437494,False,REGULAR,USD
19,WMT200515C00160000,1587153413,160.0,0.11,0.11,0.13,-0.030000001,-21.428572,42,747,0.3505924316406249,False,REGULAR,USD
20,WMT200515C00165000,1587153386,165.0,0.1,0.07,0.1,0.0,0.0,122,274,0.38184211914062494,False,REGULAR,USD
21,WMT200515C00170000,1587152486,170.0,0.08,0.01,0.27,-0.010000005,-11.111116,15,129,0.49658706542968756,False,REGULAR,USD
