,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BKNG200522C01285000,1586146070,1285.0,140.0,211.5,229.0,0.0,0.0,,0,0.5969736347961427,True,REGULAR,USD
1,BKNG200522C01310000,1586201266,1310.0,135.0,194.0,208.0,0.0,0.0,,0,0.5882151774597169,True,REGULAR,USD
2,BKNG200522C01325000,1586201266,1325.0,126.0,182.0,196.0,0.0,0.0,,0,0.5775036146545411,True,REGULAR,USD
3,BKNG200522C01330000,1586751120,1330.0,208.3,178.5,192.5,0.0,0.0,,0,0.5770153382873535,True,REGULAR,USD
4,BKNG200522C01380000,1586791204,1380.0,114.5,142.5,156.5,0.0,0.0,,10,0.5538985040283204,True,REGULAR,USD
5,BKNG200522C01395000,1586792333,1395.0,140.0,132.0,147.5,0.0,0.0,,0,0.5494734994506837,True,REGULAR,USD
6,BKNG200522C01400000,1586185637,1400.0,75.7,129.0,144.5,0.0,0.0,1.0,0,0.5490462576293947,True,REGULAR,USD
7,BKNG200522C01405000,1587067192,1405.0,100.0,125.5,141.9,3.0,3.0927835,2.0,1,0.5480849635314944,True,REGULAR,USD
8,BKNG200522C01410000,1587045311,1410.0,137.67,122.5,136.5,32.67,31.114283,1.0,0,0.540211507110596,True,REGULAR,USD
9,BKNG200522C01415000,1586968313,1415.0,106.8,119.0,133.0,0.0,0.0,,1,0.5362442616271974,True,REGULAR,USD
10,BKNG200522C01420000,1586979529,1420.0,104.5,115.5,130.0,0.0,0.0,,1,0.5335282243347168,True,REGULAR,USD
11,BKNG200522C01425000,1587130459,1425.0,128.2,112.5,126.5,26.899994,26.554781,1.0,1,0.5306061954498291,True,REGULAR,USD
12,BKNG200522C01430000,1586751125,1430.0,142.6,109.5,123.5,0.0,0.0,,0,0.5288972281646729,True,REGULAR,USD
13,BKNG200522C01435000,1586444805,1435.0,107.0,106.5,120.5,0.0,0.0,2.0,0,0.5269670106506348,True,REGULAR,USD
14,BKNG200522C01440000,1587058964,1440.0,79.31,103.5,118.5,-31.690002,-28.549553,1.0,5,0.5276231320190431,True,REGULAR,USD
15,BKNG200522C01450000,1587146537,1450.0,105.0,100.5,109.0,30.0,40.0,1.0,22,0.5212450219726561,True,REGULAR,USD
16,BKNG200522C01455000,1586873237,1455.0,82.0,98.0,106.5,0.0,0.0,,6,0.5212145046997069,True,REGULAR,USD
17,BKNG200522C01500000,1586889997,1500.0,65.0,73.0,81.5,0.0,0.0,1.0,0,0.5201921760559083,False,REGULAR,USD
18,BKNG200522C01510000,1586875180,1510.0,69.83,68.5,78.5,0.0,0.0,,2,0.5263642945098878,False,REGULAR,USD
19,BKNG200522C01570000,1586890027,1570.0,37.5,42.5,51.5,0.0,0.0,,1,0.4944813735961915,False,REGULAR,USD
20,BKNG200522C01600000,1586200570,1600.0,17.0,32.5,41.5,0.0,0.0,,0,0.48578395080566406,False,REGULAR,USD
21,BKNG200522C01650000,1587061536,1650.0,12.5,18.5,28.0,-6.0,-32.43243,1.0,0,0.47200540206909175,False,REGULAR,USD
22,BKNG200522C01680000,1586461570,1680.0,13.96,12.5,22.5,0.0,0.0,1.0,0,0.47090678024291993,False,REGULAR,USD
23,BKNG200522C01700000,1587152237,1700.0,13.8,9.0,19.0,3.1000004,28.971968,110.0,1,0.467153155670166,False,REGULAR,USD
24,BKNG200522C01710000,1586461930,1710.0,12.1,7.0,17.5,0.0,0.0,16.0,0,0.46602401657104503,False,REGULAR,USD
25,BKNG200522C01750000,1586453839,1750.0,9.0,3.1,12.5,-0.8999996,-9.090905,9.0,0,0.46225513336181645,False,REGULAR,USD
26,BKNG200522C01900000,1586968908,1900.0,1.75,1.1,3.2,0.0,0.0,,6,0.4545952978515625,False,REGULAR,USD
