,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG200522C01090000,1586266317,1090.0,157.64,200.0,210.0,0.0,0.0,2.0,0.0,0.5348709843444823,True,REGULAR,USD
1,GOOG200522C01095000,1585935937,1095.0,73.7,195.5,204.5,0.0,0.0,2.0,0.0,0.5190935542297364,True,REGULAR,USD
2,GOOG200522C01100000,1585937535,1100.0,65.84,191.0,200.0,0.0,0.0,2.0,0.0,0.5144091528320311,True,REGULAR,USD
3,GOOG200522C01105000,1586962125,1105.0,162.78,187.0,197.0,0.0,0.0,,2.0,0.5253801124572754,True,REGULAR,USD
4,GOOG200522C01110000,1586879839,1110.0,162.83,182.0,190.5,0.0,0.0,2.0,0.0,0.49927258544921876,True,REGULAR,USD
5,GOOG200522C01115000,1585923284,1115.0,82.0,178.5,188.5,0.0,0.0,1.0,0.0,0.5195360546875,True,REGULAR,USD
6,GOOG200522C01135000,1585924796,1135.0,59.25,160.5,170.5,0.0,0.0,2.0,0.0,0.49573258178710944,True,REGULAR,USD
7,GOOG200522C01140000,1585934557,1140.0,54.7,157.0,167.0,0.0,0.0,4.0,0.0,0.49846387771606443,True,REGULAR,USD
8,GOOG200522C01145000,1586289008,1145.0,94.7,153.0,163.0,0.0,0.0,,0.0,0.4962818927001954,True,REGULAR,USD
9,GOOG200522C01150000,1586289006,1150.0,94.0,148.5,156.5,0.0,0.0,1.0,0.0,0.47192910888671874,True,REGULAR,USD
10,GOOG200522C01160000,1586791991,1160.0,83.8,140.0,150.0,0.0,0.0,1.0,0.0,0.47961946166992186,True,REGULAR,USD
11,GOOG200522C01165000,1586289014,1165.0,82.6,137.0,147.0,0.0,0.0,,0.0,0.4846395530700684,True,REGULAR,USD
12,GOOG200522C01175000,1587066029,1175.0,116.45,129.0,139.0,38.85,50.064434,1.0,0.0,0.47720859710693364,True,REGULAR,USD
13,GOOG200522C01180000,1586795873,1180.0,71.78,125.5,135.5,0.0,0.0,9.0,0.0,0.47697971755981444,True,REGULAR,USD
14,GOOG200522C01185000,1586279845,1185.0,74.0,121.5,130.5,0.0,0.0,2.0,0.0,0.4649253947448731,True,REGULAR,USD
15,GOOG200522C01190000,1586802354,1190.0,66.44,118.0,128.0,0.0,0.0,8.0,0.0,0.471684970703125,True,REGULAR,USD
16,GOOG200522C01200000,1586883764,1200.0,104.4,110.5,120.5,0.0,0.0,1.0,0.0,0.4651847915649414,True,REGULAR,USD
17,GOOG200522C01210000,1586801502,1210.0,56.94,103.5,113.4,0.0,0.0,1.0,0.0,0.4603935797119141,True,REGULAR,USD
18,GOOG200522C01220000,1586452702,1220.0,61.9,96.5,106.0,0.0,0.0,2.0,0.0,0.45227598510742195,True,REGULAR,USD
19,GOOG200522C01230000,1587134159,1230.0,93.81,91.3,98.2,28.159996,42.894127,1.0,6.0,0.44031321411132807,True,REGULAR,USD
20,GOOG200522C01240000,1586270284,1240.0,44.25,83.0,92.5,0.0,0.0,,0.0,0.44125924957275386,True,REGULAR,USD
21,GOOG200522C01245000,1586958686,1245.0,66.15,80.0,89.5,0.0,0.0,,2.0,0.44016062774658204,True,REGULAR,USD
22,GOOG200522C01250000,1587066860,1250.0,73.0,77.0,86.5,0.0,0.0,1.0,5.0,0.4387110572814942,True,REGULAR,USD
23,GOOG200522C01255000,1587066773,1255.0,68.0,73.5,83.5,-0.45999908,-0.6719239,2.0,2.0,0.4368952795410156,True,REGULAR,USD
24,GOOG200522C01260000,1586190578,1260.0,20.87,70.0,79.1,0.0,0.0,,0.0,0.425710699005127,True,REGULAR,USD
25,GOOG200522C01265000,1587053653,1265.0,66.26,67.5,76.2,-4.6399994,-6.5444274,4.0,2.0,0.42388729194641117,True,REGULAR,USD
26,GOOG200522C01270000,1586882159,1270.0,49.8,64.5,73.3,0.0,0.0,1.0,0.0,0.4216976776123047,True,REGULAR,USD
27,GOOG200522C01275000,1587075678,1275.0,54.9,62.0,71.5,54.9,,,1.0,0.42613794082641604,True,REGULAR,USD
28,GOOG200522C01280000,1586375723,1280.0,52.3,59.0,69.0,7.700001,17.264576,1.0,3.0,0.4257259576416016,True,REGULAR,USD
29,GOOG200522C01295000,1587153573,1295.0,55.0,51.0,60.8,55.0,-1964.2863,1.0,1.0,0.41789064781188956,False,REGULAR,USD
30,GOOG200522C01300000,1587140696,1300.0,53.25,48.5,57.1,15.650002,41.622345,2.0,0.0,0.40843792251586913,False,REGULAR,USD
31,GOOG200522C01310000,1586966600,1310.0,37.0,44.0,53.2,0.0,0.0,1.0,0.0,0.41048257980346675,False,REGULAR,USD
32,GOOG200522C01320000,1586202606,1320.0,12.0,39.0,48.4,0.0,0.0,,0.0,0.4053099020385742,False,REGULAR,USD
33,GOOG200522C01330000,1586890989,1330.0,35.4,35.0,44.0,0.0,0.0,1.0,0.0,0.40112903564453123,False,REGULAR,USD
34,GOOG200522C01340000,1587058145,1340.0,28.21,31.0,39.7,17.52,163.8915,1.0,2.0,0.39598687515258796,False,REGULAR,USD
35,GOOG200522C01350000,1587058145,1350.0,25.0,27.4,35.8,6.200001,32.97873,2.0,2.0,0.3918517846679687,False,REGULAR,USD
36,GOOG200522C01360000,1586966338,1360.0,17.8,24.1,32.1,0.0,0.0,,4.0,0.3873962628173828,False,REGULAR,USD
37,GOOG200522C01370000,1587151504,1370.0,24.5,21.2,28.8,5.8999996,31.720427,3.0,2.0,0.38403936279296874,False,REGULAR,USD
38,GOOG200522C01390000,1587152713,1390.0,19.0,16.0,22.8,9.0,90.0,1.0,1.0,0.37662366546630854,False,REGULAR,USD
39,GOOG200522C01400000,1587152991,1400.0,16.5,13.8,20.2,3.0,22.222223,5.0,0.0,0.3733735758972168,False,REGULAR,USD
40,GOOG200522C01410000,1586202605,1410.0,2.3,11.8,17.8,0.0,0.0,,0.0,0.37000141723632807,False,REGULAR,USD
41,GOOG200522C01420000,1587047300,1420.0,9.41,10.1,15.7,4.41,88.2,2.0,2.0,0.3674532249450684,False,REGULAR,USD
42,GOOG200522C01430000,1586882159,1430.0,6.98,8.6,13.8,0.0,0.0,1.0,0.0,0.3650118431091309,False,REGULAR,USD
