,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AXP200529P00065000,1587142397,65.0,1.69,0.06,4.65,-0.8599999,-33.725487,3.0,4.0,0.9523930541992187,False,REGULAR,USD
1,AXP200529P00070000,1587060453,70.0,2.5,0.6,4.75,-0.1500001,-5.660381,1.0,13.0,0.8283708569335937,False,REGULAR,USD
2,AXP200529P00075000,1587142397,75.0,3.41,2.36,3.5,-0.43999982,-11.428567,14.0,2.0,0.6914093359375001,False,REGULAR,USD
3,AXP200529P00080000,1587134055,80.0,5.0,1.96,5.7,0.8000002,19.047625,1.0,6.0,0.6110878735351564,False,REGULAR,USD
4,AXP200529P00088000,1586883541,88.0,8.1,4.9,9.4,0.0,0.0,,2.0,0.5773968041992188,True,REGULAR,USD
5,AXP200529P00088500,1586806363,88.5,6.5,5.45,9.45,0.0,0.0,,10.0,0.579105771484375,True,REGULAR,USD
6,AXP200529P00090000,1586442341,90.0,5.0,6.3,10.15,0.0,0.0,10.0,0.0,0.5709271423339843,True,REGULAR,USD
7,AXP200529P00090500,1586875776,90.5,8.55,6.8,10.95,0.0,0.0,,1.0,0.6004678625488282,True,REGULAR,USD
8,AXP200529P00091000,1586964001,91.0,11.65,6.85,11.4,0.0,0.0,,1.0,0.59570716796875,True,REGULAR,USD
9,AXP200529P00094000,1587132097,94.0,11.8,8.4,12.95,2.8000002,31.111113,1.0,,0.5609174768066407,True,REGULAR,USD
