,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CAT210618P00050000,1587064639,50.0,2.0,0.75,2.73,-0.6500001,-24.528305,1.0,3,0.5665326550292968,False,REGULAR,USD
1,CAT210618P00060000,1584740768,60.0,5.25,0.0,0.0,0.0,0.0,,0,0.12500875,False,REGULAR,USD
2,CAT210618P00065000,1586966278,65.0,4.0,3.0,4.35,0.0,0.0,1.0,0,0.5180101910400392,False,REGULAR,USD
3,CAT210618P00070000,1586282964,70.0,3.5,2.85,5.2,0.0,0.0,160.0,0,0.5300339965820313,False,REGULAR,USD
4,CAT210618P00075000,1586452188,75.0,4.0,3.85,6.05,0.0,0.0,2.0,0,0.5080615600585938,False,REGULAR,USD
5,CAT210618P00080000,1586804701,80.0,6.69,4.75,7.15,0.0,0.0,2.0,0,0.49207050903320315,False,REGULAR,USD
6,CAT210618P00085000,1586268786,85.0,6.45,6.0,8.3,0.0,0.0,4.0,0,0.4744315252685547,False,REGULAR,USD
7,CAT210618P00090000,1586807562,90.0,9.1,7.25,9.45,0.0,0.0,2.0,0,0.45407650421142576,False,REGULAR,USD
8,CAT210618P00095000,1586282964,95.0,8.25,8.45,11.25,0.0,0.0,160.0,0,0.4475763250732422,False,REGULAR,USD
9,CAT210618P00100000,1586886361,100.0,11.65,10.25,13.1,0.0,0.0,5.0,0,0.43814648773193365,False,REGULAR,USD
10,CAT210618P00105000,1587145928,105.0,13.9,11.95,14.85,-12.1,-46.538464,1.0,12,0.4229183685302734,False,REGULAR,USD
11,CAT210618P00110000,1585756821,110.0,17.59,14.15,17.15,0.0,0.0,10.0,0,0.4163266375732422,False,REGULAR,USD
12,CAT210618P00115000,1587134220,115.0,19.4,16.4,19.55,1.3500004,7.4792266,2.0,0,0.40808697387695314,False,REGULAR,USD
13,CAT210618P00120000,1585252325,120.0,28.8,18.85,22.25,0.0,0.0,1.0,0,0.4024717956542969,True,REGULAR,USD
14,CAT210618P00125000,1586371957,125.0,18.8,21.85,25.2,0.0,0.0,1.0,0,0.3982909292602539,True,REGULAR,USD
15,CAT210618P00130000,1586786257,130.0,25.75,25.0,28.3,0.0,0.0,1.0,0,0.39374385559082037,True,REGULAR,USD
16,CAT210618P00135000,1586442281,135.0,23.94,28.95,31.8,0.0,0.0,2.0,0,0.39395747650146484,True,REGULAR,USD
17,CAT210618P00140000,1586356782,140.0,29.85,31.6,35.15,0.0,0.0,1.0,0,0.3880676428222656,True,REGULAR,USD
18,CAT210618P00150000,1572286499,150.0,26.25,24.05,25.3,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
19,CAT210618P00155000,1584729949,155.0,63.35,42.95,47.1,0.0,0.0,8.0,76,0.39362178649902346,True,REGULAR,USD
20,CAT210618P00160000,1583852085,160.0,62.86,40.35,41.85,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD
21,CAT210618P00165000,1585296299,165.0,47.39,54.8,57.1,0.0,0.0,40.0,0,0.43286699951171875,True,REGULAR,USD
22,CAT210618P00180000,1585296299,180.0,50.1,68.45,71.0,0.0,0.0,,1,0.45831840515136724,True,REGULAR,USD
23,CAT210618P00185000,1582002098,185.0,54.85,87.65,92.2,0.0,0.0,,1,0.7730430410766601,True,REGULAR,USD
24,CAT210618P00210000,1585338077,210.0,106.35,93.65,98.2,0.0,0.0,,0,0.4643608251953125,True,REGULAR,USD
25,CAT210618P00220000,1584549334,220.0,124.45,105.9,107.9,0.0,0.0,,32,0.4776053216552735,True,REGULAR,USD
