,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,VZ200717P00030000,1587148471,30.0,0.05,0.0,0.11,0.020000001,66.66667,42,0,0.5976602734375001,False,REGULAR,USD
1,VZ200717P00035000,1586357126,35.0,0.2,0.01,0.21,0.0,0.0,1,0,0.523442265625,False,REGULAR,USD
2,VZ200717P00040000,1587063760,40.0,0.35,0.16,0.34,0.049999982,16.66666,10,0,0.5009815527343751,False,REGULAR,USD
3,VZ200717P00041000,1585845036,41.0,0.48,0.0,0.49,0.0,0.0,1,0,0.51758294921875,False,REGULAR,USD
4,VZ200717P00042000,1586969860,42.0,0.47,0.18,0.54,0.02000001,4.4444466,1,398,0.5019581054687501,False,REGULAR,USD
5,VZ200717P00043000,1586459320,43.0,0.52,0.27,0.53,0.0,0.0,5,0,0.471684970703125,False,REGULAR,USD
6,VZ200717P00044000,1587141068,44.0,0.49,0.1,0.57,-0.029999971,-5.7692256,2,0,0.45313046875,False,REGULAR,USD
7,VZ200717P00045000,1587063760,45.0,0.65,0.42,0.7,0.099999964,18.18181,20,0,0.45166563964843753,False,REGULAR,USD
8,VZ200717P00046000,1586440621,46.0,0.76,0.22,0.71,0.0,0.0,2,0,0.42529871582031253,False,REGULAR,USD
9,VZ200717P00047000,1586890803,47.0,0.71,0.29,0.8,0.0,0.0,10,0,0.41260353027343744,False,REGULAR,USD
10,VZ200717P00048000,1587141068,48.0,0.81,0.65,0.89,-0.100000024,-10.989014,2,0,0.398443515625,False,REGULAR,USD
11,VZ200717P00049000,1587148704,49.0,0.92,0.76,1.0,-0.029999971,-3.1578918,2,265,0.38550419189453117,False,REGULAR,USD
12,VZ200717P00050000,1587145007,50.0,1.02,0.8,1.12,-0.30000007,-22.727278,38,1559,0.3723207299804688,False,REGULAR,USD
13,VZ200717P00052500,1587138372,52.5,1.46,1.06,1.52,-0.28999996,-16.571426,77,3110,0.34229173339843744,False,REGULAR,USD
14,VZ200717P00055000,1587148398,55.0,2.13,1.65,2.05,-0.39999986,-15.81027,58,3519,0.3112861840820312,False,REGULAR,USD
15,VZ200717P00057500,1587144393,57.5,2.95,2.37,2.87,-0.5899999,-16.666664,36,864,0.2884592639160155,False,REGULAR,USD
16,VZ200717P00060000,1587138225,60.0,4.15,3.7,4.5,-0.65999985,-13.721411,17,787,0.3122627368164062,True,REGULAR,USD
17,VZ200717P00062500,1587053155,62.5,6.54,4.9,6.1,0.7399998,12.7586155,1,0,0.3107979077148437,True,REGULAR,USD
18,VZ200717P00065000,1583523754,65.0,10.69,8.5,12.5,0.0,0.0,24,82,0.5496871203613283,True,REGULAR,USD
19,VZ200717P00067500,1587148398,67.5,10.3,9.15,10.2,0.8000002,8.421055,1,16,0.33814138427734375,True,REGULAR,USD
20,VZ200717P00070000,1579192905,70.0,10.81,10.65,13.85,0.0,0.0,23,33,0.5124560473632812,True,REGULAR,USD
21,VZ200717P00075000,1584713382,75.0,23.52,16.65,17.45,0.0,0.0,1,2,0.437505625,True,REGULAR,USD
