,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WFC200717P00015000,1587148573,15.0,0.33,0.13,0.39,0.0,0.0,128.0,417,0.85742330078125,False,REGULAR,USD
1,WFC200717P00017500,1587144403,17.5,0.54,0.54,0.59,-0.029999971,-5.263153,24.0,308,0.8378922460937499,False,REGULAR,USD
2,WFC200717P00020000,1587148287,20.0,0.91,0.82,0.9,0.04000002,4.597704,11.0,1359,0.7592797509765626,False,REGULAR,USD
3,WFC200717P00022500,1587150183,22.5,1.34,1.15,1.39,-0.049999952,-3.597119,19.0,1750,0.6850617431640625,False,REGULAR,USD
4,WFC200717P00025000,1587153071,25.0,1.95,1.9,2.12,-0.14999986,-7.142851,23.0,2791,0.6506382592773439,False,REGULAR,USD
5,WFC200717P00027500,1587153498,27.5,3.0,2.87,3.1,-0.099999905,-3.2258034,365.0,5027,0.6147499462890625,False,REGULAR,USD
6,WFC200717P00030000,1587153454,30.0,4.3,4.2,4.5,-0.049999714,-1.1494187,31.0,4847,0.6010782080078126,True,REGULAR,USD
7,WFC200717P00032500,1587064706,32.5,7.18,5.55,6.2,1.31,22.316864,7.0,0,0.56836369140625,True,REGULAR,USD
8,WFC200717P00035000,1587133759,35.0,8.2,7.7,8.15,0.25,3.1446543,2.0,3511,0.5927775097656252,True,REGULAR,USD
9,WFC200717P00037500,1587148175,37.5,10.39,9.6,10.4,0.28999996,2.8712866,3.0,0,0.5898478515625001,True,REGULAR,USD
10,WFC200717P00040000,1587148678,40.0,12.65,11.9,12.6,0.25,2.0161293,2.0,3054,0.6010782080078126,True,REGULAR,USD
11,WFC200717P00042500,1587131042,42.5,14.5,14.35,15.0,-0.3000002,-2.0270283,1.0,5362,0.6450230810546875,True,REGULAR,USD
12,WFC200717P00045000,1587066400,45.0,18.68,16.9,17.55,1.3800011,7.9768853,2.0,8857,0.7216824707031251,True,REGULAR,USD
13,WFC200717P00047500,1587062175,47.5,21.07,19.25,20.0,1.8199997,9.454544,1.0,0,0.743166630859375,True,REGULAR,USD
14,WFC200717P00050000,1587062175,50.0,23.55,21.85,22.5,1.6199989,7.387136,3.0,1660,0.8120135986328124,True,REGULAR,USD
15,WFC200717P00052500,1587152743,52.5,24.75,24.3,25.0,0.37000084,1.517641,10.0,2509,0.850587431640625,True,REGULAR,USD
16,WFC200717P00055000,1586890969,55.0,25.45,26.7,27.35,0.0,0.0,72.0,0,0.842775009765625,True,REGULAR,USD
17,WFC200717P00057500,1586889572,57.5,27.8,29.2,29.85,0.0,0.0,52.0,0,0.883790224609375,True,REGULAR,USD
18,WFC200717P00060000,1586889614,60.0,30.25,31.7,32.45,0.0,0.0,6.0,0,0.9443364941406249,True,REGULAR,USD
19,WFC200717P00062500,1586880339,62.5,32.75,34.3,34.95,0.0,0.0,2.0,0,1.0029346728515625,True,REGULAR,USD
20,WFC200717P00070000,1584458218,70.0,41.25,43.3,43.95,0.0,0.0,,0,1.5585959570312498,True,REGULAR,USD
