,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JPM210917P00045000,1587060268,45.0,3.0,2.15,2.76,0.20000005,7.142859,1.0,119,0.5401657312011721,False,REGULAR,USD
1,JPM210917P00050000,1587142901,50.0,3.19,2.71,3.5,-0.01999998,-0.62305236,30.0,41,0.5147143255615234,False,REGULAR,USD
2,JPM210917P00055000,1586179813,55.0,4.1,3.5,4.7,0.0,0.0,1.0,0,0.5022022436523439,False,REGULAR,USD
3,JPM210917P00060000,1586970352,60.0,5.55,4.2,5.75,0.0,0.0,2.0,0,0.5094043200683593,False,REGULAR,USD
4,JPM210917P00065000,1587143315,65.0,6.3,5.1,6.95,-3.38,-34.917355,30.0,0,0.4908498181152344,False,REGULAR,USD
5,JPM210917P00070000,1587144516,70.0,7.7,6.4,8.6,-0.40000057,-4.938278,45.0,0,0.48254911987304694,False,REGULAR,USD
6,JPM210917P00075000,1587144073,75.0,9.2,8.15,9.7,0.09000015,0.9879271,86.0,0,0.4533135723876953,False,REGULAR,USD
7,JPM210917P00080000,1587144403,80.0,11.0,9.55,11.55,-0.05000019,-0.4524904,119.0,0,0.4420221813964844,False,REGULAR,USD
8,JPM210917P00085000,1587130306,85.0,14.32,11.75,13.55,2.3199997,19.333332,58.0,0,0.43005941040039064,False,REGULAR,USD
9,JPM210917P00090000,1587067126,90.0,18.0,13.75,15.85,1.7999992,11.111106,1.0,50,0.42105681488037117,False,REGULAR,USD
10,JPM210917P00095000,1586803581,95.0,13.5,16.05,18.85,0.0,0.0,2.0,0,0.4237118176269531,False,REGULAR,USD
11,JPM210917P00100000,1586444940,100.0,17.25,18.85,21.05,0.0,0.0,12.0,0,0.403875590209961,True,REGULAR,USD
12,JPM210917P00105000,1586893801,105.0,22.75,21.6,24.15,0.0,0.0,65.0,0,0.4002135174560547,True,REGULAR,USD
13,JPM210917P00110000,1586893801,110.0,22.45,24.65,27.4,0.0,0.0,30.0,0,0.3959105819702149,True,REGULAR,USD
14,JPM210917P00115000,1586788996,115.0,26.7,27.8,30.95,0.0,0.0,2.0,0,0.39453730468750003,True,REGULAR,USD
15,JPM210917P00120000,1586969525,120.0,35.79,31.6,34.45,0.0,0.0,2.0,0,0.3885559191894531,True,REGULAR,USD
16,JPM210917P00125000,1586272217,125.0,38.5,35.45,38.35,0.0,0.0,4.0,0,0.38843385009765624,True,REGULAR,USD
17,JPM210917P00130000,1586275466,130.0,41.45,39.1,42.45,0.0,0.0,2.0,0,0.390203851928711,True,REGULAR,USD
18,JPM210917P00135000,1586789196,135.0,41.2,43.25,46.7,0.0,0.0,2.0,0,0.3930724755859375,True,REGULAR,USD
19,JPM210917P00140000,1586879501,140.0,49.1,47.55,51.1,0.0,0.0,4.0,0,0.39752799743652345,True,REGULAR,USD
20,JPM210917P00145000,1586879686,145.0,53.75,52.0,55.5,0.0,0.0,,1,0.4000304138183594,True,REGULAR,USD
21,JPM210917P00155000,1586879596,155.0,63.4,61.15,64.85,0.0,0.0,2.0,0,0.4154111193847656,True,REGULAR,USD
22,JPM210917P00160000,1586882231,160.0,66.25,65.85,69.9,0.0,0.0,,0,0.43231768859863284,True,REGULAR,USD
23,JPM210917P00165000,1586890579,165.0,72.35,70.35,74.1,0.0,0.0,,0,0.4226131958007812,True,REGULAR,USD
24,JPM210917P00170000,1575642854,170.0,40.36,38.05,38.9,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
25,JPM210917P00175000,1584038055,175.0,90.9,72.1,76.2,0.0,0.0,4.0,47,1.0000000000000003e-05,True,REGULAR,USD
26,JPM210917P00180000,1586196320,180.0,93.45,85.2,88.85,0.0,0.0,6.0,0,0.45404598693847653,True,REGULAR,USD
27,JPM210917P00185000,1586186384,185.0,99.4,90.1,93.7,0.0,0.0,,0,0.4610039251708985,True,REGULAR,USD
28,JPM210917P00190000,1584038096,190.0,105.35,86.7,90.5,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
29,JPM210917P00195000,1586790513,195.0,99.0,99.95,103.45,0.0,0.0,2.0,0,0.4749198016357422,True,REGULAR,USD
30,JPM210917P00200000,1580757964,200.0,67.4,84.95,87.1,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
