,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BLK200918C00300000,1586787462,300.0,167.0,173.5,189.5,0.0,0.0,,2,0.5116015637207032,True,REGULAR,USD
1,BLK200918C00340000,1585145277,340.0,81.27,138.7,154.0,0.0,0.0,,0,0.6085549398803712,True,REGULAR,USD
2,BLK200918C00350000,1585067738,350.0,62.1,129.5,142.7,0.0,0.0,2.0,0,0.5551344535827638,True,REGULAR,USD
3,BLK200918C00360000,1584970900,360.0,44.66,121.0,136.5,0.0,0.0,,0,0.5701947277832031,True,REGULAR,USD
4,BLK200918C00390000,1584553027,390.0,39.5,101.9,113.8,0.0,0.0,,0,0.5453078916931153,True,REGULAR,USD
5,BLK200918C00400000,1586787571,400.0,86.0,93.1,99.0,0.0,0.0,2.0,0,0.45807426696777354,True,REGULAR,USD
6,BLK200918C00410000,1587045682,410.0,70.72,86.6,95.5,39.72,128.12904,2.0,1,0.4885305053710938,True,REGULAR,USD
7,BLK200918C00420000,1586356441,420.0,65.0,78.4,88.5,0.0,0.0,2.0,0,0.4800009275817871,True,REGULAR,USD
8,BLK200918C00430000,1585770376,430.0,43.5,74.3,81.0,0.0,0.0,1.0,0,0.4648948774719239,True,REGULAR,USD
9,BLK200918C00440000,1586182449,440.0,48.32,66.0,74.2,0.0,0.0,4.0,0,0.4543816769409179,True,REGULAR,USD
10,BLK200918C00450000,1587135508,450.0,65.61,59.5,67.8,18.310001,38.71036,54.0,0,0.4453333055114746,True,REGULAR,USD
11,BLK200918C00460000,1585943574,460.0,34.2,53.6,63.0,0.0,0.0,2.0,0,0.4476068423461914,True,REGULAR,USD
12,BLK200918C00470000,1586460743,470.0,52.11,48.5,58.0,0.0,0.0,1.0,0,0.4456842541503906,True,REGULAR,USD
13,BLK200918C00480000,1586370122,480.0,47.9,42.8,48.0,14.800003,44.713,1.0,0,0.40071705245971684,False,REGULAR,USD
14,BLK200918C00490000,1586459662,490.0,40.2,41.5,44.0,0.0,0.0,1.0,0,0.4025633474731446,False,REGULAR,USD
15,BLK200918C00500000,1586442522,500.0,37.9,35.7,41.7,3.1000023,8.908052,1.0,0,0.41571629211425776,False,REGULAR,USD
16,BLK200918C00510000,1587133729,510.0,34.0,30.3,37.4,9.25,37.373737,2.0,0,0.41036051071166996,False,REGULAR,USD
17,BLK200918C00520000,1586976349,520.0,19.16,25.6,33.5,0.0,0.0,1.0,0,0.40596602340698246,False,REGULAR,USD
18,BLK200918C00530000,1587132720,530.0,28.09,21.5,30.0,7.09,33.761906,1.0,0,0.40259386474609377,False,REGULAR,USD
19,BLK200918C00540000,1587132720,540.0,24.08,19.6,26.7,10.34,75.25473,1.0,0,0.3986571365356446,False,REGULAR,USD
20,BLK200918C00550000,1587137113,550.0,19.82,14.9,21.1,9.12,85.23365,1.0,0,0.3718019363403321,False,REGULAR,USD
21,BLK200918C00560000,1585160040,560.0,10.0,13.7,22.5,0.0,0.0,1.0,0,0.4056455920410156,False,REGULAR,USD
22,BLK200918C00570000,1585751303,570.0,4.4,11.4,18.6,0.0,0.0,2.0,0,0.38945617874145505,False,REGULAR,USD
23,BLK200918C00580000,1587151565,580.0,11.6,9.1,13.0,2.33,25.13484,6.0,0,0.35170631210327147,False,REGULAR,USD
24,BLK200918C00590000,1584973610,590.0,4.9,6.5,16.0,0.0,0.0,10.0,40,0.400671276550293,False,REGULAR,USD
25,BLK200918C00600000,1583525513,600.0,3.36,2.15,8.2,0.0,0.0,4.0,11,0.3288030987548828,False,REGULAR,USD
26,BLK200918C00620000,1587148472,620.0,6.6,4.0,10.7,2.6999998,69.23077,1.0,10,0.39053954193115237,False,REGULAR,USD
27,BLK200918C00640000,1585244626,640.0,2.7,1.1,7.6,0.0,0.0,2.0,0,0.3779969427490234,False,REGULAR,USD
28,BLK200918C00660000,1582052308,660.0,5.3,4.1,4.9,0.0,0.0,3.0,0,0.3600527862548828,False,REGULAR,USD
29,BLK200918C00680000,1580932316,680.0,2.0,0.05,4.8,0.0,0.0,4.0,0,0.381567463684082,False,REGULAR,USD
30,BLK200918C00700000,1585684623,700.0,0.8,0.15,2.6,0.0,0.0,88.0,0,0.35382726257324215,False,REGULAR,USD
31,BLK200918C00720000,1586877762,720.0,1.0,0.0,7.5,0.0,0.0,1.0,0,0.4738516970825196,False,REGULAR,USD
