,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,EMR200918P00023000,1586802356,23.0,0.75,0.5,0.65,0.0,0.0,4.0,0,0.8300798242187499,False,REGULAR,USD
1,EMR200918P00025000,1585333773,25.0,1.35,0.6,1.05,0.0,0.0,2.0,0,0.8256853369140623,False,REGULAR,USD
2,EMR200918P00030000,1587049237,30.0,1.5,1.05,1.5,0.0,0.0,18.0,91,0.7358424853515625,False,REGULAR,USD
3,EMR200918P00035000,1587152569,35.0,1.85,1.8,2.05,-0.5500001,-22.916668,5.0,287,0.659183095703125,False,REGULAR,USD
4,EMR200918P00040000,1587147298,40.0,3.1,2.7,3.4,-0.5300002,-14.600555,20.0,819,0.6130409790039064,False,REGULAR,USD
5,EMR200918P00045000,1587065505,45.0,5.8,3.9,4.7,0.4000001,7.4074087,91.0,552,0.5455367712402344,False,REGULAR,USD
6,EMR200918P00050000,1587130471,50.0,6.6,6.1,6.8,-0.6300001,-8.713695,40.0,249,0.5180712255859375,False,REGULAR,USD
7,EMR200918P00052500,1587132156,52.5,7.8,7.2,8.4,1.3000002,20.000004,2.0,0,0.5100146655273439,True,REGULAR,USD
8,EMR200918P00055000,1586457126,55.0,8.6,8.2,9.7,0.0,0.0,193.0,0,0.5334519311523438,True,REGULAR,USD
9,EMR200918P00057500,1586441479,57.5,8.7,10.1,11.3,0.0,0.0,4.0,0,0.5246629565429688,True,REGULAR,USD
10,EMR200918P00060000,1585678922,60.0,11.4,11.6,12.9,0.0,0.0,1.0,0,0.5065967309570312,True,REGULAR,USD
11,EMR200918P00062500,1585070322,62.5,21.3,13.5,14.9,0.0,0.0,6.0,46,0.5124560473632812,True,REGULAR,USD
12,EMR200918P00065000,1584026749,65.0,18.7,14.6,16.4,0.0,0.0,15.0,32,0.4643608251953125,True,REGULAR,USD
13,EMR200918P00067500,1584631897,67.5,18.2,17.6,19.0,0.0,0.0,40.0,0,0.5119677709960937,True,REGULAR,USD
14,EMR200918P00070000,1587141960,70.0,21.44,19.9,21.4,2.4400005,12.842109,1.0,0,0.5373581420898439,True,REGULAR,USD
15,EMR200918P00072500,1583348803,72.5,9.36,27.2,28.2,0.0,0.0,2.0,16,0.9057626611328125,True,REGULAR,USD
16,EMR200918P00075000,1584545957,75.0,34.65,25.8,26.8,0.0,0.0,1.0,8,0.5908244042968751,True,REGULAR,USD
17,EMR200918P00077500,1585069055,77.5,34.4,27.3,28.5,0.0,0.0,5.0,0,0.5083056982421875,True,REGULAR,USD
18,EMR200918P00080000,1585296273,80.0,14.2,33.9,35.1,0.0,0.0,,0,0.9487309814453124,True,REGULAR,USD
