,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,T200918P00015000,1587152291,15.0,0.19,0.17,0.33,-0.060000002,-24.0,5.0,83,0.72070591796875,False,REGULAR,USD
1,T200918P00016000,1586871012,16.0,0.24,0.04,0.36,0.0,0.0,,11,0.6347692773437501,False,REGULAR,USD
2,T200918P00017000,1587052548,17.0,0.31,0.07,0.31,0.0,0.0,1.0,1,0.57812921875,False,REGULAR,USD
3,T200918P00018000,1587131877,18.0,0.33,0.12,0.4,-0.01999998,-5.7142806,1.0,0,0.569340244140625,False,REGULAR,USD
4,T200918P00019000,1587062700,19.0,0.45,0.28,0.36,0.099999994,28.571426,736.0,6426,0.5493209130859377,False,REGULAR,USD
5,T200918P00020000,1587045791,20.0,0.55,0.34,0.55,0.00999999,1.85185,6.0,1577,0.5488326367187502,False,REGULAR,USD
6,T200918P00021000,1587054706,21.0,0.65,0.33,0.54,0.06999999,12.068965,74.0,226,0.5302781347656251,False,REGULAR,USD
7,T200918P00022000,1587052987,22.0,0.74,0.47,0.7,0.09000003,13.846159,139.0,241,0.5249070947265625,False,REGULAR,USD
8,T200918P00023000,1587049497,23.0,0.87,0.5,0.75,0.030000031,3.5714324,174.0,799,0.48779809082031256,False,REGULAR,USD
9,T200918P00024000,1587064925,24.0,1.02,0.53,0.94,0.029999971,3.0303001,18.0,145,0.47998566894531247,False,REGULAR,USD
10,T200918P00025000,1587145857,25.0,0.98,0.7,1.0,-0.23000002,-19.008265,11.0,3234,0.4419001123046875,False,REGULAR,USD
11,T200918P00026000,1587152953,26.0,1.13,0.95,1.2,-0.28999996,-20.422533,56.0,463,0.4272518212890626,False,REGULAR,USD
12,T200918P00027000,1587150428,27.0,1.39,1.07,1.48,-0.32000005,-18.713453,27.0,765,0.42017181396484377,False,REGULAR,USD
13,T200918P00028000,1587152884,28.0,1.6,1.39,1.75,-0.41999996,-20.792078,8.0,4300,0.4057676611328125,False,REGULAR,USD
14,T200918P00029000,1587153168,29.0,1.88,1.64,2.01,-0.5500001,-22.633747,2.0,961,0.38477177734374995,False,REGULAR,USD
15,T200918P00030000,1587153498,30.0,2.22,2.13,2.42,-0.6099999,-21.554766,62.0,8256,0.3786683227539062,False,REGULAR,USD
16,T200918P00031000,1587138504,31.0,2.87,2.56,2.81,-0.3800001,-11.692311,30.0,0,0.3635317553710938,False,REGULAR,USD
17,T200918P00032000,1587133591,32.0,3.35,2.95,3.3,-0.45000005,-11.842107,93.0,7308,0.35474278076171867,True,REGULAR,USD
18,T200918P00033000,1587058111,33.0,4.52,3.55,3.85,0.099999905,2.2624412,4.0,0,0.3469303588867187,True,REGULAR,USD
19,T200918P00034000,1587153069,34.0,4.26,4.2,4.45,-0.9899998,-18.857138,394.0,0,0.3386296606445312,True,REGULAR,USD
20,T200918P00035000,1587140736,35.0,5.3,4.9,5.2,-0.5999999,-10.16949,43.0,19330,0.3437565625,True,REGULAR,USD
21,T200918P00036000,1587140969,36.0,6.1,5.65,5.9,-1.25,-17.006802,182.0,6416,0.335944140625,True,REGULAR,USD
22,T200918P00037000,1587145408,37.0,6.9,6.45,7.0,-0.6500001,-8.609273,3.0,4950,0.3815979809570312,True,REGULAR,USD
23,T200918P00038000,1587152438,38.0,7.7,7.3,7.7,-0.8500004,-9.941525,154.0,3884,0.36499658447265626,True,REGULAR,USD
24,T200918P00039000,1587064828,39.0,9.45,8.15,8.6,0.67999935,7.753698,3.0,794,0.37500625,True,REGULAR,USD
25,T200918P00040000,1586373908,40.0,10.75,9.2,9.7,0.0,0.0,2.0,0,0.41699801757812494,True,REGULAR,USD
26,T200918P00041000,1585848198,41.0,13.7,10.1,10.5,0.0,0.0,12.0,0,0.405279384765625,True,REGULAR,USD
27,T200918P00042000,1585939913,42.0,15.55,11.05,11.55,0.0,0.0,2.0,0,0.4370173486328125,True,REGULAR,USD
28,T200918P00043000,1587065211,43.0,13.25,12.0,12.55,0.0,0.0,14.0,71,0.45825737060546884,True,REGULAR,USD
29,T200918P00044000,1587137692,44.0,13.55,13.05,13.4,-0.5,-3.5587187,45.0,0,0.44873598144531246,True,REGULAR,USD
30,T200918P00045000,1587065271,45.0,15.25,14.05,14.45,0.14999962,0.99337494,195.0,193,0.47852083984375,True,REGULAR,USD
31,T200918P00046000,1587137404,46.0,15.55,15.05,15.35,-0.05000019,-0.32051402,1.0,66,0.47510290527343746,True,REGULAR,USD
32,T200918P00047000,1587135432,47.0,16.5,16.05,16.45,-0.6499996,-3.7900853,138.0,135,0.5151415673828125,True,REGULAR,USD
33,T200918P00048000,1587134496,48.0,17.4,17.05,17.4,-0.80000114,-4.3956103,10.0,287,0.5214891601562499,True,REGULAR,USD
34,T200918P00049000,1587134497,49.0,18.4,18.05,18.3,-0.70000076,-3.6649253,55.0,722,0.514653291015625,True,REGULAR,USD
