,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COST201016P00145000,1586271410,145.0,0.5,0.0,1.26,0.0,0.0,2.0,0,0.5463912548828126,False,REGULAR,USD
1,COST201016P00150000,1586960907,150.0,0.68,0.48,0.91,0.0,0.0,1.0,0,0.5329636547851562,False,REGULAR,USD
2,COST201016P00155000,1584977677,155.0,2.12,0.11,1.48,0.0,0.0,2.0,0,0.5230760583496092,False,REGULAR,USD
3,COST201016P00160000,1584742322,160.0,3.1,0.63,1.93,0.0,0.0,49.0,0,0.5456588403320313,False,REGULAR,USD
4,COST201016P00165000,1584721807,165.0,3.65,0.32,1.77,0.0,0.0,,52,0.5051319018554687,False,REGULAR,USD
5,COST201016P00170000,1584640294,170.0,5.5,0.44,1.93,0.0,0.0,31.0,0,0.5452926330566408,False,REGULAR,USD
6,COST201016P00175000,1584559743,175.0,7.95,1.03,1.47,0.0,0.0,,12,0.49561051269531253,False,REGULAR,USD
7,COST201016P00180000,1587049743,180.0,1.37,0.71,1.72,-0.8000001,-36.86636,1.0,19,0.4903615417480469,False,REGULAR,USD
8,COST201016P00185000,1584376736,185.0,3.6,0.99,2.01,0.0,0.0,,27,0.4857229162597656,False,REGULAR,USD
9,COST201016P00190000,1583951266,190.0,8.15,1.41,4.4,0.0,0.0,,11,0.50586431640625,False,REGULAR,USD
10,COST201016P00195000,1587063156,195.0,2.1,1.15,2.9,0.099999905,4.999995,10.0,0,0.4845022253417969,False,REGULAR,USD
11,COST201016P00200000,1587056524,200.0,2.22,1.55,3.2,0.06999993,3.2558105,9.0,46,0.47522497436523436,False,REGULAR,USD
12,COST201016P00210000,1587141156,210.0,2.75,0.95,4.55,-0.52,-15.902141,9.0,0,0.47748325256347657,False,REGULAR,USD
13,COST201016P00220000,1587055078,220.0,3.81,3.15,4.25,0.15999985,4.3835573,3.0,62,0.4270076831054688,False,REGULAR,USD
14,COST201016P00225000,1586186822,225.0,5.47,2.3,5.05,0.0,0.0,16.0,0,0.42819785675048827,False,REGULAR,USD
15,COST201016P00230000,1586874521,230.0,4.81,2.73,5.1,0.0,0.0,4.0,0,0.4088804229736328,False,REGULAR,USD
16,COST201016P00235000,1586978754,235.0,5.5,2.7,6.65,-0.34000015,-5.8219204,10.0,0,0.42407802490234375,False,REGULAR,USD
17,COST201016P00240000,1587146672,240.0,5.6,4.15,6.7,-0.86000013,-13.3126955,11.0,60,0.4039366247558594,False,REGULAR,USD
18,COST201016P00245000,1587058733,245.0,6.3,4.75,7.2,-0.23999977,-3.6697214,3.0,40,0.39313351013183595,False,REGULAR,USD
19,COST201016P00250000,1587130819,250.0,7.1,5.8,7.55,-0.5,-6.5789475,4.0,0,0.37879039184570307,False,REGULAR,USD
20,COST201016P00255000,1587131809,255.0,7.5,6.65,8.1,-1.3800001,-15.540542,1.0,0,0.36780417358398443,False,REGULAR,USD
21,COST201016P00260000,1587132837,260.0,8.42,7.25,9.1,-1.3000002,-13.374487,2.0,0,0.36377589355468753,False,REGULAR,USD
22,COST201016P00265000,1587048590,265.0,9.85,8.45,10.35,-1.0499992,-9.633021,5.0,39,0.362311064453125,False,REGULAR,USD
23,COST201016P00270000,1587052453,270.0,10.55,9.35,10.85,-0.39999962,-3.6529646,6.0,256,0.34778484252929687,False,REGULAR,USD
24,COST201016P00275000,1587048577,275.0,12.1,9.55,13.1,-1.8999996,-13.571426,5.0,163,0.35806916351318363,False,REGULAR,USD
25,COST201016P00280000,1587063427,280.0,12.87,11.55,13.2,-2.13,-14.200001,3.0,260,0.33609672698974613,False,REGULAR,USD
26,COST201016P00285000,1587140016,285.0,14.8,12.85,14.15,-0.2699995,-1.7916358,2.0,68,0.3253546469116211,False,REGULAR,USD
27,COST201016P00290000,1587139453,290.0,15.93,14.1,16.25,-2.5699997,-13.891891,75.0,35,0.32831482238769527,False,REGULAR,USD
28,COST201016P00295000,1587153341,295.0,16.65,14.9,18.45,-2.4799995,-12.96393,2.0,24,0.33055784194946286,False,REGULAR,USD
29,COST201016P00300000,1587147458,300.0,19.42,17.15,19.55,-1.5799999,-7.5238094,106.0,94,0.31781688049316403,False,REGULAR,USD
30,COST201016P00305000,1587132209,305.0,20.55,18.9,21.9,-2.75,-11.802576,3.0,0,0.3186103295898437,False,REGULAR,USD
31,COST201016P00310000,1586957656,310.0,24.25,20.4,24.15,0.0,0.0,3.0,0,0.3165656723022461,False,REGULAR,USD
32,COST201016P00315000,1587053027,315.0,24.5,22.8,26.3,-4.049999,-14.185637,7.0,49,0.3118354949951171,False,REGULAR,USD
33,COST201016P00320000,1587051487,320.0,27.27,24.75,28.75,-3.5299988,-11.461035,21.0,110,0.3089668713378906,True,REGULAR,USD
34,COST201016P00325000,1586878755,325.0,33.01,27.05,31.0,0.0,0.0,20.0,0,0.302314105834961,True,REGULAR,USD
35,COST201016P00330000,1585841248,330.0,52.4,30.1,34.05,0.0,0.0,29.0,0,0.3030465203857422,True,REGULAR,USD
36,COST201016P00335000,1585850408,335.0,58.05,32.95,36.75,0.0,0.0,12.0,0,0.2983010844421386,True,REGULAR,USD
37,COST201016P00340000,1585835073,340.0,61.8,35.75,39.55,0.0,0.0,1.0,0,0.2930978894042968,True,REGULAR,USD
38,COST201016P00345000,1585841290,345.0,64.15,39.0,43.1,0.0,0.0,12.0,0,0.29492892578124996,True,REGULAR,USD
39,COST201016P00350000,1587153341,350.0,44.25,42.35,46.1,-4.5,-9.230769,1.0,0,0.2888407298278808,True,REGULAR,USD
