,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABT201120C00040000,1587130407,40.0,56.15,55.65,57.0,15.150002,36.95122,6,0,0.5986368261718751,True,REGULAR,USD
1,ABT201120C00050000,1586194605,50.0,32.0,45.8,47.4,0.0,0.0,1,0,0.5183153637695312,True,REGULAR,USD
2,ABT201120C00055000,1585056603,55.0,16.15,41.0,42.75,0.0,0.0,10,0,0.5905802661132813,True,REGULAR,USD
3,ABT201120C00060000,1585939889,60.0,21.9,36.3,38.1,0.0,0.0,1,0,0.5456588403320313,True,REGULAR,USD
4,ABT201120C00062500,1587057510,62.5,34.97,33.85,36.0,10.970001,45.708336,1,0,0.5393112475585939,True,REGULAR,USD
5,ABT201120C00065000,1587045559,65.0,30.34,31.55,33.5,7.299999,31.684023,8,4,0.5024463818359376,True,REGULAR,USD
6,ABT201120C00067500,1587060592,67.5,30.7,29.4,31.3,0.0,0.0,6,4,0.48633326171875,True,REGULAR,USD
7,ABT201120C00070000,1587151790,70.0,27.57,26.8,29.2,4.17,17.820513,2,349,0.47449255981445315,True,REGULAR,USD
8,ABT201120C00072500,1587045519,72.5,25.5,24.95,27.1,5.799999,29.44162,3,0,0.4606377178955079,True,REGULAR,USD
9,ABT201120C00075000,1586454724,75.0,23.25,22.95,24.95,5.450001,30.617983,1,19,0.442388388671875,True,REGULAR,USD
10,ABT201120C00077500,1587054365,77.5,21.05,21.45,22.85,3.1499996,17.597763,1,0,0.42517664672851563,True,REGULAR,USD
11,ABT201120C00080000,1587130611,80.0,19.44,19.0,21.1,4.4400005,29.600004,2,158,0.42188078125,True,REGULAR,USD
12,ABT201120C00082500,1587149748,82.5,17.6,16.85,19.25,3.7000008,26.61871,2,0,0.4112607702636719,True,REGULAR,USD
13,ABT201120C00085000,1587149748,85.0,15.87,15.55,17.15,3.87,32.25,6,68,0.3883117810058594,True,REGULAR,USD
14,ABT201120C00087500,1587132475,87.5,14.7,13.8,15.85,3.3999996,30.08849,1,53,0.3942321319580079,True,REGULAR,USD
15,ABT201120C00090000,1587152817,90.0,13.11,12.5,14.25,3.1099997,31.099997,20,181,0.3853821228027343,True,REGULAR,USD
16,ABT201120C00092500,1587150030,92.5,11.3,11.35,12.05,2.6599998,30.787033,27,40,0.35278967529296873,True,REGULAR,USD
17,ABT201120C00095000,1587147620,95.0,10.37,9.65,11.05,3.02,41.088436,18,137,0.3597476135253906,True,REGULAR,USD
18,ABT201120C00097500,1587152075,97.5,9.2,8.75,10.1,2.3999996,35.29411,24,36,0.36499658447265626,False,REGULAR,USD
19,ABT201120C00100000,1587149661,100.0,7.9,7.55,9.2,2.65,50.476192,211,579,0.3687807263183594,False,REGULAR,USD
20,ABT201120C00105000,1587148920,105.0,6.0,4.95,6.5,2.35,64.38355,21,189,0.336920693359375,False,REGULAR,USD
21,ABT201120C00110000,1587148738,110.0,4.39,4.5,5.6,1.8699999,74.206345,61,88,0.3562076098632812,False,REGULAR,USD
22,ABT201120C00115000,1587152353,115.0,3.29,0.5,4.4,1.53,86.931816,28,40,0.35584140258789054,False,REGULAR,USD
23,ABT201120C00120000,1587145313,120.0,2.47,2.2,3.2,0.89,56.329113,19,64,0.3454655297851562,False,REGULAR,USD
24,ABT201120C00125000,1587058910,125.0,1.77,0.8,2.17,1.0999999,164.1791,1,34,0.3308782733154296,False,REGULAR,USD
25,ABT201120C00130000,1587137731,130.0,1.45,0.9,1.5,0.75000006,107.14287,14,29,0.32300481689453114,False,REGULAR,USD
