,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABT201120P00037500,1585589930,37.5,1.04,0.05,0.68,0.0,0.0,,0,0.6562534375000001,False,REGULAR,USD
1,ABT201120P00045000,1586963987,45.0,0.6,0.0,0.56,0.0,0.0,25.0,0,0.51562984375,False,REGULAR,USD
2,ABT201120P00047500,1587150779,47.5,0.42,0.05,1.2,-1.0300001,-71.034485,2.0,0,0.5607954077148438,False,REGULAR,USD
3,ABT201120P00050000,1587148888,50.0,0.55,0.1,0.65,-0.57,-50.892853,1.0,37,0.5293015820312501,False,REGULAR,USD
4,ABT201120P00055000,1586881550,55.0,1.26,0.26,1.58,0.0,0.0,13.0,0,0.5004932763671875,False,REGULAR,USD
5,ABT201120P00057500,1587136654,57.5,1.03,0.37,1.45,-0.22000003,-17.600002,1.0,0,0.5251512329101562,False,REGULAR,USD
6,ABT201120P00060000,1587065457,60.0,1.2,0.51,1.96,-2.3,-65.71428,27.0,60,0.5352829675292969,False,REGULAR,USD
7,ABT201120P00062500,1585770283,62.5,5.4,0.66,2.18,0.0,0.0,4.0,0,0.5163622583007812,False,REGULAR,USD
8,ABT201120P00065000,1587141883,65.0,1.72,0.85,2.51,-0.27999997,-13.999998,1.0,0,0.5041553491210937,False,REGULAR,USD
9,ABT201120P00067500,1587049907,67.5,2.12,1.3,2.8,-1.6000001,-43.010757,1.0,184,0.48718774536132814,False,REGULAR,USD
10,ABT201120P00070000,1587152804,70.0,2.45,2.05,4.85,-2.05,-45.555557,4.0,157,0.5665326550292968,False,REGULAR,USD
11,ABT201120P00072500,1587132028,72.5,2.6,1.67,3.45,-1.8200002,-41.176476,1.0,0,0.45325253784179687,False,REGULAR,USD
12,ABT201120P00075000,1587153495,75.0,3.4,2.98,3.55,-0.40999985,-10.76115,1.0,0,0.4226131958007812,False,REGULAR,USD
13,ABT201120P00077500,1587132578,77.5,3.65,2.95,4.5,-2.4499998,-40.163933,95.0,0,0.43286699951171875,False,REGULAR,USD
14,ABT201120P00080000,1587152678,80.0,4.52,3.35,4.9,-0.90999985,-16.758745,11.0,0,0.41370215209960937,False,REGULAR,USD
15,ABT201120P00082500,1587149734,82.5,5.25,4.1,5.5,-2.75,-34.375,3.0,7,0.4014952429199219,False,REGULAR,USD
16,ABT201120P00085000,1587149864,85.0,6.12,4.8,6.3,-3.5,-36.382538,5.0,40,0.3948424774169922,False,REGULAR,USD
17,ABT201120P00087500,1587059393,87.5,6.85,5.55,7.3,-1.0900002,-13.727962,21.0,43,0.39288937194824214,False,REGULAR,USD
18,ABT201120P00090000,1587150201,90.0,8.05,6.4,8.25,-0.9499998,-10.555553,23.0,0,0.3859314337158203,False,REGULAR,USD
19,ABT201120P00092500,1587133160,92.5,8.7,7.65,9.0,-1.9499998,-18.309858,98.0,20,0.36914693359375,False,REGULAR,USD
20,ABT201120P00095000,1587147620,95.0,9.92,8.75,10.55,-0.07999992,-0.7999992,24.0,6,0.3775086663818359,False,REGULAR,USD
21,ABT201120P00097500,1587133160,97.5,11.1,10.05,11.7,0.25,2.3041475,9.0,1,0.36890279541015625,True,REGULAR,USD
22,ABT201120P00105000,1586966875,105.0,18.0,14.3,16.15,0.0,0.0,,10,0.3599307171630859,True,REGULAR,USD
23,ABT201120P00120000,1586289002,120.0,38.3,25.5,27.9,0.0,0.0,,0,0.37573866455078125,True,REGULAR,USD
