,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TMO210115P00130000,1585851030,130.0,3.0,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
1,TMO210115P00140000,1585300970,140.0,2.22,0.85,6.5,0.0,0.0,2.0,6,0.6677279321289065,False,REGULAR,USD
2,TMO210115P00145000,1585243946,145.0,2.46,2.15,7.0,0.0,0.0,1.0,0,0.6784089776611328,False,REGULAR,USD
3,TMO210115P00150000,1585672761,150.0,2.95,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
4,TMO210115P00155000,1583953119,155.0,5.0,1.65,4.4,0.0,0.0,8.0,12,0.5711712805175782,False,REGULAR,USD
5,TMO210115P00160000,1586794466,160.0,2.75,0.0,0.0,0.0,0.0,50.0,0,0.12500875,False,REGULAR,USD
6,TMO210115P00165000,1584561076,165.0,10.0,2.1,3.7,0.0,0.0,2.0,123,0.5246629565429688,False,REGULAR,USD
7,TMO210115P00170000,1584971401,170.0,9.4,0.0,0.0,0.0,0.0,15.0,0,0.12500875,False,REGULAR,USD
8,TMO210115P00175000,1567794946,175.0,3.2,3.3,4.7,0.0,0.0,2.0,8,0.5245408874511719,False,REGULAR,USD
9,TMO210115P00180000,1584379024,180.0,11.96,3.3,5.2,0.0,0.0,1.0,45,0.512578116455078,False,REGULAR,USD
10,TMO210115P00185000,1586885887,185.0,3.5,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD
11,TMO210115P00190000,1584561598,190.0,12.0,4.2,5.7,0.0,0.0,1.0,13,0.5133715655517577,False,REGULAR,USD
12,TMO210115P00195000,1584974968,195.0,13.7,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
13,TMO210115P00200000,1587389411,200.0,5.2,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD
14,TMO210115P00210000,1584980519,210.0,17.55,0.0,0.0,0.0,0.0,40.0,0,0.12500875,False,REGULAR,USD
15,TMO210115P00220000,1584989669,220.0,20.53,0.0,0.0,0.0,0.0,8.0,0,0.12500875,False,REGULAR,USD
16,TMO210115P00230000,1586960026,230.0,9.0,0.0,0.0,0.0,0.0,7.0,0,0.062509375,False,REGULAR,USD
17,TMO210115P00240000,1586186987,240.0,15.0,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
18,TMO210115P00250000,1587062512,250.0,12.4,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
19,TMO210115P00260000,1586800571,260.0,17.05,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
20,TMO210115P00270000,1586373864,270.0,22.0,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD
21,TMO210115P00280000,1587398752,280.0,18.5,0.0,0.0,0.0,0.0,49.0,0,0.0312596875,False,REGULAR,USD
22,TMO210115P00290000,1586960448,290.0,23.5,0.0,0.0,0.0,0.0,2.0,0,0.0312596875,False,REGULAR,USD
23,TMO210115P00300000,1587408337,300.0,25.5,0.0,0.0,0.0,0.0,10.0,0,0.015634843750000002,False,REGULAR,USD
24,TMO210115P00310000,1586978660,310.0,29.4,0.0,0.0,0.0,0.0,4.0,0,0.015634843750000002,False,REGULAR,USD
25,TMO210115P00320000,1587137657,320.0,32.58,0.0,0.0,0.0,0.0,3.0,0,0.007822421875,False,REGULAR,USD
26,TMO210115P00330000,1586959955,330.0,39.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
27,TMO210115P00340000,1587059351,340.0,42.5,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
28,TMO210115P00350000,1578514063,350.0,40.0,36.6,37.9,0.0,0.0,12.0,26,0.2142412561035156,True,REGULAR,USD
29,TMO210115P00360000,1583520776,360.0,91.1,82.7,87.5,0.0,0.0,1.0,19,0.5783123223876954,True,REGULAR,USD
30,TMO210115P00370000,1580443530,370.0,48.9,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
31,TMO210115P00380000,1586458143,380.0,76.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
32,TMO210115P00390000,1584116850,390.0,118.4,110.5,115.5,0.0,0.0,2.0,23,0.6402013519287109,True,REGULAR,USD
33,TMO210115P00400000,1584471607,400.0,113.3,79.9,83.6,0.0,0.0,1.0,11,0.29112952529907216,True,REGULAR,USD
34,TMO210115P00410000,1584464575,410.0,121.8,87.5,91.3,0.0,0.0,1.0,4,0.28314925842285155,True,REGULAR,USD
35,TMO210115P00420000,1584740949,420.0,131.2,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
36,TMO210115P00430000,1584740949,430.0,134.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
