,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MRK220121P00037500,1586366222,37.5,1.2,0.0,0.0,0.0,0.0,3,0,0.12500875,False,REGULAR,USD
1,MRK220121P00040000,1586967239,40.0,1.46,0.0,0.0,0.0,0.0,2,0,0.12500875,False,REGULAR,USD
2,MRK220121P00042500,1585245366,42.5,2.0,0.0,0.0,0.0,0.0,3,0,0.12500875,False,REGULAR,USD
3,MRK220121P00045000,1584970719,45.0,3.92,0.0,0.0,0.0,0.0,8,0,0.12500875,False,REGULAR,USD
4,MRK220121P00047500,1585576067,47.5,2.4,0.0,0.0,0.0,0.0,5,0,0.12500875,False,REGULAR,USD
5,MRK220121P00050000,1586791727,50.0,2.52,0.0,0.0,0.0,0.0,2,0,0.062509375,False,REGULAR,USD
6,MRK220121P00055000,1587399449,55.0,3.0,0.0,0.0,0.0,0.0,5,0,0.062509375,False,REGULAR,USD
7,MRK220121P00060000,1587399618,60.0,3.92,0.0,0.0,0.0,0.0,3,0,0.062509375,False,REGULAR,USD
8,MRK220121P00062500,1587399618,62.5,4.44,0.0,0.0,0.0,0.0,3,0,0.062509375,False,REGULAR,USD
9,MRK220121P00065000,1586967915,65.0,5.22,0.0,0.0,0.0,0.0,3,0,0.0312596875,False,REGULAR,USD
10,MRK220121P00067500,1585939501,67.5,7.55,0.0,0.0,0.0,0.0,28,0,0.0312596875,False,REGULAR,USD
11,MRK220121P00070000,1586183810,70.0,7.2,0.0,0.0,0.0,0.0,1,0,0.0312596875,False,REGULAR,USD
12,MRK220121P00072500,1584975139,72.5,13.7,0.0,0.0,0.0,0.0,4,0,0.0312596875,False,REGULAR,USD
13,MRK220121P00075000,1587135848,75.0,8.25,0.0,0.0,0.0,0.0,10,0,0.015634843750000002,False,REGULAR,USD
14,MRK220121P00077500,1585857339,77.5,12.2,0.0,0.0,0.0,0.0,1,0,0.015634843750000002,False,REGULAR,USD
15,MRK220121P00080000,1587145419,80.0,10.45,0.0,0.0,0.0,0.0,2,0,0.007822421875,False,REGULAR,USD
16,MRK220121P00082500,1586968620,82.5,12.21,0.0,0.0,0.0,0.0,25,0,0.00196310546875,False,REGULAR,USD
17,MRK220121P00085000,1586183810,85.0,14.97,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
18,MRK220121P00087500,1584629162,87.5,24.52,13.95,14.7,0.0,0.0,10,71,0.27625235473632803,True,REGULAR,USD
19,MRK220121P00090000,1587045114,90.0,16.33,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
20,MRK220121P00092500,1584646757,92.5,26.99,17.05,17.9,0.0,0.0,20,0,0.27448235290527345,True,REGULAR,USD
21,MRK220121P00095000,1583769028,95.0,27.0,22.3,25.1,0.0,0.0,2,13,0.3993895510864258,True,REGULAR,USD
22,MRK220121P00100000,1586790619,100.0,25.48,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
23,MRK220121P00105000,1577989456,105.0,19.34,22.45,24.95,0.0,0.0,12,0,0.2150347052001953,True,REGULAR,USD
24,MRK220121P00110000,1583247415,110.0,33.0,34.65,38.9,0.0,0.0,3,14,0.46072926971435546,True,REGULAR,USD
25,MRK220121P00115000,1586276878,115.0,38.35,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
26,MRK220121P00120000,1580913320,120.0,36.4,40.75,42.1,0.0,0.0,25,0,0.3409489733886719,True,REGULAR,USD
27,MRK220121P00125000,1574270972,125.0,42.45,34.35,35.55,0.0,0.0,12,6,1.0000000000000003e-05,True,REGULAR,USD
28,MRK220121P00130000,1585244733,130.0,57.0,53.5,57.5,0.0,0.0,3,0,0.5161181201171875,True,REGULAR,USD
