,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CSCO200424P00020000,1586799783,20.0,0.01,0.0,0.0,0.0,0.0,39.0,42,0.500005,False,REGULAR,USD
1,CSCO200424P00025000,1586364848,25.0,0.01,0.0,0.0,0.0,0.0,3.0,17,0.500005,False,REGULAR,USD
2,CSCO200424P00027000,1586441671,27.0,0.04,0.0,0.0,0.0,0.0,4.0,6,0.500005,False,REGULAR,USD
3,CSCO200424P00028000,1585580549,28.0,0.27,0.0,0.0,0.0,0.0,1.0,4,0.500005,False,REGULAR,USD
4,CSCO200424P00029000,1586975984,29.0,0.03,0.0,0.0,0.0,0.0,1.0,75,0.500005,False,REGULAR,USD
5,CSCO200424P00030000,1586278396,30.0,0.04,0.0,0.0,0.0,0.0,10.0,360,0.500005,False,REGULAR,USD
6,CSCO200424P00031000,1584472682,31.0,1.78,0.0,0.12,0.0,0.0,,29,1.5625021874999998,False,REGULAR,USD
7,CSCO200424P00032000,1586458496,32.0,0.05,0.0,0.0,0.0,0.0,1.0,17,0.500005,False,REGULAR,USD
8,CSCO200424P00032500,1586283650,32.5,0.09,0.0,0.0,0.0,0.0,1.0,42,0.500005,False,REGULAR,USD
9,CSCO200424P00033500,1587389410,33.5,0.01,0.0,0.0,0.0,0.0,1.0,9,0.500005,False,REGULAR,USD
10,CSCO200424P00034000,1587134830,34.0,0.02,0.0,0.0,0.0,0.0,2.0,31,0.500005,False,REGULAR,USD
11,CSCO200424P00034500,1587049556,34.5,0.06,0.0,0.0,0.0,0.0,1.0,78,0.500005,False,REGULAR,USD
12,CSCO200424P00035000,1587062582,35.0,0.04,0.0,0.0,0.0,0.0,32.0,104,0.500005,False,REGULAR,USD
13,CSCO200424P00035500,1586886536,35.5,0.05,0.0,0.0,0.0,0.0,1.0,104,0.500005,False,REGULAR,USD
14,CSCO200424P00036000,1587409421,36.0,0.01,0.0,0.0,0.0,0.0,2.0,145,0.500005,False,REGULAR,USD
15,CSCO200424P00036500,1587395545,36.5,0.01,0.0,0.0,0.0,0.0,1.0,24,0.2500075,False,REGULAR,USD
16,CSCO200424P00037000,1587407466,37.0,0.01,0.0,0.0,0.0,0.0,7.0,165,0.2500075,False,REGULAR,USD
17,CSCO200424P00037500,1587131548,37.5,0.05,0.0,0.0,0.0,0.0,12.0,98,0.2500075,False,REGULAR,USD
18,CSCO200424P00038000,1587399613,38.0,0.03,0.0,0.0,0.0,0.0,24.0,264,0.2500075,False,REGULAR,USD
19,CSCO200424P00038500,1587406679,38.5,0.04,0.0,0.0,0.0,0.0,12.0,83,0.2500075,False,REGULAR,USD
20,CSCO200424P00039000,1587411868,39.0,0.06,0.0,0.0,0.0,0.0,61.0,190,0.2500075,False,REGULAR,USD
21,CSCO200424P00039500,1587409429,39.5,0.1,0.0,0.0,0.0,0.0,15.0,77,0.2500075,False,REGULAR,USD
22,CSCO200424P00040000,1587409612,40.0,0.16,0.0,0.0,0.0,0.0,469.0,617,0.12500875,False,REGULAR,USD
23,CSCO200424P00040500,1587412693,40.5,0.2,0.0,0.0,0.0,0.0,182.0,360,0.12500875,False,REGULAR,USD
24,CSCO200424P00041000,1587412494,41.0,0.28,0.0,0.0,0.0,0.0,538.0,912,0.12500875,False,REGULAR,USD
25,CSCO200424P00041500,1587412798,41.5,0.43,0.0,0.0,0.0,0.0,215.0,300,0.062509375,False,REGULAR,USD
26,CSCO200424P00042000,1587412724,42.0,0.55,0.0,0.0,0.0,0.0,833.0,492,0.0312596875,False,REGULAR,USD
27,CSCO200424P00042500,1587412798,42.5,0.79,0.0,0.0,0.0,0.0,922.0,488,0.0039162109375,False,REGULAR,USD
28,CSCO200424P00043000,1587411367,43.0,0.89,0.0,0.0,0.0,0.0,101.0,69,1.0000000000000003e-05,True,REGULAR,USD
29,CSCO200424P00043500,1587411293,43.5,1.19,0.0,0.0,0.0,0.0,69.0,48,1.0000000000000003e-05,True,REGULAR,USD
30,CSCO200424P00044000,1587409424,44.0,1.59,0.0,0.0,0.0,0.0,412.0,193,1.0000000000000003e-05,True,REGULAR,USD
31,CSCO200424P00044500,1586894153,44.5,1.97,0.0,0.0,0.0,0.0,5.0,26,1.0000000000000003e-05,True,REGULAR,USD
32,CSCO200424P00045000,1587396071,45.0,2.26,0.0,0.0,0.0,0.0,1.0,58,1.0000000000000003e-05,True,REGULAR,USD
33,CSCO200424P00046000,1585064353,46.0,4.25,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
34,CSCO200424P00046500,1586800119,46.5,5.54,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
35,CSCO200424P00047000,1586361870,47.0,5.64,0.0,0.0,0.0,0.0,2.0,54,1.0000000000000003e-05,True,REGULAR,USD
36,CSCO200424P00047500,1587393423,47.5,5.05,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
37,CSCO200424P00050000,1584549319,50.0,12.5,7.9,8.05,0.0,0.0,,0,1.451174619140625,True,REGULAR,USD
