,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AIG200501P00008000,1585072284,8.0,0.26,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
1,AIG200501P00013000,1584975778,13.0,1.06,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
2,AIG200501P00014000,1585072006,14.0,0.62,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
3,AIG200501P00015000,1587397820,15.0,0.1,0.0,0.0,0.0,0.0,210.0,0,0.500005,False,REGULAR,USD
4,AIG200501P00016000,1586964920,16.0,0.15,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
5,AIG200501P00017000,1587408333,17.0,0.1,0.0,0.0,0.0,0.0,24.0,0,0.500005,False,REGULAR,USD
6,AIG200501P00018000,1587389526,18.0,0.3,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
7,AIG200501P00019000,1587389695,19.0,0.34,0.0,0.0,0.0,0.0,7.0,0,0.2500075,False,REGULAR,USD
8,AIG200501P00020000,1587399354,20.0,0.3,0.0,0.0,0.0,0.0,17.0,0,0.2500075,False,REGULAR,USD
9,AIG200501P00022000,1587141263,22.0,0.73,0.0,0.0,0.0,0.0,146.0,0,0.12500875,False,REGULAR,USD
10,AIG200501P00023000,1587409068,23.0,1.16,0.0,0.0,0.0,0.0,26.0,0,0.062509375,False,REGULAR,USD
11,AIG200501P00024000,1587397304,24.0,1.35,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,AIG200501P00025000,1587045899,25.0,2.61,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
13,AIG200501P00026000,1586444485,26.0,1.33,0.0,0.0,0.0,0.0,25.0,0,1.0000000000000003e-05,True,REGULAR,USD
14,AIG200501P00027000,1587055993,27.0,4.1,0.0,0.0,0.0,0.0,75.0,0,1.0000000000000003e-05,True,REGULAR,USD
