,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KHC200515P00012500,1585927204,12.5,0.11,0.0,0.0,0.0,0.0,10,0,0.500005,False,REGULAR,USD
1,KHC200515P00015000,1587392864,15.0,0.1,0.0,0.0,0.0,0.0,4,0,0.500005,False,REGULAR,USD
2,KHC200515P00017500,1587141420,17.5,0.08,0.0,0.0,0.0,0.0,5,0,0.500005,False,REGULAR,USD
3,KHC200515P00020000,1587406524,20.0,0.1,0.0,0.0,0.0,0.0,18,0,0.2500075,False,REGULAR,USD
4,KHC200515P00022500,1587399393,22.5,0.21,0.0,0.0,0.0,0.0,19,0,0.2500075,False,REGULAR,USD
5,KHC200515P00025000,1587412707,25.0,0.51,0.0,0.0,0.0,0.0,70,0,0.12500875,False,REGULAR,USD
6,KHC200515P00027500,1587409077,27.5,1.07,0.0,0.0,0.0,0.0,60,0,0.062509375,False,REGULAR,USD
7,KHC200515P00030000,1587405894,30.0,1.85,0.0,0.0,0.0,0.0,23,0,1.0000000000000003e-05,True,REGULAR,USD
8,KHC200515P00032500,1587398583,32.5,3.46,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
9,KHC200515P00035000,1587130761,35.0,6.04,0.0,0.0,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
10,KHC200515P00040000,1586974814,40.0,12.1,0.0,0.0,0.0,0.0,11,0,1.0000000000000003e-05,True,REGULAR,USD
