,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MDLZ200515P00035000,1587051573,35.0,0.22,0.0,0.0,0.0,0.0,3,0,0.500005,False,REGULAR,USD
1,MDLZ200515P00037500,1586957695,37.5,0.1,0.0,0.0,0.0,0.0,100,0,0.2500075,False,REGULAR,USD
2,MDLZ200515P00040000,1586375309,40.0,0.49,0.0,0.0,0.0,0.0,47,0,0.2500075,False,REGULAR,USD
3,MDLZ200515P00042500,1586959949,42.5,0.25,0.0,0.0,0.0,0.0,150,0,0.2500075,False,REGULAR,USD
4,MDLZ200515P00045000,1587139311,45.0,0.4,0.0,0.0,0.0,0.0,21,0,0.12500875,False,REGULAR,USD
5,MDLZ200515P00047500,1587393258,47.5,0.47,0.0,0.0,0.0,0.0,5,0,0.12500875,False,REGULAR,USD
6,MDLZ200515P00050000,1587399534,50.0,0.92,0.0,0.0,0.0,0.0,55,0,0.062509375,False,REGULAR,USD
7,MDLZ200515P00052500,1587150800,52.5,1.9,0.0,0.0,0.0,0.0,4,0,0.015634843750000002,False,REGULAR,USD
8,MDLZ200515P00055000,1587148488,55.0,3.25,0.0,0.0,0.0,0.0,42,0,1.0000000000000003e-05,True,REGULAR,USD
9,MDLZ200515P00060000,1586881370,60.0,6.2,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
