,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GE200522P00003000,1586959035,3.0,0.05,0.0,0.0,0.0,0.0,1.0,11,0.500005,False,REGULAR,USD
1,GE200522P00003500,1586281997,3.5,0.04,0.0,0.0,0.0,0.0,,100,0.500005,False,REGULAR,USD
2,GE200522P00004000,1587410197,4.0,0.04,0.0,0.0,0.0,0.0,22.0,21,0.500005,False,REGULAR,USD
3,GE200522P00004500,1587411382,4.5,0.08,0.0,0.0,0.0,0.0,72.0,97,0.2500075,False,REGULAR,USD
4,GE200522P00005000,1587401815,5.0,0.14,0.0,0.0,0.0,0.0,223.0,291,0.2500075,False,REGULAR,USD
5,GE200522P00005500,1587410108,5.5,0.25,0.0,0.0,0.0,0.0,49.0,83,0.12500875,False,REGULAR,USD
6,GE200522P00006000,1587410638,6.0,0.41,0.0,0.0,0.0,0.0,125.0,391,0.062509375,False,REGULAR,USD
7,GE200522P00006500,1587412300,6.5,0.6,0.0,0.0,0.0,0.0,26.0,460,0.0039162109375,False,REGULAR,USD
8,GE200522P00007000,1587399367,7.0,0.83,0.0,0.0,0.0,0.0,302.0,506,1.0000000000000003e-05,True,REGULAR,USD
9,GE200522P00007500,1587392560,7.5,1.17,0.0,0.0,0.0,0.0,1.0,1019,1.0000000000000003e-05,True,REGULAR,USD
10,GE200522P00008000,1587048634,8.0,1.8,0.0,0.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
11,GE200522P00008500,1586958042,8.5,1.92,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
12,GE200522P00009500,1586976703,9.5,3.1,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
13,GE200522P00010000,1586194191,10.0,2.95,0.0,0.0,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
14,GE200522P00013000,1587045731,13.0,6.65,0.0,0.0,0.0,0.0,11.0,11,1.0000000000000003e-05,True,REGULAR,USD
