,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GM200522P00013000,1585928573,13.0,0.62,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
1,GM200522P00014000,1587135625,14.0,0.31,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
2,GM200522P00014500,1586373621,14.5,0.5,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
3,GM200522P00015000,1586202595,15.0,0.8,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
4,GM200522P00016000,1586461293,16.0,0.55,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
5,GM200522P00017000,1587412231,17.0,0.62,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
6,GM200522P00017500,1586271122,17.5,0.64,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
7,GM200522P00018000,1587412231,18.0,0.78,0.0,0.0,0.0,0.0,11.0,0,0.2500075,False,REGULAR,USD
8,GM200522P00018500,1587390724,18.5,0.9,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD
9,GM200522P00019000,1587132614,19.0,1.0,0.0,0.0,0.0,0.0,51.0,0,0.12500875,False,REGULAR,USD
10,GM200522P00019500,1587412717,19.5,1.01,0.0,0.0,0.0,0.0,101.0,0,0.12500875,False,REGULAR,USD
11,GM200522P00020000,1587397234,20.0,1.06,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD
12,GM200522P00020500,1587044062,20.5,1.82,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD
13,GM200522P00021000,1587399034,21.0,1.43,0.0,0.0,0.0,0.0,11.0,0,0.062509375,False,REGULAR,USD
14,GM200522P00021500,1587389431,21.5,1.63,0.0,0.0,0.0,0.0,5.0,0,0.0312596875,False,REGULAR,USD
15,GM200522P00022000,1587410175,22.0,1.99,0.0,0.0,0.0,0.0,45.0,0,0.015634843750000002,False,REGULAR,USD
16,GM200522P00022500,1586800390,22.5,2.89,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
17,GM200522P00023000,1587152379,23.0,2.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
18,GM200522P00023500,1586872774,23.5,2.3,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
19,GM200522P00024000,1587136140,24.0,3.05,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
20,GM200522P00024500,1587130210,24.5,3.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
21,GM200522P00025000,1586449070,25.0,2.54,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
22,GM200522P00026500,1586459758,26.5,3.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
23,GM200522P00030000,1586289369,30.0,8.65,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
