,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TXN200522C00100000,1586289089,100.0,11.77,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
1,TXN200522C00108000,1586289223,108.0,6.19,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,TXN200522C00110000,1587392104,110.0,7.88,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,TXN200522C00111000,1586271005,111.0,5.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
4,TXN200522C00112000,1586441892,112.0,6.12,0.0,0.0,0.0,0.0,10.0,0,0.0039162109375,False,REGULAR,USD
5,TXN200522C00114000,1587405021,114.0,6.35,0.0,0.0,0.0,0.0,3.0,0,0.015634843750000002,False,REGULAR,USD
6,TXN200522C00115000,1586878133,115.0,3.54,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD
7,TXN200522C00120000,1587397368,120.0,3.32,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
8,TXN200522C00122000,1586980753,122.0,1.0,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD
9,TXN200522C00125000,1587139662,125.0,1.25,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD
10,TXN200522C00130000,1587396579,130.0,0.85,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
11,TXN200522C00135000,1587407487,135.0,0.5,0.0,0.0,0.0,0.0,14.0,0,0.12500875,False,REGULAR,USD
