,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT200529C00145000,1587409761,145.0,32.28,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
1,MSFT200529C00146000,1587406034,146.0,33.1,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
2,MSFT200529C00149000,1587046940,149.0,27.4,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
3,MSFT200529C00150000,1587412214,150.0,27.25,0.0,0.0,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
4,MSFT200529C00155000,1587064965,155.0,23.37,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
5,MSFT200529C00157500,1587399434,157.5,23.25,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
6,MSFT200529C00160000,1587408892,160.0,20.05,0.0,0.0,0.0,0.0,41,0,1.0000000000000003e-05,True,REGULAR,USD
7,MSFT200529C00162500,1587152538,162.5,19.08,0.0,0.0,0.0,0.0,31,0,1.0000000000000003e-05,True,REGULAR,USD
8,MSFT200529C00165000,1587393171,165.0,17.5,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
9,MSFT200529C00167500,1587153446,167.5,15.3,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
10,MSFT200529C00170000,1587412213,170.0,12.22,0.0,0.0,0.0,0.0,22,0,1.0000000000000003e-05,True,REGULAR,USD
11,MSFT200529C00172500,1587412739,172.5,10.8,0.0,0.0,0.0,0.0,50,0,1.0000000000000003e-05,True,REGULAR,USD
12,MSFT200529C00175000,1587412793,175.0,9.05,0.0,0.0,0.0,0.0,255,0,1.0000000000000003e-05,True,REGULAR,USD
13,MSFT200529C00177500,1587411232,177.5,8.61,0.0,0.0,0.0,0.0,176,0,0.015634843750000002,False,REGULAR,USD
14,MSFT200529C00180000,1587412368,180.0,6.9,0.0,0.0,0.0,0.0,86,0,0.015634843750000002,False,REGULAR,USD
15,MSFT200529C00182500,1587412793,182.5,5.6,0.0,0.0,0.0,0.0,67,0,0.0312596875,False,REGULAR,USD
16,MSFT200529C00185000,1587411462,185.0,5.3,0.0,0.0,0.0,0.0,176,0,0.0312596875,False,REGULAR,USD
17,MSFT200529C00187500,1587412060,187.5,4.3,0.0,0.0,0.0,0.0,86,0,0.062509375,False,REGULAR,USD
18,MSFT200529C00190000,1587412406,190.0,3.55,0.0,0.0,0.0,0.0,74,0,0.062509375,False,REGULAR,USD
19,MSFT200529C00195000,1587411750,195.0,2.48,0.0,0.0,0.0,0.0,63,0,0.062509375,False,REGULAR,USD
20,MSFT200529C00200000,1587410383,200.0,1.65,0.0,0.0,0.0,0.0,241,0,0.062509375,False,REGULAR,USD
21,MSFT200529C00205000,1587412670,205.0,1.15,0.0,0.0,0.0,0.0,190,0,0.12500875,False,REGULAR,USD
