,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ALL200717P00047500,1584742121,47.5,1.39,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
1,ALL200717P00050000,1586286269,50.0,0.78,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
2,ALL200717P00055000,1586375267,55.0,1.0,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
3,ALL200717P00060000,1585845001,60.0,2.39,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
4,ALL200717P00065000,1586445859,65.0,1.5,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
5,ALL200717P00067500,1586963541,67.5,2.08,0.0,0.0,0.0,0.0,7.0,0,0.2500075,False,REGULAR,USD
6,ALL200717P00070000,1587053644,70.0,2.25,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD
7,ALL200717P00072500,1587049838,72.5,2.55,0.0,0.0,0.0,0.0,23.0,0,0.12500875,False,REGULAR,USD
8,ALL200717P00075000,1587049838,75.0,2.64,0.0,0.0,0.0,0.0,8.0,0,0.12500875,False,REGULAR,USD
9,ALL200717P00077500,1587066601,77.5,3.1,0.0,0.0,0.0,0.0,23.0,0,0.12500875,False,REGULAR,USD
10,ALL200717P00080000,1587396691,80.0,2.6,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
11,ALL200717P00082500,1587061264,82.5,4.0,0.0,0.0,0.0,0.0,19.0,0,0.12500875,False,REGULAR,USD
12,ALL200717P00085000,1587061264,85.0,4.6,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD
13,ALL200717P00087500,1587150909,87.5,4.1,0.0,0.0,0.0,0.0,4.0,0,0.062509375,False,REGULAR,USD
14,ALL200717P00090000,1587151044,90.0,4.8,0.0,0.0,0.0,0.0,4.0,0,0.062509375,False,REGULAR,USD
15,ALL200717P00092500,1587061264,92.5,6.7,0.0,0.0,0.0,0.0,4.0,0,0.062509375,False,REGULAR,USD
16,ALL200717P00095000,1587152859,95.0,5.8,0.0,0.0,0.0,0.0,4.0,0,0.0312596875,False,REGULAR,USD
17,ALL200717P00097500,1587061264,97.5,8.65,0.0,0.0,0.0,0.0,72.0,0,0.0312596875,False,REGULAR,USD
18,ALL200717P00100000,1587142931,100.0,8.45,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD
19,ALL200717P00105000,1585318637,105.0,21.18,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
20,ALL200717P00110000,1587412432,110.0,13.5,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
21,ALL200717P00115000,1585158357,115.0,18.62,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
22,ALL200717P00120000,1585320901,120.0,32.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
23,ALL200717P00125000,1582813805,125.0,13.95,34.85,39.0,0.0,0.0,2.0,1,1.1004683648681641,True,REGULAR,USD
24,ALL200717P00130000,1585297693,130.0,17.4,43.1,48.0,0.0,0.0,,0,1.344363629760742,True,REGULAR,USD
