,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KO200918C00023000,1584647122,23.0,19.53,25.0,25.4,0.0,0.0,1,0,1.0578660388183594,True,REGULAR,USD
1,KO200918C00025000,1574871351,25.0,28.81,29.05,31.65,0.0,0.0,31,0,2.1237839874267577,True,REGULAR,USD
2,KO200918C00027500,1585144392,27.5,14.5,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
3,KO200918C00030000,1586196532,30.0,16.7,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
4,KO200918C00033000,1586439982,33.0,16.31,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
5,KO200918C00035000,1587066154,35.0,12.9,0.0,0.0,0.0,0.0,20,0,1.0000000000000003e-05,True,REGULAR,USD
6,KO200918C00038000,1587049468,38.0,10.25,0.0,0.0,0.0,0.0,12,0,1.0000000000000003e-05,True,REGULAR,USD
7,KO200918C00040000,1587390671,40.0,8.91,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
8,KO200918C00043000,1587150443,43.0,6.88,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
9,KO200918C00045000,1587412218,45.0,4.81,0.0,0.0,0.0,0.0,178,0,1.0000000000000003e-05,True,REGULAR,USD
10,KO200918C00047000,1587411103,47.0,3.8,0.0,0.0,0.0,0.0,285,0,0.0039162109375,False,REGULAR,USD
11,KO200918C00050000,1587412312,50.0,2.25,0.0,0.0,0.0,0.0,105,0,0.0312596875,False,REGULAR,USD
12,KO200918C00052500,1587411347,52.5,1.55,0.0,0.0,0.0,0.0,23,0,0.062509375,False,REGULAR,USD
13,KO200918C00055000,1587412777,55.0,0.7,0.0,0.0,0.0,0.0,86,0,0.062509375,False,REGULAR,USD
14,KO200918C00057500,1587412532,57.5,0.57,0.0,0.0,0.0,0.0,16,0,0.062509375,False,REGULAR,USD
15,KO200918C00060000,1587412708,60.0,0.31,0.0,0.0,0.0,0.0,17,0,0.12500875,False,REGULAR,USD
16,KO200918C00062500,1587402890,62.5,0.2,0.0,0.0,0.0,0.0,2,0,0.12500875,False,REGULAR,USD
17,KO200918C00065000,1587411135,65.0,0.11,0.0,0.0,0.0,0.0,23,0,0.12500875,False,REGULAR,USD
18,KO200918C00067500,1587411480,67.5,0.06,0.0,0.0,0.0,0.0,10,0,0.12500875,False,REGULAR,USD
19,KO200918C00070000,1587411943,70.0,0.05,0.0,0.0,0.0,0.0,12,0,0.12500875,False,REGULAR,USD
