,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SO201120C00040000,1586795058,40.0,20.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
1,SO201120C00047500,1586456006,47.5,15.5,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
2,SO201120C00050000,1585769231,50.0,5.77,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,SO201120C00052500,1586373056,52.5,9.45,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,SO201120C00055000,1587396352,55.0,6.25,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
5,SO201120C00057500,1586444284,57.5,8.65,0.0,0.0,0.0,0.0,2.0,0,0.015634843750000002,False,REGULAR,USD
6,SO201120C00060000,1587393606,60.0,3.98,0.0,0.0,0.0,0.0,11.0,0,0.0312596875,False,REGULAR,USD
7,SO201120C00062500,1587404391,62.5,3.0,0.0,0.0,0.0,0.0,4.0,0,0.0312596875,False,REGULAR,USD
8,SO201120C00065000,1587409690,65.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
9,SO201120C00067500,1587356056,67.5,1.83,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD
10,SO201120C00070000,1587393606,70.0,1.23,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD
11,SO201120C00075000,1587064195,75.0,0.66,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD
