,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DOW220121C00012500,1587061030,12.5,18.9,15.5,20.2,0.0,0.0,2,46,0.8256853369140623,True,REGULAR,USD
1,DOW220121C00015000,1587476016,15.0,15.4,13.2,18.0,-5.6000004,-26.666668,5,6,0.7268093725585938,True,REGULAR,USD
2,DOW220121C00017500,1587389888,17.5,15.0,12.6,14.8,0.0,0.0,30,24,0.5268602001953125,True,REGULAR,USD
3,DOW220121C00020000,1587403765,20.0,13.3,11.2,12.9,0.0,0.0,20,130,0.49597671997070314,True,REGULAR,USD
4,DOW220121C00022500,1586974776,22.5,11.57,9.6,11.4,0.0,0.0,4,46,0.4929249926757813,True,REGULAR,USD
5,DOW220121C00025000,1587477285,25.0,8.7,8.4,9.8,-1.1500006,-11.675133,13,247,0.47046427978515626,True,REGULAR,USD
6,DOW220121C00027500,1587477332,27.5,7.9,6.4,8.7,-1.4599996,-15.598287,2,80,0.47559118164062497,True,REGULAR,USD
7,DOW220121C00030000,1587478372,30.0,6.7,5.8,7.4,-1.0,-12.987013,5,528,0.4576470251464845,True,REGULAR,USD
8,DOW220121C00032500,1587403304,32.5,6.7,4.7,6.7,0.0,0.0,3,46,0.47095255615234377,False,REGULAR,USD
9,DOW220121C00035000,1587478414,35.0,5.0,3.4,6.0,-0.5999999,-10.714285,15,446,0.476567734375,False,REGULAR,USD
10,DOW220121C00037500,1586979046,37.5,4.8,3.8,5.6,0.0,0.0,40,118,0.4946339599609375,False,REGULAR,USD
11,DOW220121C00040000,1587135843,40.0,4.47,2.6,4.2,0.0,0.0,23,438,0.4449518395996094,False,REGULAR,USD
12,DOW220121C00042500,1587143242,42.5,3.88,1.6,4.5,0.0,0.0,10,80,0.4973194799804688,False,REGULAR,USD
13,DOW220121C00045000,1587393090,45.0,2.95,0.85,0.0,0.0,0.0,1,149,0.062509375,False,REGULAR,USD
14,DOW220121C00047500,1587390493,47.5,2.5,1.5,3.1,0.0,0.0,1,586,0.46326220336914065,False,REGULAR,USD
15,DOW220121C00050000,1587476690,50.0,1.62,1.25,2.4,-0.7800001,-32.5,1,528,0.4382380395507813,False,REGULAR,USD
16,DOW220121C00052500,1586969973,52.5,1.2,0.4,2.65,0.0,0.0,5,58,0.47864290893554684,False,REGULAR,USD
17,DOW220121C00055000,1587398705,55.0,1.8,0.4,2.5,0.0,0.0,1,145,0.488408436279297,False,REGULAR,USD
18,DOW220121C00057500,1586289132,57.5,1.7,0.3,2.65,0.0,0.0,37,331,0.5188036401367188,False,REGULAR,USD
19,DOW220121C00060000,1587409881,60.0,1.23,0.0,2.0,0.0,0.0,2,130,0.4865773999023438,False,REGULAR,USD
20,DOW220121C00062500,1587400736,62.5,1.15,0.6,2.2,0.0,0.0,1,24,0.5195360546875,False,REGULAR,USD
21,DOW220121C00065000,1587150471,65.0,0.98,0.35,1.45,0.0,0.0,8,489,0.47070841796875,False,REGULAR,USD
22,DOW220121C00070000,1587475804,70.0,0.6,0.1,1.25,0.07000005,13.207558,1,91,0.47900911621093745,False,REGULAR,USD
23,DOW220121C00075000,1584466786,75.0,0.5,0.1,1.75,0.0,0.0,1,93,0.5524947094726562,False,REGULAR,USD
24,DOW220121C00080000,1586979568,80.0,0.4,0.05,1.05,0.0,0.0,1,203,0.5048877636718749,False,REGULAR,USD
