,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,FDX200424P00050000,1586374187,50.0,0.01,0.0,0.08,0.0,0.0,97.0,100,3.2656268359375,False,REGULAR,USD
1,FDX200424P00055000,1586374059,55.0,0.04,0.0,0.23,0.0,0.0,150.0,76,3.3359391601562494,False,REGULAR,USD
2,FDX200424P00060000,1586371280,60.0,0.03,0.0,0.08,0.0,0.0,2.0,0,2.6406283984375003,False,REGULAR,USD
3,FDX200424P00065000,1584558776,65.0,0.26,0.0,0.04,0.0,0.0,,0,2.1875045312499997,False,REGULAR,USD
4,FDX200424P00070000,1585581119,70.0,0.3,0.0,0.51,0.0,0.0,1.0,0,2.7031282421875,False,REGULAR,USD
5,FDX200424P00075000,1586872237,75.0,0.06,0.0,0.04,0.0,0.0,4.0,0,1.71875140625,False,REGULAR,USD
6,FDX200424P00080000,1587150783,80.0,0.01,0.0,0.22,0.0,0.0,1.0,0,1.859375703125,False,REGULAR,USD
7,FDX200424P00085000,1587064429,85.0,0.06,0.0,0.22,0.0,0.0,5.0,0,1.6171894140625,False,REGULAR,USD
8,FDX200424P00086000,1586965544,86.0,0.13,0.0,0.12,0.0,0.0,,0,1.4453152734375,False,REGULAR,USD
9,FDX200424P00089000,1586975149,89.0,0.1,0.0,0.23,0.0,0.0,1.0,0,1.44140904296875,False,REGULAR,USD
10,FDX200424P00090000,1587390295,90.0,0.13,0.0,0.5,0.0,0.0,1.0,0,1.5878926855468747,False,REGULAR,USD
11,FDX200424P00092000,1586805166,92.0,0.2,0.0,0.24,0.0,0.0,,0,1.3144565527343748,False,REGULAR,USD
12,FDX200424P00093000,1586959627,93.0,0.16,0.01,0.24,0.0,0.0,,0,1.2773473632812498,False,REGULAR,USD
13,FDX200424P00094000,1586976245,94.0,0.2,0.02,0.09,0.0,0.0,10.0,0,1.09375453125,False,REGULAR,USD
14,FDX200424P00095000,1586891292,95.0,0.25,0.0,0.53,0.0,0.0,2.0,0,1.3574250878906249,False,REGULAR,USD
15,FDX200424P00096000,1587061888,96.0,0.22,0.0,0.54,0.0,0.0,10.0,0,1.3144565527343748,False,REGULAR,USD
16,FDX200424P00097000,1587392898,97.0,0.05,0.01,0.55,0.0,0.0,1.0,0,1.2753942480468747,False,REGULAR,USD
17,FDX200424P00098000,1586980128,98.0,0.25,0.0,0.58,0.0,0.0,1.0,0,1.2343788281249999,False,REGULAR,USD
18,FDX200424P00099000,1586441841,99.0,0.33,0.0,0.55,0.0,0.0,1.0,0,1.173832255859375,False,REGULAR,USD
19,FDX200424P00100000,1587403158,100.0,0.05,0.01,0.17,0.0,0.0,32.0,0,0.92187578125,False,REGULAR,USD
20,FDX200424P00101000,1587407305,101.0,0.08,0.04,0.56,0.0,0.0,40.0,0,1.0976607617187502,False,REGULAR,USD
21,FDX200424P00102000,1587391593,102.0,0.1,0.03,0.48,0.0,0.0,11.0,0,1.015629921875,False,REGULAR,USD
22,FDX200424P00103000,1587407369,103.0,0.12,0.05,0.37,0.0,0.0,10.0,0,0.93164130859375,False,REGULAR,USD
23,FDX200424P00104000,1587133908,104.0,0.31,0.01,0.67,0.0,0.0,1.0,0,0.98242205078125,False,REGULAR,USD
24,FDX200424P00105000,1587407282,105.0,0.16,0.02,0.73,0.0,0.0,13.0,0,0.95507857421875,False,REGULAR,USD
25,FDX200424P00106000,1587390753,106.0,0.3,0.2,0.38,0.0,0.0,60.0,0,0.8535170898437501,False,REGULAR,USD
26,FDX200424P00107000,1587407939,107.0,0.26,0.13,0.74,0.0,0.0,31.0,0,0.8896495410156249,False,REGULAR,USD
27,FDX200424P00108000,1587475804,108.0,0.36,0.3,0.39,0.09,33.333332,13.0,0,0.79101771484375,False,REGULAR,USD
28,FDX200424P00109000,1587476326,109.0,0.55,0.34,0.53,0.29000002,111.538475,1.0,0,0.788088056640625,False,REGULAR,USD
29,FDX200424P00110000,1587476210,110.0,0.5,0.38,0.6,0.110000014,28.205133,3.0,0,0.762697685546875,False,REGULAR,USD
30,FDX200424P00111000,1587407837,111.0,0.45,0.06,0.74,0.0,0.0,16.0,0,0.6709017285156251,False,REGULAR,USD
31,FDX200424P00112000,1587475939,112.0,0.6,0.56,0.84,0.08000004,15.384624,1.0,103,0.7368190380859375,False,REGULAR,USD
32,FDX200424P00113000,1587407231,113.0,0.61,0.51,1.26,0.0,0.0,28.0,118,0.7402369726562499,False,REGULAR,USD
33,FDX200424P00114000,1587390844,114.0,0.9,0.77,1.29,0.0,0.0,4.0,27,0.7231472998046875,False,REGULAR,USD
34,FDX200424P00115000,1587477174,115.0,1.08,0.83,1.03,0.21000004,24.137936,36.0,646,0.632816171875,False,REGULAR,USD
35,FDX200424P00116000,1587412798,116.0,1.1,1.03,1.39,0.0,0.0,38.0,75,0.6430699755859376,False,REGULAR,USD
36,FDX200424P00117000,1587477335,117.0,1.5,1.24,1.49,0.6,66.66667,1.0,0,0.6125527026367189,False,REGULAR,USD
37,FDX200424P00118000,1587410110,118.0,1.57,1.5,1.94,0.0,0.0,68.0,0,0.6201209863281252,False,REGULAR,USD
38,FDX200424P00119000,1587475806,119.0,2.4,1.74,2.02,0.6200001,34.831467,1.0,0,0.5756878369140624,False,REGULAR,USD
39,FDX200424P00120000,1587477348,120.0,2.26,2.02,2.42,0.38,20.212767,3.0,0,0.5610395458984375,False,REGULAR,USD
40,FDX200424P00121000,1587476568,121.0,3.35,2.46,2.74,1.3699999,69.19191,3.0,0,0.543949873046875,False,REGULAR,USD
41,FDX200424P00122000,1587477236,122.0,3.1,2.96,3.55,0.3499999,12.72727,4.0,0,0.570316796875,True,REGULAR,USD
42,FDX200424P00123000,1587476037,123.0,4.44,3.35,3.8,1.1400001,34.545456,1.0,58,0.5185595019531251,True,REGULAR,USD
43,FDX200424P00124000,1587476810,124.0,4.85,4.0,4.55,0.9499998,24.35897,3.0,93,0.5312546875,True,REGULAR,USD
44,FDX200424P00125000,1587409075,125.0,4.7,4.65,5.3,0.0,0.0,229.0,146,0.5336960693359375,True,REGULAR,USD
45,FDX200424P00126000,1586890565,126.0,4.75,5.1,5.9,0.0,0.0,5.0,12,0.5786174951171875,True,REGULAR,USD
46,FDX200424P00127000,1587389692,127.0,5.4,5.2,6.65,0.0,0.0,1.0,7,0.5747112841796875,True,REGULAR,USD
47,FDX200424P00128000,1587402149,128.0,5.4,6.8,8.1,0.0,0.0,2.0,0,0.5737347314453125,True,REGULAR,USD
48,FDX200424P00129000,1586359456,129.0,8.29,8.0,8.6,0.0,0.0,1.0,0,0.5776409423828125,True,REGULAR,USD
49,FDX200424P00130000,1587399191,130.0,5.84,7.35,9.25,0.0,0.0,6.0,29,0.6074258007812501,True,REGULAR,USD
50,FDX200424P00135000,1587410639,135.0,12.62,12.75,15.45,0.0,0.0,8.0,0,0.754885263671875,True,REGULAR,USD
51,FDX200424P00138000,1586266204,138.0,14.75,15.35,18.4,0.0,0.0,1.0,1,0.72851833984375,True,REGULAR,USD
52,FDX200424P00139000,1586359456,139.0,16.27,16.95,18.75,0.0,0.0,1.0,1,0.7402369726562499,True,REGULAR,USD
53,FDX200424P00140000,1587410639,140.0,17.51,17.2,20.55,0.0,0.0,7.0,0,0.7929708203125,True,REGULAR,USD
54,FDX200424P00141000,1586363951,141.0,16.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
55,FDX200424P00143000,1587142309,143.0,20.85,20.0,23.3,0.0,0.0,2.0,0,1.5126977490234375,True,REGULAR,USD
56,FDX200424P00145000,1585576797,145.0,25.56,22.5,25.1,0.0,0.0,1.0,0,0.8652357226562499,True,REGULAR,USD
57,FDX200424P00147000,1584368139,147.0,56.5,26.2,28.0,0.0,0.0,,10,1.60547072265625,True,REGULAR,USD
58,FDX200424P00148000,1584377667,148.0,53.0,27.25,29.0,0.0,0.0,,17,1.6518572094726562,True,REGULAR,USD
59,FDX200424P00150000,1585748806,150.0,36.65,26.6,30.75,0.0,0.0,2.0,0,1.9321292456054686,True,REGULAR,USD
60,FDX200424P00155000,1587150340,155.0,31.7,31.45,35.35,0.0,0.0,1.0,0,1.984375078125,True,REGULAR,USD
61,FDX200424P00160000,1585363259,160.0,39.97,36.3,40.6,0.0,0.0,,0,2.2441450146484367,True,REGULAR,USD
