,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WBA200424P00030000,1586181106,30.0,0.01,0.0,0.01,0.0,0.0,5.0,4,1.2500037499999999,False,REGULAR,USD
1,WBA200424P00035000,1587052635,35.0,0.05,0.0,0.25,0.0,0.0,4.0,105,1.18359783203125,False,REGULAR,USD
2,WBA200424P00037000,1586802595,37.0,0.08,0.0,0.09,0.0,0.0,4.0,33,0.7304714453125,False,REGULAR,USD
3,WBA200424P00038000,1587409183,38.0,0.01,0.02,0.12,0.0,0.0,2.0,22,0.6679720703125002,False,REGULAR,USD
4,WBA200424P00039000,1587478598,39.0,0.08,0.08,0.18,0.049999997,166.66664,4.0,6,0.6289099609375001,False,REGULAR,USD
5,WBA200424P00040000,1587477807,40.0,0.23,0.17,0.25,0.11000001,91.66668,121.0,108,0.5664105859375,False,REGULAR,USD
6,WBA200424P00041000,1587476904,41.0,0.45,0.37,0.45,0.21999998,95.65216,51.0,430,0.5459029785156251,False,REGULAR,USD
7,WBA200424P00041500,1587477158,41.5,0.54,0.51,0.62,0.13000003,31.707325,18.0,461,0.5410202148437502,False,REGULAR,USD
8,WBA200424P00042000,1587412531,42.0,0.6,0.69,0.81,0.0,0.0,400.0,655,0.5312546875,False,REGULAR,USD
9,WBA200424P00042500,1587476874,42.5,1.15,0.93,1.07,0.29999995,35.294113,4.0,52,0.5351608984375,True,REGULAR,USD
10,WBA200424P00043000,1587412251,43.0,1.07,1.22,1.42,0.0,0.0,109.0,193,0.5556685058593751,True,REGULAR,USD
11,WBA200424P00043500,1587406931,43.5,0.91,1.55,1.78,0.0,0.0,99.0,239,0.570316796875,True,REGULAR,USD
12,WBA200424P00044000,1587478719,44.0,2.0,1.93,2.17,0.99,98.019806,12.0,235,0.5898478515625001,True,REGULAR,USD
13,WBA200424P00044500,1587398183,44.5,1.24,2.32,2.57,0.0,0.0,3.0,26,0.5996133789062501,True,REGULAR,USD
14,WBA200424P00045000,1587153003,45.0,5.59,2.74,3.0,0.0,0.0,19.0,175,0.6152382226562501,True,REGULAR,USD
15,WBA200424P00045500,1587153186,45.5,1.78,3.2,3.7,0.0,0.0,12.0,58,0.75195560546875,True,REGULAR,USD
16,WBA200424P00046000,1587411464,46.0,3.05,1.95,4.3,0.0,0.0,6.0,163,1.087895185546875,True,REGULAR,USD
17,WBA200424P00046500,1584624605,46.5,1.48,0.2,4.75,0.0,0.0,,4,1.1279340478515625,True,REGULAR,USD
18,WBA200424P00047000,1587409160,47.0,4.15,2.42,4.9,0.0,0.0,6.0,4,0.9082040429687499,True,REGULAR,USD
19,WBA200424P00047500,1587053942,47.5,4.15,4.2,5.9,0.0,0.0,1.0,1,1.3818390283203121,True,REGULAR,USD
20,WBA200424P00048000,1587053201,48.0,4.6,3.3,7.55,0.0,0.0,1.0,1,2.2138716528320304,True,REGULAR,USD
21,WBA200424P00048500,1586889311,48.5,3.0,4.15,7.55,0.0,0.0,1.0,19,1.9736329443359377,True,REGULAR,USD
22,WBA200424P00049000,1587144198,49.0,4.6,5.1,7.9,0.0,0.0,2.0,4,1.9453127734375002,True,REGULAR,USD
23,WBA200424P00049500,1585665356,49.5,3.39,5.4,8.95,0.0,0.0,1.0,2,0.867188828125,True,REGULAR,USD
24,WBA200424P00050000,1586785576,50.0,5.59,6.0,9.45,0.0,0.0,2.0,20,1.01172369140625,True,REGULAR,USD
25,WBA200424P00050500,1585154275,50.5,6.81,6.35,9.9,0.0,0.0,,1,0.79687703125,True,REGULAR,USD
26,WBA200424P00051000,1586893139,51.0,4.98,6.75,10.4,0.0,0.0,10.0,15,2.556644233398437,True,REGULAR,USD
27,WBA200424P00051500,1585926423,51.5,11.48,7.5,10.8,0.0,0.0,1.0,1,0.9687503125,True,REGULAR,USD
28,WBA200424P00052000,1585848507,52.0,12.36,7.55,11.5,0.0,0.0,4.0,4,2.755862485351563,True,REGULAR,USD
29,WBA200424P00052500,1584713392,52.5,6.0,5.7,10.5,0.0,0.0,,0,1.625001875,True,REGULAR,USD
30,WBA200424P00053000,1584557711,53.0,5.85,8.2,9.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
31,WBA200424P00053500,1583775289,53.5,6.19,8.05,12.35,0.0,0.0,,5,2.4834022290039064,True,REGULAR,USD
32,WBA200424P00055000,1585768705,55.0,12.0,10.4,14.7,0.0,0.0,1.0,0,3.2617205957031246,True,REGULAR,USD
33,WBA200424P00057000,1584742652,57.0,6.05,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
34,WBA200424P00060000,1586970052,60.0,16.27,17.3,19.05,0.0,0.0,1.0,3,2.5117224707031247,True,REGULAR,USD
35,WBA200424P00065000,1585856187,65.0,25.21,20.45,24.55,0.0,0.0,,23,4.164067294921875,True,REGULAR,USD
