,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SO200501P00035000,1584381493,35.0,1.69,0.0,1.78,0.0,0.0,,1,2.1650436499023433,False,REGULAR,USD
1,SO200501P00040000,1587396910,40.0,0.15,0.0,0.97,0.0,0.0,3.0,10,1.3984405078125,False,REGULAR,USD
2,SO200501P00043000,1585158033,43.0,1.7,0.04,0.94,0.0,0.0,2.0,2,1.15234798828125,False,REGULAR,USD
3,SO200501P00045000,1587133284,45.0,0.15,0.12,0.88,0.0,0.0,1.0,4,0.99804689453125,False,REGULAR,USD
4,SO200501P00046000,1584742127,46.0,4.0,0.01,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
5,SO200501P00047000,1585770116,47.0,3.22,0.18,0.86,0.0,0.0,,1,0.84961087890625,False,REGULAR,USD
6,SO200501P00048000,1586978286,48.0,0.35,0.31,0.89,0.0,0.0,5.0,629,0.8085956640624999,False,REGULAR,USD
7,SO200501P00049000,1586452098,49.0,0.69,0.7,1.02,0.0,0.0,1.0,0,0.8339860351562498,False,REGULAR,USD
8,SO200501P00050000,1587410615,50.0,0.7,0.6,1.24,0.0,0.0,32.0,59,0.7675804492187501,False,REGULAR,USD
9,SO200501P00051000,1587394845,51.0,0.81,0.76,1.45,0.0,0.0,2.0,7,0.7387721435546875,False,REGULAR,USD
10,SO200501P00052000,1587393417,52.0,1.05,1.01,1.35,0.0,0.0,4.0,51,0.6655306884765627,False,REGULAR,USD
11,SO200501P00052500,1587411747,52.5,1.2,0.83,1.86,0.0,0.0,10.0,25,0.6645541357421877,False,REGULAR,USD
12,SO200501P00053000,1587409068,53.0,1.35,1.15,2.12,0.0,0.0,2.0,5,0.6953155468750001,False,REGULAR,USD
13,SO200501P00053500,1586458240,53.5,1.21,1.23,2.14,0.0,0.0,3.0,3,0.6533237792968751,False,REGULAR,USD
14,SO200501P00054000,1587478387,54.0,2.02,1.64,2.07,0.52,34.666668,2.0,5,0.641605146484375,False,REGULAR,USD
15,SO200501P00055000,1587148614,55.0,1.71,1.91,2.66,0.0,0.0,1.0,688,0.629886513671875,False,REGULAR,USD
16,SO200501P00055500,1586751225,55.5,2.5,2.24,2.86,0.0,0.0,,2,0.63086306640625,True,REGULAR,USD
17,SO200501P00056500,1586959444,56.5,2.28,2.71,3.2,0.0,0.0,,2,0.586918193359375,True,REGULAR,USD
18,SO200501P00057500,1586441894,57.5,1.47,2.74,3.9,0.0,0.0,4.0,2,0.5097705273437501,True,REGULAR,USD
19,SO200501P00060000,1585251573,60.0,6.7,5.2,5.95,0.0,0.0,,5,0.6293982373046876,True,REGULAR,USD
20,SO200501P00070000,1586145705,70.0,18.08,13.2,17.4,0.0,0.0,,0,1.0634812451171878,True,REGULAR,USD
