,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MS200508P00025000,1586807693,25.0,0.13,0.03,0.32,0.0,0.0,,1,1.150394873046875,False,REGULAR,USD
1,MS200508P00026000,1585930162,26.0,0.91,0.0,0.35,0.0,0.0,1.0,1,1.05859845703125,False,REGULAR,USD
2,MS200508P00026500,1586459187,26.5,0.26,0.01,0.37,0.0,0.0,11.0,11,1.0312548437500002,False,REGULAR,USD
3,MS200508P00028000,1587394557,28.0,0.1,0.17,0.39,0.0,0.0,6.0,103,0.9863282617187501,False,REGULAR,USD
4,MS200508P00028500,1587133995,28.5,0.24,0.16,0.41,0.0,0.0,6.0,6,0.9443364941406249,False,REGULAR,USD
5,MS200508P00029000,1587406095,29.0,0.21,0.21,0.47,0.0,0.0,10.0,13,0.9414068359375,False,REGULAR,USD
6,MS200508P00030000,1587476640,30.0,0.39,0.3,0.5,0.029999971,8.333325,1.0,88,0.8906260937499999,False,REGULAR,USD
7,MS200508P00030500,1586881889,30.5,0.4,0.27,0.62,0.0,0.0,3.0,10,0.8710950390625,False,REGULAR,USD
8,MS200508P00031000,1587404435,31.0,0.33,0.38,0.59,0.0,0.0,1.0,32,0.8466812207031249,False,REGULAR,USD
9,MS200508P00031500,1587130202,31.5,0.44,0.43,0.69,0.0,0.0,1.0,12,0.8378922460937499,False,REGULAR,USD
10,MS200508P00032000,1587044607,32.0,0.73,0.51,0.71,0.0,0.0,1.0,2,0.813478427734375,False,REGULAR,USD
11,MS200508P00032500,1585835888,32.5,3.45,0.6,0.8,0.0,0.0,,22,0.8051777294921875,False,REGULAR,USD
12,MS200508P00033000,1587390216,33.0,0.5,0.69,0.84,0.0,0.0,1.0,8,0.7812521875,False,REGULAR,USD
13,MS200508P00033500,1586785472,33.5,0.81,0.8,1.01,0.0,0.0,1.0,1,0.7861349511718749,False,REGULAR,USD
14,MS200508P00034000,1586785430,34.0,0.94,0.9,1.04,0.0,0.0,3.0,0,0.75586181640625,False,REGULAR,USD
15,MS200508P00034500,1587412210,34.5,1.0,0.98,1.21,0.0,0.0,110.0,117,0.745119736328125,False,REGULAR,USD
16,MS200508P00035000,1587392492,35.0,1.0,1.16,1.32,0.0,0.0,14.0,180,0.73633076171875,False,REGULAR,USD
17,MS200508P00036000,1587408662,36.0,1.36,1.46,1.63,0.0,0.0,14.0,30,0.7114286669921875,False,REGULAR,USD
18,MS200508P00036500,1587150392,36.5,1.51,1.66,1.85,0.0,0.0,2.0,42,0.709963837890625,False,REGULAR,USD
19,MS200508P00037000,1587062312,37.0,1.7,1.84,2.03,0.0,0.0,2.0,1,0.694338994140625,False,REGULAR,USD
20,MS200508P00037500,1587132230,37.5,1.52,2.09,2.26,0.0,0.0,1.0,7,0.692385888671875,False,REGULAR,USD
21,MS200508P00038000,1587396942,38.0,1.7,2.31,2.51,0.0,0.0,11.0,46,0.6831086376953126,True,REGULAR,USD
22,MS200508P00038500,1587390358,38.5,2.4,2.48,2.78,0.0,0.0,5.0,5,0.6645541357421877,True,REGULAR,USD
23,MS200508P00039000,1587395628,39.0,2.23,2.87,3.05,0.0,0.0,4.0,6,0.6738313867187502,True,REGULAR,USD
24,MS200508P00039500,1586893644,39.5,3.4,3.15,3.35,0.0,0.0,,2,0.6665072412109377,True,REGULAR,USD
25,MS200508P00040000,1587475868,40.0,3.55,3.45,3.7,0.099999905,2.898548,1.0,27,0.6645541357421877,True,REGULAR,USD
26,MS200508P00040500,1586750534,40.5,2.8,3.85,4.05,0.0,0.0,,1,0.6738313867187502,True,REGULAR,USD
27,MS200508P00041000,1587390988,41.0,3.5,4.15,4.45,0.0,0.0,59.0,62,0.6699251757812501,True,REGULAR,USD
28,MS200508P00046000,1586750534,46.0,6.05,8.5,8.7,0.0,0.0,,12,0.7304714453125,True,REGULAR,USD
