,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CMCSA200522C00029500,1586289003,29.5,8.3,7.2,7.6,0.0,0.0,,1,0.70117486328125,True,REGULAR,USD
1,CMCSA200522C00030000,1587355784,30.0,8.41,6.8,7.1,0.0,0.0,,5,0.6826203613281252,True,REGULAR,USD
2,CMCSA200522C00032500,1586375937,32.5,5.98,4.75,5.0,0.0,0.0,4.0,4,0.6162147753906251,True,REGULAR,USD
3,CMCSA200522C00036000,1586179809,36.0,2.15,2.27,2.57,0.0,0.0,,1,0.526371923828125,True,REGULAR,USD
4,CMCSA200522C00037000,1587477220,37.0,1.87,1.77,1.94,-0.9,-32.490974,6.0,4,0.5009815527343751,False,REGULAR,USD
5,CMCSA200522C00037500,1587477289,37.5,1.65,1.51,1.68,-0.33000004,-16.666668,8.0,4,0.507817421875,False,REGULAR,USD
6,CMCSA200522C00038000,1587403029,38.0,1.83,1.31,1.52,0.0,0.0,5.0,9,0.5136767382812499,False,REGULAR,USD
7,CMCSA200522C00038500,1587050271,38.5,1.49,1.08,1.29,0.0,0.0,3.0,6,0.499028447265625,False,REGULAR,USD
8,CMCSA200522C00039000,1587145279,39.0,1.43,0.92,1.14,0.0,0.0,32.0,803,0.500005,False,REGULAR,USD
9,CMCSA200522C00040000,1587402811,40.0,1.02,0.62,0.75,0.0,0.0,1.0,494,0.4643608251953125,False,REGULAR,USD
10,CMCSA200522C00041000,1586879786,41.0,0.73,0.4,0.57,0.0,0.0,10.0,10,0.46924358886718753,False,REGULAR,USD
11,CMCSA200522C00041500,1587075494,41.5,0.42,0.29,0.5,0.0,0.0,,1,0.47363807617187503,False,REGULAR,USD
12,CMCSA200522C00042000,1587142273,42.0,0.5,0.21,0.39,0.0,0.0,22.0,22,0.45898978515625005,False,REGULAR,USD
13,CMCSA200522C00042500,1587400406,42.5,0.4,0.18,0.33,0.0,0.0,1.0,1,0.45898978515625005,False,REGULAR,USD
14,CMCSA200522C00044000,1586885897,44.0,0.14,0.04,0.19,0.0,0.0,1.0,5,0.45606012695312503,False,REGULAR,USD
