,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,IBM200522C00100000,1586458986,100.0,22.0,14.65,18.2,0.0,0.0,2.0,0,0.5141650146484374,True,REGULAR,USD
1,IBM200522C00102000,1586750703,102.0,20.52,13.15,16.5,0.0,0.0,,0,0.5095263891601562,True,REGULAR,USD
2,IBM200522C00105000,1586279737,105.0,15.97,10.25,13.8,0.0,0.0,,0,0.6136513244628907,True,REGULAR,USD
3,IBM200522C00106000,1587355227,106.0,14.97,9.7,12.85,0.0,0.0,,0,0.5876506079101562,True,REGULAR,USD
4,IBM200522C00107000,1587064392,107.0,11.7,8.7,12.4,0.0,0.0,1.0,0,0.6030313134765627,True,REGULAR,USD
5,IBM200522C00110000,1586750703,110.0,10.6,7.35,9.9,0.0,0.0,40.0,0,0.5461471166992189,True,REGULAR,USD
6,IBM200522C00112000,1587395631,112.0,12.21,6.25,9.0,0.0,0.0,3.0,0,0.5614057531738281,True,REGULAR,USD
7,IBM200522C00113000,1587476561,113.0,5.57,5.65,8.1,-4.5799994,-45.12315,4.0,0,0.5325974475097657,True,REGULAR,USD
8,IBM200522C00115000,1587478194,115.0,6.2,4.75,7.1,-4.05,-39.5122,11.0,0,0.5305222729492188,False,REGULAR,USD
9,IBM200522C00116000,1586370694,116.0,9.9,4.05,6.6,0.0,0.0,1.0,0,0.5271043383789062,False,REGULAR,USD
10,IBM200522C00117000,1587477567,117.0,4.45,3.6,6.35,-2.25,-33.582092,2.0,0,0.5405319384765627,False,REGULAR,USD
11,IBM200522C00118000,1585852378,118.0,6.05,3.2,5.7,0.0,0.0,1.0,0,0.5229539892578124,False,REGULAR,USD
12,IBM200522C00119000,1587395445,119.0,7.56,2.9,5.5,0.0,0.0,2.0,0,0.5369919348144532,False,REGULAR,USD
13,IBM200522C00120000,1587477964,120.0,3.6,1.92,4.9,-4.0,-52.63158,16.0,0,0.5196581237792968,False,REGULAR,USD
14,IBM200522C00122000,1587406477,122.0,6.0,1.25,4.3,0.0,0.0,1.0,0,0.5256395092773438,False,REGULAR,USD
15,IBM200522C00123000,1587476943,123.0,2.0,0.89,4.05,-2.1999998,-52.38095,3.0,0,0.5302781347656251,False,REGULAR,USD
16,IBM200522C00124000,1587412577,124.0,5.0,1.01,3.6,0.0,0.0,3.0,0,0.5178270874023438,False,REGULAR,USD
17,IBM200522C00125000,1587477237,125.0,2.0,1.18,3.35,-2.1999998,-52.38095,4.0,0,0.5195360546875,False,REGULAR,USD
18,IBM200522C00129000,1587478258,129.0,1.38,0.05,2.72,-0.65,-32.019707,1.0,0,0.5471236694335939,False,REGULAR,USD
19,IBM200522C00130000,1587478258,130.0,1.25,0.13,2.37,-1.29,-50.787403,4.0,13,0.5334519311523438,False,REGULAR,USD
20,IBM200522C00135000,1587477095,135.0,0.35,0.25,0.53,-0.88,-71.544716,3.0,20,0.39111937011718745,False,REGULAR,USD
21,IBM200522C00140000,1587477186,140.0,0.44,0.0,0.98,-0.38,-46.341465,3.0,9,0.5307664111328125,False,REGULAR,USD
22,IBM200522C00145000,1587412152,145.0,0.57,0.1,0.71,0.0,0.0,13.0,39,0.5493209130859377,False,REGULAR,USD
23,IBM200522C00150000,1587403833,150.0,0.2,0.0,0.55,0.0,0.0,2.0,2,0.5009815527343751,False,REGULAR,USD
