,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MA210618P00110000,1586892390,110.0,1.78,1.5,4.75,0.0,0.0,2.0,3,0.5268602001953125,False,REGULAR,USD
1,MA210618P00125000,1584550276,125.0,10.5,1.72,2.91,0.0,0.0,,0,0.44690494506835937,False,REGULAR,USD
2,MA210618P00130000,1586876651,130.0,3.5,2.97,4.75,0.0,0.0,2.0,64,0.4837087762451172,False,REGULAR,USD
3,MA210618P00135000,1585664043,135.0,5.0,3.65,5.5,0.0,0.0,1.0,234,0.48065704895019534,False,REGULAR,USD
4,MA210618P00140000,1585751382,140.0,7.5,3.9,6.2,0.0,0.0,2.0,167,0.4746756634521484,False,REGULAR,USD
5,MA210618P00145000,1584366874,145.0,11.05,3.2,6.5,0.0,0.0,2.0,198,0.4585320260620118,False,REGULAR,USD
6,MA210618P00150000,1587400290,150.0,6.5,6.05,7.95,0.0,0.0,1.0,187,0.4666801379394532,False,REGULAR,USD
7,MA210618P00155000,1585583487,155.0,7.78,6.5,9.2,0.0,0.0,30.0,86,0.46783979431152345,False,REGULAR,USD
8,MA210618P00160000,1585148078,160.0,11.0,7.3,10.0,0.0,0.0,1.0,60,0.4590813369750977,False,REGULAR,USD
9,MA210618P00165000,1586266203,165.0,8.0,8.55,11.25,0.0,0.0,2.0,74,0.4572197833251954,False,REGULAR,USD
10,MA210618P00170000,1585060639,170.0,9.42,10.75,12.4,0.0,0.0,2.0,106,0.45236753692626963,False,REGULAR,USD
11,MA210618P00175000,1587408889,175.0,12.0,11.8,13.6,0.0,0.0,4.0,24,0.4472406350708008,False,REGULAR,USD
12,MA210618P00180000,1587057888,180.0,13.75,12.5,15.2,0.0,0.0,1.0,150,0.44681339324951175,False,REGULAR,USD
13,MA210618P00185000,1585237748,185.0,14.22,14.0,16.7,0.0,0.0,5.0,19,0.4436701141357422,False,REGULAR,USD
14,MA210618P00190000,1587407204,190.0,16.1,15.4,17.9,0.0,0.0,4.0,46,0.4355830368041992,False,REGULAR,USD
15,MA210618P00195000,1585577199,195.0,20.05,17.05,19.9,0.0,0.0,1.0,17,0.43677321044921874,False,REGULAR,USD
16,MA210618P00200000,1587133184,200.0,17.0,18.75,21.45,0.0,0.0,1.0,770,0.43124958404541025,False,REGULAR,USD
17,MA210618P00210000,1587067044,210.0,24.0,22.1,25.05,0.0,0.0,2.0,89,0.42340664489746094,False,REGULAR,USD
18,MA210618P00220000,1587153316,220.0,23.69,26.2,29.0,0.0,0.0,3.0,129,0.4157925852966308,False,REGULAR,USD
19,MA210618P00230000,1586962568,230.0,29.0,31.5,34.2,0.0,0.0,2.0,579,0.41747103530883783,False,REGULAR,USD
20,MA210618P00240000,1586877860,240.0,29.5,36.1,37.8,0.0,0.0,1.0,78,0.3995879133605958,False,REGULAR,USD
21,MA210618P00250000,1586963588,250.0,37.92,40.4,42.95,0.0,0.0,1.0,405,0.39386592468261716,True,REGULAR,USD
22,MA210618P00260000,1587063789,260.0,47.85,44.8,47.95,0.0,0.0,3.0,192,0.3834747932434082,True,REGULAR,USD
23,MA210618P00270000,1587402865,270.0,48.92,50.2,53.35,0.0,0.0,1.0,62,0.3737245245361328,True,REGULAR,USD
24,MA210618P00280000,1587402865,280.0,54.57,56.35,59.75,0.0,0.0,1.0,54,0.37023029678344727,True,REGULAR,USD
25,MA210618P00290000,1586880483,290.0,52.94,62.6,65.6,0.0,0.0,1.0,13,0.3583743362426758,True,REGULAR,USD
26,MA210618P00300000,1587061074,300.0,71.38,69.15,72.45,0.0,0.0,1.0,135,0.3529270030212402,True,REGULAR,USD
27,MA210618P00310000,1585853972,310.0,88.25,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
28,MA210618P00320000,1584711373,320.0,102.5,74.9,77.95,0.0,0.0,9.0,39,0.234108000793457,True,REGULAR,USD
29,MA210618P00330000,1586181351,330.0,89.89,91.55,95.3,0.0,0.0,1.0,14,0.34241380249023434,True,REGULAR,USD
30,MA210618P00340000,1586881434,340.0,85.75,99.3,102.2,0.0,0.0,1.0,13,0.3242255078124999,True,REGULAR,USD
31,MA210618P00350000,1584019879,350.0,117.45,92.0,96.5,0.0,0.0,5.0,7,1.0000000000000003e-05,True,REGULAR,USD
32,MA210618P00360000,1584029832,360.0,125.7,99.7,104.0,0.0,0.0,3.0,11,1.0000000000000003e-05,True,REGULAR,USD
33,MA210618P00380000,1581607922,380.0,58.18,123.05,126.95,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
34,MA210618P00400000,1583434564,400.0,114.25,164.7,169.5,0.0,0.0,1.0,0,0.5032398309326171,True,REGULAR,USD
35,MA210618P00430000,1585297802,430.0,113.75,194.7,199.4,0.0,0.0,1.0,0,0.5141039801025391,True,REGULAR,USD
36,MA210618P00450000,1578509574,450.0,144.2,120.5,125.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
