,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CMCSA200619P00017500,1587404319,17.5,0.04,0.06,0.14,0.0,0.0,2,34,0.93945373046875,False,REGULAR,USD
1,CMCSA200619P00020000,1587139597,20.0,0.12,0.04,0.19,0.0,0.0,4,58,0.804689453125,False,REGULAR,USD
2,CMCSA200619P00022500,1586369808,22.5,0.21,0.12,0.27,0.0,0.0,1,45,0.73633076171875,False,REGULAR,USD
3,CMCSA200619P00025000,1587136362,25.0,0.21,0.31,0.45,0.0,0.0,1,235,0.7041045214843751,False,REGULAR,USD
4,CMCSA200619P00027500,1587394026,27.5,0.37,0.5,0.58,0.0,0.0,1,1294,0.6225623681640625,False,REGULAR,USD
5,CMCSA200619P00030000,1587410217,30.0,0.66,0.8,0.9,0.0,0.0,77,3735,0.5654340332031251,False,REGULAR,USD
6,CMCSA200619P00032500,1587401895,32.5,0.93,1.29,1.4,0.0,0.0,2,8728,0.5161181201171875,False,REGULAR,USD
7,CMCSA200619P00035000,1587478409,35.0,2.12,2.02,2.12,0.3499999,19.774006,10,17678,0.4753470434570312,False,REGULAR,USD
8,CMCSA200619P00037500,1587476741,37.5,3.25,3.15,3.3,0.5,18.181818,4,20594,0.44946839599609373,True,REGULAR,USD
9,CMCSA200619P00040000,1587477289,40.0,4.55,4.6,4.8,1.0000002,28.169022,36,43284,0.4165097412109374,True,REGULAR,USD
10,CMCSA200619P00042500,1587411712,42.5,5.85,6.5,6.75,0.0,0.0,47,10308,0.4062559375,True,REGULAR,USD
11,CMCSA200619P00045000,1587142483,45.0,7.21,8.65,8.95,0.0,0.0,3,9450,0.401373173828125,True,REGULAR,USD
12,CMCSA200619P00047500,1586200960,47.5,10.56,11.05,11.35,0.0,0.0,1,1603,0.42774009765625004,True,REGULAR,USD
13,CMCSA200619P00050000,1587045678,50.0,13.13,13.5,13.8,0.0,0.0,240,742,0.459966337890625,True,REGULAR,USD
14,CMCSA200619P00052500,1569506800,52.5,8.6,7.55,7.65,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
15,CMCSA200619P00055000,1570542336,55.0,11.35,9.8,10.5,0.0,0.0,24,0,1.0000000000000003e-05,True,REGULAR,USD
