,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,INTC200717P00025000,1587043854,25.0,0.08,0.0,0.35,0.0,0.0,40.0,428,0.89257919921875,False,REGULAR,USD
1,INTC200717P00027500,1585329842,27.5,0.21,0.0,0.0,0.0,0.0,4.0,96,0.2500075,False,REGULAR,USD
2,INTC200717P00030000,1587391888,30.0,0.22,0.07,0.47,0.0,0.0,10.0,163,0.7744163183593751,False,REGULAR,USD
3,INTC200717P00032500,1587401885,32.5,0.26,0.12,0.54,0.0,0.0,2.0,7,0.719729365234375,False,REGULAR,USD
4,INTC200717P00035000,1587134697,35.0,0.35,0.28,0.64,0.0,0.0,1.0,629,0.6884796777343751,False,REGULAR,USD
5,INTC200717P00037500,1587065431,37.5,0.5,0.55,0.89,0.0,0.0,3.0,249,0.6826203613281252,False,REGULAR,USD
6,INTC200717P00040000,1587408874,40.0,0.67,0.73,0.94,0.0,0.0,41.0,1054,0.6272009936523439,False,REGULAR,USD
7,INTC200717P00042500,1587390615,42.5,0.88,1.09,1.21,0.0,0.0,1.0,656,0.6064492480468751,False,REGULAR,USD
8,INTC200717P00045000,1587477893,45.0,1.53,1.49,1.59,0.30999994,25.40983,57.0,5472,0.5842326733398437,False,REGULAR,USD
9,INTC200717P00047500,1587409057,47.5,1.63,1.97,2.08,0.0,0.0,12.0,429,0.5622602368164062,False,REGULAR,USD
10,INTC200717P00050000,1587478420,50.0,2.62,2.56,2.68,0.3699999,16.444439,45.0,2241,0.5405319384765627,False,REGULAR,USD
11,INTC200717P00052500,1587478599,52.5,3.4,3.3,3.4,0.61000013,21.863804,22.0,6454,0.5197801928710937,False,REGULAR,USD
12,INTC200717P00055000,1587477972,55.0,4.25,4.15,4.35,0.75,21.428572,65.0,12719,0.5014698291015626,False,REGULAR,USD
13,INTC200717P00057500,1587478257,57.5,5.35,5.3,5.4,0.8499999,18.888887,475.0,6664,0.49121602539062503,False,REGULAR,USD
14,INTC200717P00060000,1587476405,60.0,6.5,6.5,6.7,0.8000002,14.03509,28.0,2052,0.47900911621093745,True,REGULAR,USD
15,INTC200717P00062500,1587476082,62.5,7.7,8.05,8.3,0.75,10.791368,4.0,789,0.47839877075195314,True,REGULAR,USD
16,INTC200717P00065000,1587476917,65.0,9.43,9.55,10.0,1.5300002,19.36709,2.0,381,0.4726615234375,True,REGULAR,USD
17,INTC200717P00067500,1587045983,67.5,10.18,11.15,11.9,0.0,0.0,11.0,296,0.4726615234375,True,REGULAR,USD
18,INTC200717P00070000,1587133192,70.0,10.96,13.15,13.85,0.0,0.0,1.0,87,0.4650932397460938,True,REGULAR,USD
19,INTC200717P00072500,1586202854,72.5,15.0,15.1,15.95,0.0,0.0,2.0,1,0.4621635815429688,True,REGULAR,USD
20,INTC200717P00075000,1587476978,75.0,17.6,17.7,18.3,2.0,12.820512,2.0,39,0.48340360351562506,True,REGULAR,USD
21,INTC200717P00077500,1586363726,77.5,19.01,19.8,20.7,0.0,0.0,1.0,21,0.506840869140625,True,REGULAR,USD
22,INTC200717P00080000,1586451515,80.0,22.0,22.35,23.35,0.0,0.0,1.0,1,0.5661664477539063,True,REGULAR,USD
23,INTC200717P00085000,1586787642,85.0,27.3,27.15,28.1,0.0,0.0,,2,0.5922892333984376,True,REGULAR,USD
