,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PEP200717C00080000,1586963010,80.0,54.8,52.65,53.15,0.0,0.0,,4,0.5468795312500001,True,REGULAR,USD
1,PEP200717C00085000,1585929429,85.0,38.93,47.5,48.25,0.0,0.0,1.0,0,0.5634809277343751,True,REGULAR,USD
2,PEP200717C00090000,1575646727,90.0,47.67,44.65,45.1,0.0,0.0,1.0,0,0.6887238159179689,True,REGULAR,USD
3,PEP200717C00095000,1585747822,95.0,24.88,38.1,38.75,0.0,0.0,1.0,1,0.5073291455078125,True,REGULAR,USD
4,PEP200717C00100000,1584990430,100.0,13.0,33.35,34.05,0.0,0.0,3.0,6,0.47461462890625,True,REGULAR,USD
5,PEP200717C00105000,1585240947,105.0,17.0,29.0,29.55,0.0,0.0,2.0,13,0.45178770874023444,True,REGULAR,USD
6,PEP200717C00110000,1587132173,110.0,27.8,24.4,25.05,0.0,0.0,1.0,130,0.41992767578125,True,REGULAR,USD
7,PEP200717C00115000,1586271942,115.0,20.56,20.0,20.6,0.0,0.0,1.0,199,0.383795224609375,True,REGULAR,USD
8,PEP200717C00120000,1587142886,120.0,18.66,16.3,16.95,0.0,0.0,1.0,480,0.37842418457031246,True,REGULAR,USD
9,PEP200717C00125000,1587389405,125.0,14.98,12.7,13.35,0.0,0.0,5.0,568,0.35962554443359374,True,REGULAR,USD
10,PEP200717C00130000,1587476450,130.0,9.4,9.75,10.2,-2.1500006,-18.614723,12.0,489,0.34448897705078124,True,REGULAR,USD
11,PEP200717C00135000,1587478369,135.0,6.9,6.95,7.4,-1.4999995,-17.857138,27.0,1972,0.3267889587402344,False,REGULAR,USD
12,PEP200717C00140000,1587476383,140.0,4.45,4.7,5.1,-1.2000003,-21.238943,33.0,964,0.31073687316894527,False,REGULAR,USD
13,PEP200717C00145000,1587411939,145.0,3.75,2.85,3.25,0.0,0.0,119.0,3642,0.2934640966796874,False,REGULAR,USD
14,PEP200717C00150000,1587411910,150.0,2.18,1.62,2.08,0.0,0.0,94.0,1478,0.2868723657226562,False,REGULAR,USD
15,PEP200717C00155000,1587406506,155.0,1.4,0.85,1.27,0.0,0.0,3.0,1617,0.28089098022460934,False,REGULAR,USD
16,PEP200717C00160000,1587399444,160.0,0.82,0.43,0.8,0.0,0.0,41.0,208,0.2810130493164062,False,REGULAR,USD
17,PEP200717C00165000,1587476411,165.0,0.24,0.2,0.45,-0.16000001,-40.000004,2.0,173,0.2758861474609374,False,REGULAR,USD
18,PEP200717C00170000,1585849361,170.0,0.15,0.09,0.26,0.0,0.0,1.0,10,0.2749095947265625,False,REGULAR,USD
19,PEP200717C00175000,1587402681,175.0,0.16,0.02,0.16,0.0,0.0,1.0,53,0.2778392529296875,False,REGULAR,USD
20,PEP200717C00180000,1586980422,180.0,0.06,0.0,0.12,0.0,0.0,3.0,269,0.2885813330078124,False,REGULAR,USD
21,PEP200717C00185000,1587048800,185.0,0.05,0.01,0.1,0.0,0.0,21.0,23,0.30274134765625,False,REGULAR,USD
22,PEP200717C00190000,1585240537,190.0,0.1,0.0,0.08,0.0,0.0,,5,0.313483427734375,False,REGULAR,USD
