,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PEP200717P00060000,1584723058,60.0,0.83,0.09,0.34,0.0,0.0,1.0,0,0.7695335546875001,False,REGULAR,USD
1,PEP200717P00065000,1585302512,65.0,0.67,0.0,1.47,0.0,0.0,1.0,2,0.8623060644531251,False,REGULAR,USD
2,PEP200717P00070000,1587475809,70.0,0.45,0.34,0.75,-0.030000001,-6.25,1.0,5,0.7392604199218749,False,REGULAR,USD
3,PEP200717P00075000,1585251866,75.0,1.7,0.44,0.92,0.0,0.0,65.0,100,0.6987334814453126,False,REGULAR,USD
4,PEP200717P00080000,1587055727,80.0,0.77,0.6,1.09,0.0,0.0,1.0,15,0.6596713720703126,False,REGULAR,USD
5,PEP200717P00085000,1586793484,85.0,1.11,0.78,1.23,0.0,0.0,1.0,668,0.6167030517578126,False,REGULAR,USD
6,PEP200717P00090000,1586891653,90.0,1.05,1.07,1.46,0.0,0.0,4.0,68,0.5835002587890624,False,REGULAR,USD
7,PEP200717P00095000,1586795601,95.0,1.55,1.33,1.77,0.0,0.0,10.0,175,0.5476119458007813,False,REGULAR,USD
8,PEP200717P00100000,1587401188,100.0,1.5,1.71,2.29,0.0,0.0,2.0,1434,0.5210008837890624,False,REGULAR,USD
9,PEP200717P00105000,1587149608,105.0,1.82,2.21,2.68,0.0,0.0,7.0,224,0.5028125891113282,False,REGULAR,USD
10,PEP200717P00110000,1587409167,110.0,2.45,2.9,3.3,0.0,0.0,9.0,1335,0.47095255615234377,False,REGULAR,USD
11,PEP200717P00115000,1587401812,115.0,2.8,3.7,4.15,0.0,0.0,2.0,1199,0.44397528686523435,False,REGULAR,USD
12,PEP200717P00120000,1587403318,120.0,3.8,4.9,5.3,0.0,0.0,4.0,1130,0.42163664306640625,False,REGULAR,USD
13,PEP200717P00125000,1587477224,125.0,6.5,6.4,6.8,1.6500001,34.020622,5.0,703,0.4028380029296875,False,REGULAR,USD
14,PEP200717P00130000,1587477639,130.0,8.5,8.2,8.5,2.0,30.76923,199.0,729,0.37915659912109373,False,REGULAR,USD
15,PEP200717P00135000,1587476333,135.0,10.85,10.6,10.8,2.1000004,24.000004,1.0,1127,0.36463037719726565,True,REGULAR,USD
16,PEP200717P00140000,1587148245,140.0,11.0,13.2,13.6,0.0,0.0,4.0,478,0.3537662280273437,True,REGULAR,USD
17,PEP200717P00145000,1586889289,145.0,12.95,16.65,17.25,0.0,0.0,2.0,160,0.3618227880859375,True,REGULAR,USD
18,PEP200717P00150000,1584717212,150.0,21.45,13.6,17.55,0.0,0.0,1.0,0,0.13868048828125001,True,REGULAR,USD
19,PEP200717P00155000,1587131446,155.0,20.7,24.55,25.1,0.0,0.0,7.0,35,0.3635927899169922,True,REGULAR,USD
20,PEP200717P00160000,1581013294,160.0,17.45,26.55,27.75,0.0,0.0,12.0,0,0.2309647216796875,True,REGULAR,USD
21,PEP200717P00165000,1587355589,165.0,29.7,33.55,34.05,0.0,0.0,,2,0.3800110827636719,True,REGULAR,USD
22,PEP200717P00170000,1585301610,170.0,38.42,44.75,49.5,0.0,0.0,,10,0.8161029132080078,True,REGULAR,USD
23,PEP200717P00180000,1578934756,180.0,44.55,32.8,35.1,0.0,0.0,12.0,24,1.0000000000000003e-05,True,REGULAR,USD
