,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COF200918P00022500,1587051529,22.5,1.35,1.02,1.79,0.0,0.0,2.0,8,1.1201215869140624,False,REGULAR,USD
1,COF200918P00025000,1586364363,25.0,1.53,1.33,2.35,0.0,0.0,5.0,49,1.0925338342285156,False,REGULAR,USD
2,COF200918P00027500,1587409322,27.5,1.86,1.73,2.48,0.0,0.0,3.0,9,1.0253954980468751,False,REGULAR,USD
3,COF200918P00030000,1587476325,30.0,2.6,2.26,2.51,0.79999995,44.444443,53.0,22,0.9614261669921874,False,REGULAR,USD
4,COF200918P00032500,1587130236,32.5,2.46,2.49,2.93,0.0,0.0,5.0,1301,0.9040536938476562,False,REGULAR,USD
5,COF200918P00035000,1587064884,35.0,3.42,2.89,3.4,0.0,0.0,43.0,495,0.8591322680664062,False,REGULAR,USD
6,COF200918P00037500,1587410008,37.5,3.6,3.75,4.0,0.0,0.0,5.0,53,0.8437515624999999,False,REGULAR,USD
7,COF200918P00040000,1587412253,40.0,4.2,4.3,4.65,0.0,0.0,15.0,347,0.80664255859375,False,REGULAR,USD
8,COF200918P00042500,1587409630,42.5,5.1,4.95,5.35,0.0,0.0,4.0,32,0.7717307983398438,False,REGULAR,USD
9,COF200918P00045000,1587410995,45.0,5.75,5.85,6.25,0.0,0.0,5.0,1642,0.7512231909179687,False,REGULAR,USD
10,COF200918P00047500,1587412763,47.5,6.75,6.7,7.2,0.0,0.0,20.0,130,0.7238797143554687,False,REGULAR,USD
11,COF200918P00050000,1587402933,50.0,7.5,7.85,8.25,0.0,0.0,2.0,191,0.7059355578613282,False,REGULAR,USD
12,COF200918P00052500,1587412202,52.5,8.7,9.05,9.45,0.0,0.0,4.0,79,0.688601746826172,True,REGULAR,USD
13,COF200918P00055000,1587406973,55.0,10.05,10.3,10.8,0.0,0.0,726.0,4205,0.6718782812500002,True,REGULAR,USD
14,COF200918P00057500,1587477383,57.5,11.65,11.75,12.35,1.1999998,11.483253,7.0,76,0.6628451684570313,True,REGULAR,USD
15,COF200918P00060000,1587408447,60.0,13.25,13.55,13.95,0.0,0.0,9.0,98,0.6618686157226563,True,REGULAR,USD
16,COF200918P00062500,1586965088,62.5,15.2,14.95,15.6,0.0,0.0,1.0,27,0.6411168701171875,True,REGULAR,USD
17,COF200918P00065000,1587404255,65.0,16.25,17.0,17.4,0.0,0.0,4.0,1345,0.6446568737792968,True,REGULAR,USD
18,COF200918P00067500,1587149919,67.5,17.28,18.5,19.35,0.0,0.0,4.0,100,0.6262244409179689,True,REGULAR,USD
19,COF200918P00070000,1586459636,70.0,15.0,20.2,21.45,0.0,0.0,8.0,64,0.6157264990234376,True,REGULAR,USD
20,COF200918P00075000,1584546274,75.0,34.5,22.7,23.5,0.0,0.0,5.0,93,0.44360907958984375,True,REGULAR,USD
21,COF200918P00077500,1584386076,77.5,22.17,25.9,27.25,0.0,0.0,20.0,13,0.5441940112304688,True,REGULAR,USD
22,COF200918P00080000,1584717870,80.0,34.95,25.3,27.75,0.0,0.0,2.0,113,0.336920693359375,True,REGULAR,USD
23,COF200918P00082500,1584548258,82.5,42.22,29.3,30.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
24,COF200918P00085000,1586441816,85.0,25.5,33.25,34.5,0.0,0.0,1.0,203,0.5979044116210939,True,REGULAR,USD
25,COF200918P00087500,1583773041,87.5,17.95,30.7,33.15,0.0,0.0,10.0,96,1.0000000000000003e-05,True,REGULAR,USD
26,COF200918P00090000,1585247395,90.0,32.8,37.8,39.45,0.0,0.0,14.0,139,0.6084023535156251,True,REGULAR,USD
27,COF200918P00092500,1586449510,92.5,32.3,39.5,41.85,0.0,0.0,1.0,47,0.5507857421875001,True,REGULAR,USD
28,COF200918P00095000,1584388236,95.0,48.91,41.45,45.15,0.0,0.0,3.0,27,0.5942423388671876,True,REGULAR,USD
29,COF200918P00097500,1585931589,97.5,58.0,45.05,46.7,0.0,0.0,5.0,160,0.6272009936523439,True,REGULAR,USD
30,COF200918P00100000,1585062137,100.0,52.2,46.95,49.15,0.0,0.0,4.0,71,0.57617611328125,True,REGULAR,USD
31,COF200918P00105000,1584978595,105.0,65.0,51.65,54.1,0.0,0.0,2.0,38,0.5566450585937501,True,REGULAR,USD
32,COF200918P00130000,1586279344,130.0,74.4,77.15,79.0,0.0,0.0,,23,0.7534204345703125,True,REGULAR,USD
33,COF200918P00140000,1586279345,140.0,84.4,87.3,88.9,0.0,0.0,3.0,12,0.80664255859375,True,REGULAR,USD
34,COF200918P00150000,1585296761,150.0,63.5,109.4,109.1,0.0,0.0,,52,1.9907227026367185,True,REGULAR,USD
