,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNP200918P00060000,1586283196,60.0,0.95,0.29,2.22,0.0,0.0,5.0,23,0.8659681372070311,False,REGULAR,USD
1,UNP200918P00065000,1587407610,65.0,1.05,0.07,1.4,0.0,0.0,3.0,17,0.7128934960937501,False,REGULAR,USD
2,UNP200918P00070000,1584717894,70.0,3.65,0.66,1.42,0.0,0.0,23.0,13,0.70117486328125,False,REGULAR,USD
3,UNP200918P00075000,1584717790,75.0,4.2,0.9,1.48,0.0,0.0,20.0,0,0.6618686157226563,False,REGULAR,USD
4,UNP200918P00080000,1587407034,80.0,1.65,1.47,2.68,0.0,0.0,11.0,253,0.6937286486816407,False,REGULAR,USD
5,UNP200918P00085000,1587406635,85.0,2.16,1.87,2.84,0.0,0.0,13.0,163,0.657229990234375,False,REGULAR,USD
6,UNP200918P00090000,1587406805,90.0,2.41,2.23,3.4,0.0,0.0,105.0,134,0.6322058264160157,False,REGULAR,USD
7,UNP200918P00095000,1587477183,95.0,3.6,3.1,4.05,0.099999905,2.85714,2.0,63,0.6215247808837892,False,REGULAR,USD
8,UNP200918P00100000,1587399310,100.0,3.45,2.94,4.55,0.0,0.0,10.0,120,0.573368524169922,False,REGULAR,USD
9,UNP200918P00105000,1587066968,105.0,4.85,4.65,5.45,0.0,0.0,13.0,65,0.580204393310547,False,REGULAR,USD
10,UNP200918P00110000,1587394084,110.0,4.8,5.65,6.55,0.0,0.0,6.0,319,0.5665936895751953,False,REGULAR,USD
11,UNP200918P00115000,1587065991,115.0,7.05,6.35,7.75,0.0,0.0,15.0,67,0.5438888385009766,False,REGULAR,USD
12,UNP200918P00120000,1587393944,120.0,6.95,8.1,9.05,0.0,0.0,7.0,123,0.537236072998047,False,REGULAR,USD
13,UNP200918P00125000,1587065972,125.0,9.7,9.6,10.5,0.0,0.0,10.0,98,0.5228319201660157,False,REGULAR,USD
14,UNP200918P00130000,1587066027,130.0,11.3,10.9,12.25,0.0,0.0,22.0,145,0.5047046600341796,False,REGULAR,USD
15,UNP200918P00135000,1587066045,135.0,13.05,13.15,14.5,0.0,0.0,42.0,233,0.5027515545654297,False,REGULAR,USD
16,UNP200918P00140000,1587406465,140.0,13.95,15.15,16.25,0.0,0.0,65.0,149,0.49942517181396484,False,REGULAR,USD
17,UNP200918P00145000,1587065987,145.0,17.35,17.55,18.7,0.0,0.0,5.0,158,0.4909108526611329,True,REGULAR,USD
18,UNP200918P00150000,1586958811,150.0,19.7,19.65,21.15,0.0,0.0,1.0,379,0.47687290710449215,True,REGULAR,USD
19,UNP200918P00155000,1586361026,155.0,20.6,22.65,24.45,0.0,0.0,5.0,109,0.4803518762207031,True,REGULAR,USD
20,UNP200918P00160000,1586267498,160.0,21.74,25.7,26.9,0.0,0.0,1.0,307,0.45508357421875,True,REGULAR,USD
21,UNP200918P00165000,1585056603,165.0,49.6,28.5,31.9,0.0,0.0,10.0,125,0.49573258178710944,True,REGULAR,USD
22,UNP200918P00170000,1584557737,170.0,58.0,27.45,28.9,0.0,0.0,26.0,142,0.28253891296386713,True,REGULAR,USD
23,UNP200918P00175000,1583171274,175.0,23.65,36.5,41.4,0.0,0.0,1.0,467,0.5540205731201173,True,REGULAR,USD
24,UNP200918P00180000,1584978937,180.0,69.92,40.0,42.85,0.0,0.0,1.0,303,0.4785818743896484,True,REGULAR,USD
25,UNP200918P00185000,1583249531,185.0,26.76,47.05,51.45,0.0,0.0,1.0,79,0.5524947094726562,True,REGULAR,USD
26,UNP200918P00190000,1582662740,190.0,51.85,51.5,55.65,0.0,0.0,3.0,0,0.5594526477050781,True,REGULAR,USD
27,UNP200918P00195000,1579880675,195.0,17.73,20.25,20.65,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD
28,UNP200918P00200000,1581011037,200.0,21.4,48.5,52.4,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
29,UNP200918P00210000,1581349714,210.0,29.45,67.0,71.25,0.0,0.0,4.0,0,0.57617611328125,True,REGULAR,USD
30,UNP200918P00220000,1564505708,220.0,45.5,58.55,60.1,0.0,0.0,,7,1.0000000000000003e-05,True,REGULAR,USD
31,UNP200918P00230000,1584038447,230.0,97.31,80.5,85.4,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
32,UNP200918P00240000,1585243272,240.0,65.15,99.55,104.4,0.0,0.0,,0,0.7233914379882812,True,REGULAR,USD
33,UNP200918P00250000,1585243272,250.0,74.78,111.8,116.0,0.0,0.0,,0,0.8316667224121093,True,REGULAR,USD
