,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WMT200918P00055000,1587134666,55.0,0.34,0.25,1.09,0.0,0.0,5,161,0.7680687255859376,False,REGULAR,USD
1,WMT200918P00060000,1587475804,60.0,0.59,0.17,0.54,0.18999997,47.49999,1,57,0.6235389208984375,False,REGULAR,USD
2,WMT200918P00065000,1587064631,65.0,0.49,0.23,0.62,0.0,0.0,3,330,0.5830119824218749,False,REGULAR,USD
3,WMT200918P00070000,1587066605,70.0,0.46,0.38,2.21,0.0,0.0,5,269,0.6623568920898439,False,REGULAR,USD
4,WMT200918P00075000,1587136689,75.0,0.71,0.47,1.38,0.0,0.0,3,247,0.5554243676757813,False,REGULAR,USD
5,WMT200918P00080000,1587401959,80.0,0.85,0.53,1.87,0.0,0.0,6,141,0.5314988256835937,False,REGULAR,USD
6,WMT200918P00085000,1587409048,85.0,1.02,0.95,1.83,0.0,0.0,14,380,0.5329636547851562,False,REGULAR,USD
7,WMT200918P00090000,1587475945,90.0,1.44,1.25,3.7,0.17000008,13.385833,13,449,0.5220995056152342,False,REGULAR,USD
8,WMT200918P00095000,1587145941,95.0,1.61,1.83,3.85,0.0,0.0,3,404,0.5430953894042969,False,REGULAR,USD
9,WMT200918P00100000,1587475840,100.0,2.35,2.28,4.1,0.19999981,9.302317,1,396,0.4940236145019532,False,REGULAR,USD
10,WMT200918P00105000,1587412229,105.0,5.15,2.81,3.25,0.0,0.0,33,2142,0.3939269592285156,False,REGULAR,USD
11,WMT200918P00110000,1587411347,110.0,3.6,3.9,4.15,0.0,0.0,168,1865,0.37641004455566407,False,REGULAR,USD
12,WMT200918P00115000,1587394631,115.0,4.58,5.15,5.3,0.0,0.0,28,1397,0.360785200805664,False,REGULAR,USD
13,WMT200918P00120000,1587478643,120.0,6.74,6.5,6.9,0.8499999,14.431238,11,1159,0.35205726074218746,False,REGULAR,USD
14,WMT200918P00125000,1587477434,125.0,8.5,8.3,8.65,0.8499999,11.11111,16,1084,0.3382634533691406,False,REGULAR,USD
15,WMT200918P00130000,1587478636,130.0,10.74,10.7,10.9,0.8800001,8.924952,40,630,0.32996275512695306,False,REGULAR,USD
16,WMT200918P00135000,1587476831,135.0,13.5,13.0,13.5,0.3800001,2.8963423,3,58,0.3217841259765625,True,REGULAR,USD
17,WMT200918P00140000,1586959561,140.0,16.0,16.1,16.4,0.0,0.0,50,74,0.31201859863281245,True,REGULAR,USD
18,WMT200918P00145000,1586179804,145.0,24.29,19.35,21.0,0.0,0.0,2,10,0.34632001342773433,True,REGULAR,USD
19,WMT200918P00150000,1585238998,150.0,28.26,22.95,23.8,0.0,0.0,1,2,0.31317825500488283,True,REGULAR,USD
20,WMT200918P00155000,1586195139,155.0,33.03,27.1,27.75,0.0,0.0,2,3,0.30878376770019533,True,REGULAR,USD
21,WMT200918P00160000,1587058372,160.0,30.3,31.6,32.1,0.0,0.0,1,2,0.31238480590820306,True,REGULAR,USD
