,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,EXC201016C00030000,1584987937,30.0,8.1,7.5,8.8,0.0,0.0,10.0,0,0.5419967675781252,True,REGULAR,USD
1,EXC201016C00032000,1584039044,32.0,6.7,8.6,9.5,0.0,0.0,,427,0.7028838305664062,True,REGULAR,USD
2,EXC201016C00033000,1584733833,33.0,4.0,7.0,8.4,0.0,0.0,1.0,0,0.6098671826171876,True,REGULAR,USD
3,EXC201016C00034000,1584983888,34.0,3.1,5.2,5.6,0.0,0.0,1.0,107,0.44043528320312497,True,REGULAR,USD
4,EXC201016C00035000,1585062160,35.0,3.3,4.4,5.2,0.0,0.0,1.0,172,0.4514215014648438,True,REGULAR,USD
5,EXC201016C00036000,1585064644,36.0,1.9,3.8,4.6,0.0,0.0,91.0,91,0.4381159704589844,True,REGULAR,USD
6,EXC201016C00037000,1587143340,37.0,4.9,3.6,4.1,0.0,0.0,1.0,62,0.43164630859375,False,REGULAR,USD
7,EXC201016C00038000,1586267433,38.0,3.9,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD
8,EXC201016C00039000,1587475810,39.0,3.08,2.65,3.2,0.07999992,2.6666641,3.0,151,0.4185849157714844,False,REGULAR,USD
9,EXC201016C00040000,1586974150,40.0,2.89,2.2,2.65,0.0,0.0,2.0,688,0.3969786865234375,False,REGULAR,USD
10,EXC201016C00041000,1586893963,41.0,3.2,1.85,2.35,0.0,0.0,5.0,16,0.3969786865234375,False,REGULAR,USD
11,EXC201016C00042000,1585665272,42.0,2.5,1.45,2.0,0.0,0.0,50.0,186,0.38843385009765624,False,REGULAR,USD
12,EXC201016C00043000,1587409579,43.0,1.45,1.3,1.7,0.0,0.0,8.0,67,0.38184211914062494,False,REGULAR,USD
13,EXC201016C00044000,1586965761,44.0,1.5,0.9,1.5,0.0,0.0,2.0,3,0.3830628100585937,False,REGULAR,USD
14,EXC201016C00045000,1587406572,45.0,1.1,0.5,1.3,0.0,0.0,3.0,22,0.3815979809570312,False,REGULAR,USD
15,EXC201016C00046000,1586446786,46.0,1.75,0.6,1.0,0.0,0.0,36.0,76,0.36377589355468753,False,REGULAR,USD
16,EXC201016C00047000,1587395444,47.0,0.7,0.55,0.9,0.0,0.0,105.0,133,0.36914693359375,False,REGULAR,USD
17,EXC201016C00049000,1587136103,49.0,0.5,0.25,0.65,0.0,0.0,20.0,34,0.3657289990234375,False,REGULAR,USD
18,EXC201016C00050000,1587405558,50.0,0.35,0.1,0.55,0.0,0.0,5.0,103,0.36426416992187505,False,REGULAR,USD
19,EXC201016C00055000,1586196368,55.0,0.15,0.0,0.9,0.0,0.0,1.0,73,0.4995167236328125,False,REGULAR,USD
