,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JPM201218C00045000,1587052268,45.0,44.5,45.95,47.1,0.0,0.0,2.0,3,0.5808147387695313,True,REGULAR,USD
1,JPM201218C00055000,1587052307,55.0,35.65,37.2,38.4,0.0,0.0,38.0,20,0.5590864404296876,True,REGULAR,USD
2,JPM201218C00060000,1587475903,60.0,32.6,32.9,34.0,-3.3500023,-9.318504,12.0,79,0.5293015820312501,True,REGULAR,USD
3,JPM201218C00065000,1586790651,65.0,33.08,29.1,30.1,0.0,0.0,1.0,6,0.5211839874267576,True,REGULAR,USD
4,JPM201218C00070000,1587143961,70.0,28.28,25.25,26.5,0.0,0.0,4.0,20,0.506840869140625,True,REGULAR,USD
5,JPM201218C00075000,1587133577,75.0,23.0,21.75,22.7,0.0,0.0,4.0,68,0.5059863854980469,True,REGULAR,USD
6,JPM201218C00080000,1587408324,80.0,18.95,18.45,19.3,0.0,0.0,1.0,53,0.4845022253417969,True,REGULAR,USD
7,JPM201218C00085000,1587409568,85.0,15.75,15.35,16.0,0.0,0.0,5.0,187,0.4585015087890626,True,REGULAR,USD
8,JPM201218C00090000,1587476644,90.0,12.65,12.8,13.4,-0.87000084,-6.4349174,2.0,419,0.44861391235351555,True,REGULAR,USD
9,JPM201218C00095000,1587477456,95.0,11.0,10.4,11.0,0.25,2.3255813,5.0,331,0.435979761352539,False,REGULAR,USD
10,JPM201218C00100000,1587477427,100.0,9.2,8.4,9.0,0.27999973,3.1390104,14.0,435,0.4276180285644532,False,REGULAR,USD
11,JPM201218C00105000,1587476849,105.0,6.76,6.55,7.25,0.26000023,4.0000033,1.0,439,0.41864595031738283,False,REGULAR,USD
12,JPM201218C00110000,1587410482,110.0,5.2,5.2,5.65,0.0,0.0,98.0,7593,0.40595076477050784,False,REGULAR,USD
13,JPM201218C00115000,1587407957,115.0,4.15,3.95,4.3,0.0,0.0,6.0,599,0.39325557922363286,False,REGULAR,USD
14,JPM201218C00120000,1587412239,120.0,3.27,2.97,3.35,0.0,0.0,13.0,1473,0.38794557373046873,False,REGULAR,USD
15,JPM201218C00125000,1587475847,125.0,2.2,2.18,2.63,-0.25,-10.204082,18.0,1164,0.3852600537109374,False,REGULAR,USD
16,JPM201218C00130000,1587478373,130.0,1.85,1.61,2.07,0.13,7.5581393,4.0,1732,0.383795224609375,False,REGULAR,USD
17,JPM201218C00135000,1587477069,135.0,1.25,1.03,1.82,-0.08000004,-6.0150404,50.0,2076,0.3947814428710938,False,REGULAR,USD
18,JPM201218C00140000,1587409232,140.0,0.98,0.62,1.36,0.0,0.0,1.0,925,0.38794557373046873,False,REGULAR,USD
19,JPM201218C00145000,1587402149,145.0,0.8,0.62,1.04,0.0,0.0,10.0,482,0.3845276391601562,False,REGULAR,USD
20,JPM201218C00150000,1587390475,150.0,0.5,0.45,0.75,0.0,0.0,1.0,1098,0.3773255627441406,False,REGULAR,USD
21,JPM201218C00155000,1587152593,155.0,0.59,0.15,0.73,0.0,0.0,2.0,282,0.3934386828613281,False,REGULAR,USD
22,JPM201218C00160000,1587062074,160.0,0.31,0.08,0.34,0.0,0.0,2.0,150,0.358404853515625,False,REGULAR,USD
23,JPM201218C00165000,1587408396,165.0,0.22,0.04,0.48,0.0,0.0,1.0,121,0.39600213378906257,False,REGULAR,USD
24,JPM201218C00170000,1587142474,170.0,0.2,0.04,0.36,0.0,0.0,1.0,100,0.3920959228515625,False,REGULAR,USD
25,JPM201218C00175000,1587151133,175.0,0.15,0.03,0.33,0.0,0.0,1.0,145,0.4008848974609375,False,REGULAR,USD
26,JPM201218C00180000,1587139279,180.0,0.11,0.03,0.18,0.0,0.0,21.0,33,0.3794007373046875,False,REGULAR,USD
27,JPM201218C00185000,1586968854,185.0,0.06,0.03,0.22,0.0,0.0,1.0,110,0.4028380029296875,False,REGULAR,USD
28,JPM201218C00190000,1586807804,190.0,0.11,0.01,0.19,0.0,0.0,,25,0.4067442138671875,False,REGULAR,USD
29,JPM201218C00195000,1584554660,195.0,0.14,0.0,0.14,0.0,0.0,,0,0.4023497265625,False,REGULAR,USD
30,JPM201218C00200000,1587060499,200.0,0.11,0.02,0.14,0.0,0.0,1.0,29,0.41309180664062495,False,REGULAR,USD
