,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG210115P00520000,1587496586,520.0,4.4,3.0,4.2,0.0,0.0,1.0,449,0.5397995239257813,False,REGULAR,USD
1,GOOG210115P00540000,1587488496,540.0,5.2,3.5,4.8,0.0,0.0,2.0,332,0.5316208947753907,False,REGULAR,USD
2,GOOG210115P00560000,1587051438,560.0,4.1,4.1,5.4,0.0,0.0,11.0,234,0.5233812310791015,False,REGULAR,USD
3,GOOG210115P00580000,1585248915,580.0,9.46,4.7,6.2,0.0,0.0,8.0,196,0.5159655337524415,False,REGULAR,USD
4,GOOG210115P00600000,1587578733,600.0,6.58,6.0,6.9,0.77999973,13.44827,6.0,504,0.512150874633789,False,REGULAR,USD
5,GOOG210115P00620000,1587044510,620.0,5.53,6.3,7.8,0.0,0.0,1.0,80,0.5011341390991212,False,REGULAR,USD
6,GOOG210115P00640000,1587578733,640.0,8.46,7.2,8.8,-5.4300003,-39.092873,3.0,171,0.5041248318481445,False,REGULAR,USD
7,GOOG210115P00660000,1586354866,660.0,10.69,8.2,9.9,0.0,0.0,30.0,90,0.4971058590698243,False,REGULAR,USD
8,GOOG210115P00680000,1586977107,680.0,7.9,9.4,11.1,0.0,0.0,16.0,189,0.4901936967468263,False,REGULAR,USD
9,GOOG210115P00700000,1587480692,700.0,13.75,10.4,12.4,0.0,0.0,14.0,243,0.483327310333252,False,REGULAR,USD
10,GOOG210115P00720000,1587392350,720.0,11.06,12.4,13.8,0.0,0.0,1.0,238,0.4764456652832031,False,REGULAR,USD
11,GOOG210115P00740000,1586286573,740.0,16.5,13.8,15.3,0.0,0.0,3.0,112,0.4695335029602051,False,REGULAR,USD
12,GOOG210115P00760000,1587059869,760.0,15.5,15.3,17.1,0.0,0.0,3.0,90,0.4640098765563965,False,REGULAR,USD
13,GOOG210115P00780000,1586804216,780.0,17.8,16.5,18.8,0.0,0.0,1.0,52,0.4568535760498047,False,REGULAR,USD
14,GOOG210115P00800000,1587485677,800.0,23.22,18.7,20.8,0.0,0.0,11.0,591,0.45084167327880864,False,REGULAR,USD
15,GOOG210115P00820000,1586893404,820.0,15.9,20.7,23.3,0.0,0.0,1.0,72,0.44688968643188476,False,REGULAR,USD
16,GOOG210115P00840000,1587064904,840.0,24.0,22.7,25.5,0.0,0.0,11.0,128,0.44022929161071767,False,REGULAR,USD
17,GOOG210115P00860000,1586357417,860.0,28.7,25.3,28.4,0.0,0.0,12.0,149,0.43636122726440424,False,REGULAR,USD
18,GOOG210115P00880000,1587580024,880.0,30.0,28.0,31.2,4.6000004,18.110237,1.0,171,0.4309901872253418,False,REGULAR,USD
19,GOOG210115P00900000,1587405304,900.0,28.85,31.8,34.2,0.0,0.0,1.0,581,0.4256496644592285,False,REGULAR,USD
20,GOOG210115P00920000,1587494318,920.0,43.0,34.5,37.6,0.0,0.0,3.0,198,0.4211483666992188,False,REGULAR,USD
21,GOOG210115P00940000,1587483081,940.0,48.7,37.3,41.2,0.0,0.0,31.0,1937,0.4165173705291747,False,REGULAR,USD
22,GOOG210115P00960000,1587481926,960.0,54.1,41.0,45.0,0.0,0.0,1.0,132,0.41174904663085937,False,REGULAR,USD
23,GOOG210115P00980000,1587482302,980.0,59.9,45.1,49.2,0.0,0.0,6.0,410,0.4075529216003418,False,REGULAR,USD
24,GOOG210115P01000000,1587494876,1000.0,63.0,50.9,53.6,0.0,0.0,3.0,809,0.40312028770446773,False,REGULAR,USD
25,GOOG210115P01020000,1587575707,1020.0,60.0,53.8,58.2,-9.0,-13.043478,2.0,178,0.39847403289794925,False,REGULAR,USD
26,GOOG210115P01030000,1587568715,1030.0,63.1,57.1,60.8,9.799999,18.38649,46.0,67,0.3967803242492676,False,REGULAR,USD
27,GOOG210115P01040000,1587499161,1040.0,77.46,59.4,63.3,0.0,0.0,50.0,142,0.39452967536926276,False,REGULAR,USD
28,GOOG210115P01050000,1587564548,1050.0,70.0,62.2,65.6,-10.0,-12.5,2.0,646,0.39145506011962883,False,REGULAR,USD
29,GOOG210115P01060000,1587482337,1060.0,83.1,64.1,68.9,0.0,0.0,3.0,74,0.3911880339813232,False,REGULAR,USD
30,GOOG210115P01070000,1587494181,1070.0,81.6,67.0,71.4,0.0,0.0,2.0,62,0.38828126373291016,False,REGULAR,USD
31,GOOG210115P01080000,1587494181,1080.0,84.93,71.0,74.8,0.0,0.0,3.0,116,0.3877739140701294,False,REGULAR,USD
32,GOOG210115P01090000,1587486026,1090.0,91.0,71.8,77.6,0.0,0.0,1.0,93,0.3852982003021239,False,REGULAR,USD
33,GOOG210115P01100000,1587497187,1100.0,93.22,74.8,80.6,0.0,0.0,13.0,632,0.38316962051391595,False,REGULAR,USD
34,GOOG210115P01110000,1587482337,1110.0,100.6,78.2,83.6,0.0,0.0,12.0,57,0.3808236051559448,False,REGULAR,USD
35,GOOG210115P01120000,1587565033,1120.0,92.5,81.3,87.1,14.300003,18.28645,1.0,171,0.37961435821533207,False,REGULAR,USD
36,GOOG210115P01125000,1587405283,1125.0,80.0,82.8,88.7,0.0,0.0,1.0,357,0.3785195510482788,False,REGULAR,USD
37,GOOG210115P01130000,1587570550,1130.0,95.0,84.5,90.3,13.400002,16.42157,1.0,37,0.37737133865356437,False,REGULAR,USD
38,GOOG210115P01135000,1587405282,1135.0,83.2,85.9,92.1,0.0,0.0,1.0,24,0.3766923293304443,False,REGULAR,USD
39,GOOG210115P01140000,1587405283,1140.0,84.8,87.8,93.7,0.0,0.0,1.0,42,0.37543349182128904,False,REGULAR,USD
40,GOOG210115P01145000,1587405387,1145.0,86.4,90.0,95.5,0.0,0.0,1.0,26,0.374643857383728,False,REGULAR,USD
41,GOOG210115P01150000,1587405281,1150.0,88.3,91.8,97.4,0.0,0.0,1.0,571,0.3740525852203369,False,REGULAR,USD
