,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COP220121C00013000,1587482561,13.0,21.0,22.15,23.15,0.0,0.0,1,4,0.526371923828125,True,REGULAR,USD
1,COP220121C00015000,1586971737,15.0,17.55,20.4,21.65,0.0,0.0,1,32,0.5344284838867188,True,REGULAR,USD
2,COP220121C00018000,1587412436,18.0,18.15,18.15,19.15,0.0,0.0,9,34,0.523442265625,True,REGULAR,USD
3,COP220121C00020000,1587573279,20.0,16.8,16.65,17.8,-0.20000076,-1.176475,3,91,0.5219774365234374,True,REGULAR,USD
4,COP220121C00023000,1586806807,23.0,14.45,14.95,15.8,0.0,0.0,2,63,0.5288133056640626,True,REGULAR,USD
5,COP220121C00025000,1587391701,25.0,13.25,13.3,14.6,0.0,0.0,3,250,0.5080615600585938,True,REGULAR,USD
6,COP220121C00030000,1587579309,30.0,11.05,10.5,11.75,0.75,7.281553,42,460,0.5310105493164063,True,REGULAR,USD
7,COP220121C00035000,1587578719,35.0,9.0,8.75,9.25,1.0,12.5,14,347,0.5040332800292968,True,REGULAR,USD
8,COP220121C00040000,1587491710,40.0,6.93,6.75,7.0,0.27999973,4.210522,1,3561,0.4726615234375,False,REGULAR,USD
9,COP220121C00045000,1587141015,45.0,4.3,4.45,6.2,0.0,0.0,1,140,0.5022022436523439,False,REGULAR,USD
10,COP220121C00050000,1587568479,50.0,4.1,3.2,4.45,0.099999905,2.4999976,18,136,0.46533737792968755,False,REGULAR,USD
11,COP220121C00052500,1587563594,52.5,3.8,2.66,4.35,1.1499999,43.39622,10,64,0.4849905017089844,False,REGULAR,USD
12,COP220121C00055000,1587402312,55.0,2.55,2.58,3.0,0.0,0.0,2,236,0.4292049267578125,False,REGULAR,USD
13,COP220121C00057500,1584038654,57.5,2.43,1.89,3.7,0.0,0.0,7,31,0.49231464721679696,False,REGULAR,USD
14,COP220121C00060000,1587569748,60.0,2.28,1.95,2.63,0.48000002,26.666668,51,793,0.44605046142578125,False,REGULAR,USD
15,COP220121C00062500,1587495634,62.5,1.55,1.42,2.38,0.0,0.0,13,153,0.44751529052734373,False,REGULAR,USD
16,COP220121C00065000,1587153018,65.0,1.27,1.42,2.11,0.0,0.0,14,1298,0.44556218505859374,False,REGULAR,USD
17,COP220121C00067500,1587055502,67.5,0.7,0.78,2.12,0.0,0.0,4,136,0.46191944335937507,False,REGULAR,USD
18,COP220121C00070000,1587566272,70.0,1.2,0.99,1.52,0.100000024,9.090911,2,279,0.43066975585937506,False,REGULAR,USD
19,COP220121C00072500,1587562665,72.5,1.0,0.47,1.66,0.5,100.0,2,327,0.4556939196777344,False,REGULAR,USD
20,COP220121C00075000,1586287817,75.0,0.75,0.45,1.46,0.0,0.0,4,153,0.45215391601562505,False,REGULAR,USD
21,COP220121C00080000,1586791384,80.0,0.7,0.41,1.02,0.0,0.0,10,227,0.43457596679687505,False,REGULAR,USD
22,COP220121C00085000,1586455791,85.0,0.48,0.07,0.9,0.0,0.0,10,107,0.44287666503906253,False,REGULAR,USD
23,COP220121C00090000,1587562202,90.0,0.47,0.21,0.6,0.120000005,34.285717,1,371,0.4243221630859375,False,REGULAR,USD
24,COP220121C00095000,1587571776,95.0,0.27,0.2,0.55,0.0,0.0,22,59,0.4343318286132813,False,REGULAR,USD
