,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GE220121C00001000,1587576357,1.0,5.5,5.45,5.6,-0.099999905,-1.7857126,9,630,0.9609378906249999,True,REGULAR,USD
1,GE220121C00002000,1587570764,2.0,4.75,4.6,4.75,-0.05000019,-1.0416706,3,438,0.804689453125,True,REGULAR,USD
2,GE220121C00003000,1587574545,3.0,3.95,3.85,4.0,0.0,0.0,12,1591,0.7324245507812499,True,REGULAR,USD
3,GE220121C00004000,1587577910,4.0,3.26,3.25,3.35,-0.089999914,-2.6865647,37,3787,0.70117486328125,True,REGULAR,USD
4,GE220121C00005000,1587580416,5.0,2.72,2.7,2.74,-0.059999943,-2.1582713,140,12007,0.65820654296875,True,REGULAR,USD
5,GE220121C00007000,1587580782,7.0,1.84,1.83,1.86,-0.01999998,-1.0752678,667,33980,0.6127968408203126,False,REGULAR,USD
6,GE220121C00010000,1587579865,10.0,1.01,1.01,1.02,0.0,0.0,816,58069,0.5717816259765626,False,REGULAR,USD
7,GE220121C00012000,1587579506,12.0,0.69,0.68,0.71,0.00999999,1.4705868,273,36052,0.5585981640625001,False,REGULAR,USD
8,GE220121C00015000,1587578902,15.0,0.42,0.41,0.42,0.03999999,10.526314,580,43517,0.5498091894531252,False,REGULAR,USD
9,GE220121C00017000,1587574287,17.0,0.3,0.26,0.3,0.02000001,7.1428604,54,9026,0.5361374511718751,False,REGULAR,USD
10,GE220121C00020000,1587580108,20.0,0.2,0.19,0.21,0.0,0.0,80,20092,0.5488326367187502,False,REGULAR,USD
11,GE220121C00022000,1587578511,22.0,0.17,0.16,0.17,0.030000001,21.428572,15,6835,0.5566450585937501,False,REGULAR,USD
12,GE220121C00025000,1587579023,25.0,0.13,0.12,0.14,0.0,0.0,103,6369,0.570316796875,False,REGULAR,USD
