,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BRKB220318C00100000,1587498972,100.0,92.2,92.05,97.0,0.0,0.0,1.0,7,0.5256089920043946,True,REGULAR,USD
1,BRKB220318C00120000,1584742214,120.0,69.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,BRKB220318C00130000,1584331561,130.0,68.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,BRKB220318C00135000,1585672356,135.0,63.65,64.0,68.3,0.0,0.0,,1,0.4250240603637696,True,REGULAR,USD
4,BRKB220318C00155000,1586458950,155.0,55.0,49.25,53.4,0.0,0.0,2.0,23,0.38042306594848635,True,REGULAR,USD
5,BRKB220318C00160000,1586439350,160.0,53.0,45.55,50.15,0.0,0.0,1.0,0,0.37329728271484375,True,REGULAR,USD
6,BRKB220318C00165000,1586795298,165.0,44.95,42.15,46.95,0.0,0.0,1.0,1,0.3658510681152344,True,REGULAR,USD
7,BRKB220318C00170000,1587052887,170.0,41.5,39.1,43.8,0.0,0.0,2.0,10,0.35808442214965824,True,REGULAR,USD
8,BRKB220318C00175000,1585943067,175.0,37.5,36.0,40.5,0.0,0.0,4.0,3,0.34792217025756833,True,REGULAR,USD
9,BRKB220318C00180000,1587567068,180.0,35.5,33.0,37.15,-0.9700012,-2.6597235,1.0,27,0.3365087101745606,True,REGULAR,USD
10,BRKB220318C00185000,1587400729,185.0,33.25,30.0,34.45,0.0,0.0,1.0,18,0.3308477560424804,True,REGULAR,USD
11,BRKB220318C00190000,1586786568,190.0,31.5,27.65,32.05,0.0,0.0,2.0,28,0.32720094192504884,False,REGULAR,USD
12,BRKB220318C00195000,1586455362,195.0,31.0,25.15,29.2,0.0,0.0,3.0,7,0.3181220532226562,False,REGULAR,USD
13,BRKB220318C00200000,1586784605,200.0,30.0,22.15,26.85,0.0,0.0,2.0,114,0.31296463409423825,False,REGULAR,USD
14,BRKB220318C00205000,1586202654,205.0,21.52,20.3,24.5,0.0,0.0,1.0,34,0.30680014495849606,False,REGULAR,USD
15,BRKB220318C00210000,1585841173,210.0,18.3,18.0,22.0,0.0,0.0,1.0,6,0.29813323944091785,False,REGULAR,USD
16,BRKB220318C00215000,1586267022,215.0,20.39,15.55,19.9,0.0,0.0,1.0,5,0.29231969894409165,False,REGULAR,USD
17,BRKB220318C00220000,1587057114,220.0,15.16,13.75,17.85,0.0,0.0,2.0,22,0.2859110716247558,False,REGULAR,USD
18,BRKB220318C00225000,1585942376,225.0,11.0,11.7,16.15,0.0,0.0,2.0,7,0.2818980502319336,False,REGULAR,USD
19,BRKB220318C00230000,1587475920,230.0,11.5,10.3,14.95,0.0,0.0,2.0,12,0.2819743434143066,False,REGULAR,USD
20,BRKB220318C00235000,1587393289,235.0,11.13,9.15,13.45,0.0,0.0,1.0,226,0.2779918392944336,False,REGULAR,USD
21,BRKB220318C00240000,1587490859,240.0,9.3,7.6,11.35,0.0,0.0,1.0,461,0.2663342410278321,False,REGULAR,USD
22,BRKB220318C00245000,1586795013,245.0,8.1,6.45,10.95,0.0,0.0,2.0,33,0.2722851092529296,False,REGULAR,USD
23,BRKB220318C00250000,1587409699,250.0,7.0,5.5,9.2,0.0,0.0,1.0,17,0.26203130554199217,False,REGULAR,USD
24,BRKB220318C00260000,1586182899,260.0,6.75,4.15,7.8,0.0,0.0,1.0,2,0.2631451860046387,False,REGULAR,USD
25,BRKB220318C00270000,1586284789,270.0,3.35,2.8,5.5,0.0,0.0,2.0,132,0.24845111907958983,False,REGULAR,USD
