,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BAC200501C00008000,1587067091,8.0,13.47,13.75,13.85,0.0,0.0,1,241,1.0000000000000003e-05,True,REGULAR,USD
1,BAC200501C00010000,1586461289,10.0,14.88,11.75,11.85,0.0,0.0,4,100,1.0000000000000003e-05,True,REGULAR,USD
2,BAC200501C00013000,1586443075,13.0,11.86,8.75,8.9,0.0,0.0,1,1,1.4375028125,True,REGULAR,USD
3,BAC200501C00014000,1586800598,14.0,10.12,7.7,7.85,0.0,0.0,15,15,1.0000000000000003e-05,True,REGULAR,USD
4,BAC200501C00015000,1587489892,15.0,6.8,6.75,6.9,0.0,0.0,1,4,1.0781296093750001,True,REGULAR,USD
5,BAC200501C00016000,1587134412,16.0,6.65,5.75,5.85,0.0,0.0,1,5,1.0000000000000003e-05,True,REGULAR,USD
6,BAC200501C00016500,1587059111,16.5,4.92,5.25,5.35,0.0,0.0,1,9,1.0000000000000003e-05,True,REGULAR,USD
7,BAC200501C00017000,1587568365,17.0,5.0,4.75,4.9,0.26000023,5.485237,6,77,0.7578149218750001,True,REGULAR,USD
8,BAC200501C00017500,1587485093,17.5,4.44,4.3,4.4,0.0,0.0,16,23,0.6875031250000001,True,REGULAR,USD
9,BAC200501C00018000,1586960160,18.0,4.5,3.8,3.9,0.0,0.0,4,26,0.6093789062500001,True,REGULAR,USD
10,BAC200501C00018500,1587498602,18.5,3.35,3.35,3.45,0.0,0.0,1,54,0.5312546875,True,REGULAR,USD
11,BAC200501C00019000,1587575809,19.0,2.93,2.93,2.94,0.08000016,2.8070233,24,179,0.5664105859375,True,REGULAR,USD
12,BAC200501C00019500,1587499125,19.5,2.53,2.48,2.51,0.0,0.0,127,380,0.585941640625,True,REGULAR,USD
13,BAC200501C00020000,1587578395,20.0,2.09,2.07,2.09,-0.05000019,-2.3364575,63,1810,0.5918009570312501,True,REGULAR,USD
14,BAC200501C00020500,1587579670,20.5,1.7,1.68,1.7,-0.03999996,-2.2988484,169,377,0.58789474609375,True,REGULAR,USD
15,BAC200501C00021000,1587580651,21.0,1.32,1.33,1.35,-0.13,-8.965517,178,1339,0.5839885351562499,True,REGULAR,USD
16,BAC200501C00021500,1587580327,21.5,1.03,1.01,1.03,-0.09000003,-8.035718,715,4021,0.570316796875,True,REGULAR,USD
17,BAC200501C00022000,1587580456,22.0,0.76,0.76,0.77,-0.110000014,-12.643681,2044,5914,0.56836369140625,False,REGULAR,USD
18,BAC200501C00022500,1587580481,22.5,0.56,0.54,0.56,-0.110000014,-16.417913,888,2610,0.5625043750000001,False,REGULAR,USD
19,BAC200501C00023000,1587580481,23.0,0.39,0.38,0.39,-0.110000014,-22.000004,929,2383,0.5585981640625001,False,REGULAR,USD
20,BAC200501C00023500,1587580871,23.5,0.27,0.26,0.27,-0.099999994,-27.027025,697,1755,0.5585981640625001,False,REGULAR,USD
21,BAC200501C00024000,1587580589,24.0,0.18,0.17,0.18,-0.09,-33.333336,645,3385,0.5566450585937501,False,REGULAR,USD
22,BAC200501C00024500,1587580261,24.5,0.11,0.11,0.12,-0.08,-42.105263,154,1121,0.5585981640625001,False,REGULAR,USD
23,BAC200501C00025000,1587580373,25.0,0.08,0.07,0.08,-0.049999997,-38.461536,242,3679,0.5625043750000001,False,REGULAR,USD
24,BAC200501C00025500,1587579463,25.5,0.05,0.05,0.06,-0.040000003,-44.444447,123,1320,0.585941640625,False,REGULAR,USD
25,BAC200501C00026000,1587580132,26.0,0.03,0.03,0.04,-0.03,-50.0,142,1797,0.585941640625,False,REGULAR,USD
26,BAC200501C00026500,1587577941,26.5,0.03,0.02,0.03,-0.020000001,-40.000004,61,807,0.6015664843750002,False,REGULAR,USD
27,BAC200501C00027000,1587578024,27.0,0.03,0.01,0.03,-0.01,-25.0,134,980,0.6250037500000001,False,REGULAR,USD
28,BAC200501C00027500,1587572378,27.5,0.02,0.01,0.03,0.0,0.0,20,777,0.6718782812500002,False,REGULAR,USD
29,BAC200501C00028000,1587577993,28.0,0.02,0.01,0.02,0.0,0.0,6,529,0.6875031250000001,False,REGULAR,USD
30,BAC200501C00028500,1587564765,28.5,0.03,0.01,0.03,-0.01,-25.0,2,114,0.7578149218750001,False,REGULAR,USD
31,BAC200501C00029000,1587477040,29.0,0.02,0.0,0.01,0.0,0.0,10,436,0.6562534375000001,False,REGULAR,USD
32,BAC200501C00029500,1587495955,29.5,0.02,0.0,0.01,0.0,0.0,6,256,0.7187528125,False,REGULAR,USD
33,BAC200501C00030000,1587497332,30.0,0.01,0.0,0.01,0.0,0.0,18,807,0.7500025,False,REGULAR,USD
