,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KHC200501C00017500,1586281549,17.5,9.71,10.7,12.0,0.0,0.0,6,1,1.6015644921874999,True,REGULAR,USD
1,KHC200501C00020000,1586881243,20.0,8.2,8.6,8.85,0.0,0.0,1,8,1.2265663671875,True,REGULAR,USD
2,KHC200501C00021500,1587487772,21.5,7.07,7.05,7.4,0.0,0.0,2,2,1.1328168359375002,True,REGULAR,USD
3,KHC200501C00022000,1587482231,22.0,6.65,6.55,6.9,0.0,0.0,4,14,1.05859845703125,True,REGULAR,USD
4,KHC200501C00022500,1585077544,22.5,2.3,5.95,6.55,0.0,0.0,8,10,1.2109414453124998,True,REGULAR,USD
5,KHC200501C00023000,1587131523,23.0,6.46,5.7,5.95,0.0,0.0,1,3,0.7500025,True,REGULAR,USD
6,KHC200501C00023500,1587059303,23.5,5.45,5.2,5.45,0.0,0.0,1,18,0.6875031250000001,True,REGULAR,USD
7,KHC200501C00024000,1587395815,24.0,6.04,4.75,5.0,0.0,0.0,2,23,0.73437765625,True,REGULAR,USD
8,KHC200501C00024500,1587141207,24.5,4.69,4.25,4.55,0.0,0.0,13,66,0.7070341796875,True,REGULAR,USD
9,KHC200501C00025000,1587046528,25.0,3.78,3.75,4.1,0.0,0.0,2,119,0.6718782812500002,True,REGULAR,USD
10,KHC200501C00025500,1587570395,25.5,3.37,1.89,3.7,-0.13000011,-3.714289,1,12,0.85742330078125,True,REGULAR,USD
11,KHC200501C00026000,1587577944,26.0,3.03,2.6,3.25,-0.06999993,-2.2580624,3,187,0.5273484765625001,True,REGULAR,USD
12,KHC200501C00026500,1587574869,26.5,2.67,1.86,2.83,-0.63999987,-19.335342,1,12,0.77148666015625,True,REGULAR,USD
13,KHC200501C00027000,1587577248,27.0,2.22,2.2,2.42,-0.12999988,-5.5319095,2,58,0.6621127539062501,True,REGULAR,USD
14,KHC200501C00027500,1587571590,27.5,1.86,1.83,2.12,-0.06999993,-3.6269395,5,18,0.6621127539062501,True,REGULAR,USD
15,KHC200501C00028000,1587578950,28.0,1.65,1.61,1.7,-0.04000008,-2.3668687,23,1158,0.6543003320312502,True,REGULAR,USD
16,KHC200501C00028500,1587578381,28.5,1.34,1.32,1.41,-0.049999952,-3.5971189,10,216,0.6455113574218749,True,REGULAR,USD
17,KHC200501C00029000,1587578972,29.0,1.12,1.06,1.12,0.060000062,5.660383,43,74,0.6279334082031252,False,REGULAR,USD
18,KHC200501C00029500,1587577209,29.5,0.88,0.84,0.9,0.01999998,2.3255792,9,487,0.622074091796875,False,REGULAR,USD
19,KHC200501C00030000,1587577656,30.0,0.66,0.64,0.68,-0.049999952,-7.042247,366,449,0.6035195898437502,False,REGULAR,USD
20,KHC200501C00031000,1587579442,31.0,0.39,0.35,0.4,-0.01000002,-2.500005,19,661,0.5898478515625001,False,REGULAR,USD
21,KHC200501C00032000,1587579102,32.0,0.2,0.17,0.23,-0.059999987,-23.076918,110,574,0.5820354296875,False,REGULAR,USD
22,KHC200501C00032500,1587566259,32.5,0.11,0.1,0.2,-0.060000002,-35.294117,9,70,0.58789474609375,False,REGULAR,USD
23,KHC200501C00033000,1587577993,33.0,0.11,0.05,0.13,-0.049999997,-31.25,2,39,0.5625043750000001,False,REGULAR,USD
24,KHC200501C00033500,1587411630,33.5,0.15,0.01,0.13,0.0,0.0,11,12,0.57617611328125,False,REGULAR,USD
25,KHC200501C00034000,1587403516,34.0,0.15,0.02,0.1,0.0,0.0,25,59,0.6015664843750002,False,REGULAR,USD
26,KHC200501C00035000,1587576343,35.0,0.04,0.01,0.07,-0.02,-33.333336,37,15,0.632816171875,False,REGULAR,USD
