,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PYPL200508C00086000,1587390300,86.0,24.85,29.15,29.6,0.0,0.0,,2.0,0.7334011035156249,True,REGULAR,USD
1,PYPL200508C00087000,1587390300,87.0,23.9,22.6,23.3,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,
2,PYPL200508C00087500,1587390300,87.5,23.45,22.0,22.65,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD
3,PYPL200508C00088500,1586184615,88.5,11.5,26.75,27.1,0.0,0.0,2.0,2.0,0.700198310546875,True,REGULAR,USD
4,PYPL200508C00090000,1587390300,90.0,21.15,25.4,25.6,0.0,0.0,,4.0,0.6972686523437501,True,REGULAR,USD
5,PYPL200508C00091000,1587355694,91.0,16.5,24.4,24.7,0.0,0.0,,,0.692385888671875,True,REGULAR,USD
6,PYPL200508C00092500,1586286159,92.5,12.1,23.0,23.3,0.0,0.0,1.0,20.0,0.6884796777343751,True,REGULAR,USD
7,PYPL200508C00093000,1586198702,93.0,10.6,22.6,22.85,0.0,0.0,1.0,0.0,0.6992217578125001,True,REGULAR,USD
8,PYPL200508C00094000,1587132489,94.0,18.74,21.7,21.95,0.0,0.0,1.0,4.0,0.700198310546875,True,REGULAR,USD
9,PYPL200508C00094500,1587476537,94.5,18.4,21.1,21.4,0.0,0.0,2.0,3.0,0.6650424121093752,True,REGULAR,USD
10,PYPL200508C00095000,1586888871,95.0,16.9,20.75,21.0,0.0,0.0,1.0,0.0,0.6850617431640625,True,REGULAR,USD
11,PYPL200508C00096000,1587569214,96.0,18.9,19.8,20.1,1.8999996,11.176469,1.0,1.0,0.6752962158203126,True,REGULAR,USD
12,PYPL200508C00096500,1587476536,96.5,16.6,19.4,19.65,0.0,0.0,1.0,0.0,0.6782258740234376,True,REGULAR,USD
13,PYPL200508C00097000,1587480990,97.0,14.52,18.95,19.15,0.0,0.0,3.0,1.0,0.6694368994140626,True,REGULAR,USD
14,PYPL200508C00097500,1587477191,97.5,15.75,18.4,18.65,0.0,0.0,2.0,2.0,0.6489292919921875,True,REGULAR,USD
15,PYPL200508C00098000,1587579321,98.0,17.6,18.05,18.25,2.3000002,15.0326805,1.0,8.0,0.6611362011718751,True,REGULAR,USD
16,PYPL200508C00098500,1587355695,98.5,14.3,17.6,17.8,0.0,0.0,,4.0,0.6562534375000001,True,REGULAR,USD
17,PYPL200508C00099000,1587143994,99.0,14.1,17.15,17.3,0.0,0.0,3.0,20.0,0.6459996337890624,True,REGULAR,USD
18,PYPL200508C00099500,1587355695,99.5,8.86,16.6,16.85,0.0,0.0,,2.0,0.63086306640625,True,REGULAR,USD
19,PYPL200508C00100000,1587412517,100.0,13.94,16.3,16.5,0.0,0.0,6.0,15.0,0.6479527392578125,True,REGULAR,USD
20,PYPL200508C00101000,1587399466,101.0,13.78,15.4,15.7,0.0,0.0,4.0,3.0,0.6425816992187501,True,REGULAR,USD
21,PYPL200508C00102000,1587132853,102.0,11.5,14.55,14.8,0.0,0.0,1.0,5.0,0.6306189282226562,True,REGULAR,USD
22,PYPL200508C00103000,1587573459,103.0,13.52,13.6,13.85,5.370001,65.88958,1.0,5.0,0.6054726953125001,True,REGULAR,USD
23,PYPL200508C00104000,1586367863,104.0,5.64,12.8,13.05,0.0,0.0,1.0,9.0,0.601810622558594,True,REGULAR,USD
24,PYPL200508C00105000,1587402683,105.0,10.95,12.05,12.3,0.0,0.0,3.0,25.0,0.6022988989257814,True,REGULAR,USD
25,PYPL200508C00106000,1587571124,106.0,10.55,11.3,11.5,3.5500002,50.71429,3.0,45.0,0.5961954443359375,True,REGULAR,USD
26,PYPL200508C00107000,1587498611,107.0,5.19,10.45,10.75,0.0,0.0,4.0,11.0,0.5847209497070311,True,REGULAR,USD
27,PYPL200508C00108000,1587563121,108.0,7.4,9.7,10.0,1.0500002,16.535437,1.0,20.0,0.577152666015625,True,REGULAR,USD
28,PYPL200508C00109000,1587572101,109.0,9.0,9.0,9.2,3.6999998,69.81131,8.0,272.0,0.5668988623046876,True,REGULAR,USD
29,PYPL200508C00110000,1587579274,110.0,8.07,8.3,8.5,3.0699997,61.399994,8.0,322.0,0.5600629931640625,True,REGULAR,USD
30,PYPL200508C00111000,1587580214,111.0,7.5,7.65,7.85,3.25,76.47059,47.0,197.0,0.555790574951172,True,REGULAR,USD
31,PYPL200508C00112000,1587576096,112.0,7.1,6.9,7.2,3.3799999,90.860214,46.0,33.0,0.5434615966796876,True,REGULAR,USD
32,PYPL200508C00113000,1587580464,113.0,6.34,6.3,6.55,2.5700002,68.16977,64.0,66.0,0.5363815893554689,True,REGULAR,USD
33,PYPL200508C00114000,1587579283,114.0,5.58,5.7,5.9,2.32,71.16564,79.0,70.0,0.526371923828125,True,REGULAR,USD
34,PYPL200508C00115000,1587580968,115.0,5.3,5.25,5.45,2.7500002,107.843155,280.0,91.0,0.5312546875,True,REGULAR,USD
35,PYPL200508C00116000,1587580969,116.0,4.79,4.6,4.9,2.18,83.52491,73.0,22.0,0.5179491564941407,False,REGULAR,USD
36,PYPL200508C00117000,1587579094,117.0,4.09,4.15,4.4,1.71,71.84874,14.0,12.0,0.5141650146484374,False,REGULAR,USD
37,PYPL200508C00118000,1587578943,118.0,3.65,3.65,3.9,1.6100001,78.92158,47.0,8.0,0.5046436254882812,False,REGULAR,USD
38,PYPL200508C00120000,1587579523,120.0,2.8,2.95,3.1,1.6999999,154.54546,443.0,203.0,0.5017139672851563,False,REGULAR,USD
39,PYPL200508C00125000,1587580884,125.0,1.51,1.45,1.59,0.96,174.54546,380.0,174.0,0.4892629199218751,False,REGULAR,USD
40,PYPL200508C00130000,1587580027,130.0,0.64,0.6,0.73,0.39,156.0,28.0,77.0,0.47485876708984376,False,REGULAR,USD
41,PYPL200508C00135000,1587580146,135.0,0.2,0.23,0.6,0.07000001,53.846165,40.0,116.0,0.5454147021484376,False,REGULAR,USD
42,PYPL200508C00140000,1587402961,140.0,0.09,,0.1,0.0,0.0,,,0.44922425781249997,False,REGULAR,
