,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNH200508P00120000,1586280594,120.0,0.24,0.01,3.4,0.0,0.0,,11,2.329105739746093,False,REGULAR,USD
1,UNH200508P00125000,1586288037,125.0,0.04,0.0,2.72,0.0,0.0,,21,2.1333054479980467,False,REGULAR,USD
2,UNH200508P00130000,1587495996,130.0,0.04,0.01,0.05,0.0,0.0,2.0,21,1.2343788281249999,False,REGULAR,USD
3,UNH200508P00140000,1586355819,140.0,0.97,0.0,4.05,0.0,0.0,,1,2.021489321289063,False,REGULAR,USD
4,UNH200508P00155000,1586893578,155.0,0.26,0.02,0.28,0.0,0.0,,2,1.15234798828125,False,REGULAR,USD
5,UNH200508P00175000,1586288037,175.0,0.53,0.01,2.42,0.0,0.0,,7,1.303714418945312,False,REGULAR,USD
6,UNH200508P00180000,1586964432,180.0,0.5,0.0,1.24,0.0,0.0,10.0,17,1.091801416015625,False,REGULAR,USD
7,UNH200508P00185000,1587482528,185.0,0.5,0.13,1.22,0.0,0.0,1.0,3,1.0483446020507814,False,REGULAR,USD
8,UNH200508P00195000,1586880096,195.0,1.01,0.08,0.59,0.0,0.0,1.0,0,0.8295915478515624,False,REGULAR,USD
9,UNH200508P00200000,1587477539,200.0,0.65,0.08,0.62,0.0,0.0,1.0,1,0.7841818457031251,False,REGULAR,USD
10,UNH200508P00210000,1585921784,210.0,9.18,0.24,1.61,0.0,0.0,2.0,2,0.8178729150390623,False,REGULAR,USD
11,UNH200508P00212500,1586190127,212.5,5.0,0.21,2.44,0.0,0.0,,1,0.8540053662109376,False,REGULAR,USD
12,UNH200508P00215000,1586788654,215.0,3.25,0.42,1.69,0.0,0.0,1.0,4,0.7841818457031251,False,REGULAR,USD
13,UNH200508P00217500,1587487864,217.5,1.3,0.12,1.76,0.0,0.0,2.0,13,0.7375514526367187,False,REGULAR,USD
14,UNH200508P00220000,1585921784,220.0,11.94,0.27,2.65,0.0,0.0,2.0,2,0.7849142602539063,False,REGULAR,USD
15,UNH200508P00222500,1586873785,222.5,2.94,0.24,2.92,0.0,0.0,10.0,10,0.770510107421875,False,REGULAR,USD
16,UNH200508P00225000,1587570845,225.0,1.1,0.12,2.05,-0.65,-37.142857,1.0,2,0.6774934594726563,False,REGULAR,USD
17,UNH200508P00230000,1587498672,230.0,1.99,0.11,2.72,0.0,0.0,13.0,13,0.6640658593750002,False,REGULAR,USD
18,UNH200508P00232500,1586375414,232.5,6.0,0.61,2.46,0.0,0.0,1.0,5,0.6491734301757812,False,REGULAR,USD
19,UNH200508P00235000,1585243226,235.0,17.4,1.17,2.6,0.0,0.0,,3,0.6561313684082033,False,REGULAR,USD
20,UNH200508P00237500,1587498342,237.5,2.45,1.29,2.9,0.0,0.0,2.0,1,0.6458775646972656,False,REGULAR,USD
21,UNH200508P00240000,1586958072,240.0,3.38,0.29,2.92,0.0,0.0,,11,0.570316796875,False,REGULAR,USD
22,UNH200508P00242500,1586799762,242.5,3.65,1.06,3.6,0.0,0.0,1.0,2,0.6052285571289064,False,REGULAR,USD
23,UNH200508P00245000,1586883249,245.0,4.7,0.57,4.35,0.0,0.0,1.0,5,0.5847209497070311,False,REGULAR,USD
24,UNH200508P00247500,1586788239,247.5,9.3,2.0,3.55,0.0,0.0,1.0,4,0.5767864587402343,False,REGULAR,USD
25,UNH200508P00250000,1587481573,250.0,4.07,1.11,4.05,0.0,0.0,10.0,21,0.5310105493164063,False,REGULAR,USD
26,UNH200508P00252500,1587484349,252.5,4.2,2.73,5.0,0.0,0.0,1.0,2,0.5827678442382812,False,REGULAR,USD
27,UNH200508P00255000,1587062723,255.0,5.5,3.05,4.65,0.0,0.0,2.0,4,0.5473678076171876,False,REGULAR,USD
28,UNH200508P00257500,1587130213,257.5,1.66,2.92,6.25,0.0,0.0,1.0,4,0.5542036767578126,False,REGULAR,USD
29,UNH200508P00260000,1587562822,260.0,4.5,3.75,5.45,-1.5500002,-25.619837,1.0,19,0.518681571044922,False,REGULAR,USD
30,UNH200508P00265000,1587062723,265.0,3.51,5.25,6.4,0.0,0.0,6.0,2,0.5050098327636718,False,REGULAR,USD
31,UNH200508P00270000,1587482434,270.0,8.5,6.5,8.05,0.0,0.0,6.0,15,0.524418818359375,False,REGULAR,USD
32,UNH200508P00272500,1587146974,272.5,6.15,7.15,8.5,0.0,0.0,1.0,2,0.49927258544921876,False,REGULAR,USD
33,UNH200508P00275000,1587562614,275.0,8.85,8.1,10.95,-0.8399992,-8.668723,3.0,20,0.556767127685547,False,REGULAR,USD
34,UNH200508P00280000,1587576482,280.0,10.5,10.2,11.95,-3.75,-26.31579,3.0,7,0.49561051269531253,True,REGULAR,USD
35,UNH200508P00285000,1587476414,285.0,18.0,12.5,14.4,0.0,0.0,4.0,8,0.4821829125976563,True,REGULAR,USD
36,UNH200508P00287500,1587476204,287.5,17.34,13.95,15.55,0.0,0.0,1.0,0,0.4668632415771484,True,REGULAR,USD
37,UNH200508P00290000,1587479125,290.0,17.61,15.35,18.0,0.0,0.0,4.0,13,0.5036670727539063,True,REGULAR,USD
38,UNH200508P00292500,1587390927,292.5,15.5,16.85,18.95,0.0,0.0,2.0,2,0.47241738525390625,True,REGULAR,USD
39,UNH200508P00295000,1587409579,295.0,16.99,18.45,21.25,0.0,0.0,2.0,4,0.4978077563476563,True,REGULAR,USD
40,UNH200508P00300000,1587355282,300.0,15.0,21.2,24.6,0.0,0.0,3.0,3,0.48242705078125003,True,REGULAR,USD
41,UNH200508P00310000,1587578492,310.0,30.2,29.95,33.1,6.800001,29.059835,2.0,10,0.5086719055175781,True,REGULAR,USD
