,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AIG200515C00010000,1587578788,10.0,12.3,12.1,12.6,-2.1999998,-15.172413,1.0,1,1.7734386328124998,True,REGULAR,USD
1,AIG200515C00015000,1585297283,15.0,6.9,7.8,8.4,0.0,0.0,50.0,50,1.759766826171875,True,REGULAR,USD
2,AIG200515C00018000,1587486467,18.0,5.05,4.7,5.0,0.0,0.0,10.0,15,1.0127002490234376,True,REGULAR,USD
3,AIG200515C00020000,1587497960,20.0,3.5,3.25,3.4,0.0,0.0,45.0,65,0.93164130859375,True,REGULAR,USD
4,AIG200515C00021000,1587575439,21.0,2.68,2.63,2.7,-2.9999998,-52.8169,1.0,43,0.8974619628906249,True,REGULAR,USD
5,AIG200515C00022000,1587578420,22.0,2.02,2.04,2.11,-0.13000011,-6.046517,11.0,145,0.8632826171875,True,REGULAR,USD
6,AIG200515C00023000,1587578420,23.0,1.52,1.56,1.62,-0.15999997,-9.523808,59.0,1353,0.84179845703125,False,REGULAR,USD
7,AIG200515C00024000,1587576886,24.0,1.17,1.13,1.19,-0.1500001,-11.363643,86.0,996,0.8095722167968749,False,REGULAR,USD
8,AIG200515C00025000,1587492195,25.0,0.91,0.8,0.85,0.0,0.0,15.0,593,0.7851583984375,False,REGULAR,USD
9,AIG200515C00026000,1587580296,26.0,0.55,0.54,0.59,-0.13,-19.117647,55.0,5950,0.7617211328125001,False,REGULAR,USD
10,AIG200515C00027000,1587575747,27.0,0.37,0.33,0.38,-0.099999994,-21.276594,7.0,425,0.72851833984375,False,REGULAR,USD
11,AIG200515C00028000,1587580836,28.0,0.22,0.21,0.25,-0.13,-37.142857,37.0,746,0.71679970703125,False,REGULAR,USD
12,AIG200515C00029000,1587150163,29.0,0.45,0.13,0.16,0.0,0.0,2.0,41,0.7050810742187501,False,REGULAR,USD
13,AIG200515C00030000,1587490071,30.0,0.16,0.07,0.11,0.0,0.0,31.0,1609,0.6972686523437501,False,REGULAR,USD
14,AIG200515C00031000,1587482208,31.0,0.09,0.0,0.13,0.0,0.0,5.0,729,0.710940390625,False,REGULAR,USD
15,AIG200515C00032000,1586873949,32.0,0.19,0.0,0.1,0.0,0.0,1.0,234,0.7304714453125,False,REGULAR,USD
16,AIG200515C00033000,1587484162,33.0,0.05,0.0,0.08,0.0,0.0,13.0,40,0.7539087109375,False,REGULAR,USD
17,AIG200515C00034000,1586364738,34.0,0.45,0.0,0.08,0.0,0.0,9.0,17,0.8007832421875,False,REGULAR,USD
18,AIG200515C00035000,1587390191,35.0,0.08,0.0,0.09,0.0,0.0,10.0,346,0.85937640625,False,REGULAR,USD
19,AIG200515C00036000,1586893082,36.0,0.08,0.0,0.07,0.0,0.0,10.0,77,0.8710950390625,False,REGULAR,USD
20,AIG200515C00037000,1585842983,37.0,0.1,0.0,0.07,0.0,0.0,25.0,50,0.914063359375,False,REGULAR,USD
21,AIG200515C00038000,1587573816,38.0,0.03,0.0,0.04,0.0,0.0,20.0,255,0.8828136718749999,False,REGULAR,USD
22,AIG200515C00039000,1583726992,39.0,2.32,0.0,0.37,0.0,0.0,,1,1.3007847460937496,False,REGULAR,USD
23,AIG200515C00040000,1585163294,40.0,0.31,0.0,0.01,0.0,0.0,6.0,279,0.8125018749999999,False,REGULAR,USD
24,AIG200515C00041000,1583524480,41.0,0.37,0.0,0.4,0.0,0.0,14.0,13,1.408206083984375,False,REGULAR,USD
25,AIG200515C00042000,1586360567,42.0,0.49,0.0,0.07,0.0,0.0,1.0,131,1.09375453125,False,REGULAR,USD
26,AIG200515C00043000,1586360567,43.0,0.01,0.0,0.07,0.0,0.0,1.0,24,1.1328168359375002,False,REGULAR,USD
27,AIG200515C00044000,1584039776,44.0,0.2,0.0,0.34,0.0,0.0,13.0,73,1.482424462890625,False,REGULAR,USD
28,AIG200515C00045000,1585158121,45.0,0.1,0.0,0.1,0.0,0.0,1.0,360,1.2500037499999999,False,REGULAR,USD
29,AIG200515C00046000,1585326074,46.0,0.05,0.0,0.07,0.0,0.0,35.0,92,1.2265663671875,False,REGULAR,USD
30,AIG200515C00047000,1585577244,47.0,0.05,0.0,0.07,0.0,0.0,2.0,92,1.2500037499999999,False,REGULAR,USD
31,AIG200515C00048000,1584377276,48.0,0.31,0.0,0.07,0.0,0.0,28.0,29,1.2812535937499998,False,REGULAR,USD
32,AIG200515C00049000,1583524263,49.0,0.21,0.0,0.0,0.0,0.0,4.0,164,0.500005,False,REGULAR,USD
33,AIG200515C00050000,1586790515,50.0,0.09,0.0,0.01,0.0,0.0,12.0,1323,1.09375453125,False,REGULAR,USD
34,AIG200515C00052500,1587151668,52.5,0.03,0.0,0.07,0.0,0.0,34.0,2156,1.40625296875,False,REGULAR,USD
35,AIG200515C00055000,1586444073,55.0,0.06,0.0,0.1,0.0,0.0,2.0,1028,1.5390648046875,False,REGULAR,USD
36,AIG200515C00057500,1584625195,57.5,0.3,0.0,0.05,0.0,0.0,10.0,413,1.46875265625,False,REGULAR,USD
37,AIG200515C00060000,1587569840,60.0,0.05,0.0,0.08,0.030000001,150.00002,25.0,509,1.609376953125,False,REGULAR,USD
38,AIG200515C00062500,1586199256,62.5,0.01,0.0,0.08,0.0,0.0,15.0,155,1.6640641796875002,False,REGULAR,USD
39,AIG200515C00065000,1582743451,65.0,0.01,0.0,0.38,0.0,0.0,1.0,587,2.1328171679687498,False,REGULAR,USD
40,AIG200515C00070000,1570034802,70.0,0.33,0.14,0.3,0.0,0.0,,0,2.2968792578125,False,REGULAR,USD
