,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CL200515C00032500,1586187263,32.5,37.1,38.25,38.8,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
1,CL200515C00045000,1587138440,45.0,27.29,25.95,26.65,0.0,0.0,1.0,1.0,1.0654343603515626,True,REGULAR,USD
2,CL200515C00047500,1585297173,47.5,21.78,19.3,20.85,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
3,CL200515C00050000,1585148231,50.0,13.0,20.55,21.9,0.0,0.0,50.0,0.0,0.9848634326171876,True,REGULAR,USD
4,CL200515C00055000,1586359031,55.0,15.01,16.05,16.55,0.0,0.0,1.0,0.0,0.6074258007812501,True,REGULAR,USD
5,CL200515C00057500,1586976236,57.5,15.5,13.7,14.15,0.0,0.0,10.0,10.0,0.570316796875,True,REGULAR,USD
6,CL200515C00060000,1587411050,60.0,12.85,11.3,11.7,0.0,0.0,1.0,41.0,0.4995167236328125,True,REGULAR,USD
7,CL200515C00062500,1587565007,62.5,9.13,9.05,9.45,-0.10999966,-1.1904725,3.0,184.0,0.47998566894531247,True,REGULAR,USD
8,CL200515C00065000,1587050846,65.0,8.12,6.85,7.2,0.0,0.0,2.0,530.0,0.4321345849609375,True,REGULAR,USD
9,CL200515C00067500,1587564083,67.5,5.15,4.95,5.35,-1.31,-20.278637,2.0,2009.0,0.4279842358398438,True,REGULAR,USD
10,CL200515C00070000,1587580426,70.0,3.35,3.3,3.4,0.049999952,1.5151501,52.0,1849.0,0.36865865722656255,True,REGULAR,USD
11,CL200515C00072000,1587412220,72.0,2.85,2.22,2.47,0.0,0.0,,,0.3789124609375,False,REGULAR,
12,CL200515C00072500,1587579454,72.5,1.97,1.98,2.07,0.00999999,0.5102036,88.0,4397.0,0.35352208984374994,False,REGULAR,USD
13,CL200515C00073000,1587412025,73.0,2.5,1.75,2.03,0.0,0.0,,,0.37573866455078125,False,REGULAR,
14,CL200515C00073500,1587412475,73.5,2.18,1.49,1.81,0.0,0.0,,1.0,0.3711000390625,False,REGULAR,USD
15,CL200515C00074000,1587411398,74.0,2.09,1.35,1.59,0.0,0.0,,,0.36426416992187505,False,REGULAR,USD
16,CL200515C00074500,1587405794,74.5,1.94,1.16,1.3,0.0,0.0,,1.0,0.344733115234375,False,REGULAR,USD
17,CL200515C00075000,1587573725,75.0,1.06,1.0,1.12,0.03999996,3.921565,26.0,8260.0,0.33887379882812496,False,REGULAR,USD
18,CL200515C00075500,1587405794,75.5,1.52,0.83,1.07,0.0,0.0,,1.0,0.35156898437499995,False,REGULAR,USD
19,CL200515C00076000,1587404506,76.0,1.32,0.7,1.3,0.0,0.0,,1.0,0.4089414575195312,False,REGULAR,USD
20,CL200515C00077000,1587399754,77.0,0.95,0.52,0.65,0.0,0.0,,2.0,0.33374689697265625,False,REGULAR,USD
21,CL200515C00077500,1587578776,77.5,0.51,0.46,0.54,-0.09000003,-15.000006,7.0,4601.0,0.32813171874999997,False,REGULAR,USD
22,CL200515C00078000,1587480929,78.0,0.5,0.36,0.6,-0.20999998,-29.577463,250.0,,0.3569400244140625,False,REGULAR,
23,CL200515C00079000,1587394438,79.0,0.5,0.28,0.41,0.0,0.0,,,0.3442448388671875,False,REGULAR,USD
24,CL200515C00080000,1587579790,80.0,0.24,0.2,0.28,-0.030000016,-11.111116,4.0,6165.0,0.335944140625,False,REGULAR,USD
25,CL200515C00082500,1587486868,82.5,0.1,0.05,0.1,0.0,0.0,30.0,120.0,0.32129584960937496,False,REGULAR,USD
26,CL200515C00085000,1586460297,85.0,0.31,0.0,0.12,0.0,0.0,3.0,214.0,0.38672488281249995,False,REGULAR,USD
27,CL200515C00090000,1584973706,90.0,0.11,0.0,0.06,0.0,0.0,10.0,10.0,0.4335994140625,False,REGULAR,USD
28,CL200515C00095000,1584122939,95.0,0.25,0.13,0.14,0.0,0.0,3.0,23.0,0.585941640625,False,REGULAR,USD
29,CL200515C00100000,1585297173,100.0,0.2,,0.04,0.0,0.0,,1.0,0.5625043750000001,False,REGULAR,USD
