,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GILD200522C00060000,1587398440,60.0,23.94,20.2,23.9,0.0,0.0,3.0,3.0,0.8471694970703124,True,REGULAR,USD
1,GILD200522C00065000,1587355308,65.0,19.5,16.85,18.05,0.0,0.0,,8.0,0.7573266455078126,True,REGULAR,USD
2,GILD200522C00067000,1587390215,67.0,18.28,15.15,17.65,0.0,0.0,1.0,1.0,0.8461929443359374,True,REGULAR,USD
3,GILD200522C00067500,1587390215,67.5,17.91,14.75,17.6,0.0,0.0,1.0,1.0,0.8684095190429688,True,REGULAR,USD
4,GILD200522C00068500,1587570318,68.5,13.75,13.95,15.25,4.5600004,49.619156,1.0,1.0,0.7385280053710936,True,REGULAR,USD
5,GILD200522C00069000,1587399677,69.0,15.79,13.55,14.8,0.0,0.0,,1.0,0.7304714453125,True,REGULAR,USD
6,GILD200522C00070000,1587570825,70.0,12.75,12.85,14.0,-2.42,-15.952538,2.0,31.0,0.7280300634765625,True,REGULAR,USD
7,GILD200522C00071000,1586965776,71.0,7.25,11.05,14.4,0.0,0.0,2.0,5.0,0.729494892578125,True,REGULAR,USD
8,GILD200522C00072000,1587389409,72.0,12.91,10.6,12.0,0.0,0.0,,,0.6293982373046876,True,REGULAR,USD
9,GILD200522C00073000,1587572761,73.0,10.5,9.9,12.9,-2.5200005,-19.354841,1.0,28.0,0.7329128271484374,True,REGULAR,USD
10,GILD200522C00073500,1587133640,73.5,12.53,9.3,11.6,0.0,0.0,1.0,37.0,0.6535679174804689,True,REGULAR,USD
11,GILD200522C00074000,1587564031,74.0,10.0,8.35,11.25,-1.7200003,-14.67577,2.0,35.0,0.6130409790039064,True,REGULAR,USD
12,GILD200522C00074500,1587575166,74.5,9.52,9.85,10.9,-1.5,-13.611614,4.0,27.0,0.7236355761718749,True,REGULAR,USD
13,GILD200522C00075000,1587407098,75.0,11.04,7.65,10.85,0.0,0.0,15.0,275.0,0.6252478881835939,True,REGULAR,USD
14,GILD200522C00075500,1587486352,75.5,8.71,7.3,11.0,0.0,0.0,4.0,13.0,0.6506382592773439,True,REGULAR,USD
15,GILD200522C00076000,1587477396,76.0,9.95,8.95,10.0,0.0,0.0,2.0,3.0,0.7236355761718749,True,REGULAR,USD
16,GILD200522C00076500,1587152572,76.5,11.0,8.7,9.5,0.0,0.0,8.0,20.0,0.7136259106445313,True,REGULAR,USD
17,GILD200522C00077000,1587139410,77.0,10.2,8.4,9.15,0.0,0.0,20.0,23.0,0.7087431469726562,True,REGULAR,USD
18,GILD200522C00077500,1587132933,77.5,9.82,8.4,10.1,0.0,0.0,3.0,26.0,0.7924825439453125,True,REGULAR,USD
19,GILD200522C00078000,1587498624,78.0,7.52,7.95,10.55,0.0,0.0,11.0,22.0,0.8217791259765624,True,REGULAR,USD
20,GILD200522C00078500,1587152569,78.5,9.7,7.65,8.4,0.0,0.0,13.0,36.0,0.7155790161132812,True,REGULAR,USD
21,GILD200522C00079000,1587577504,79.0,7.5,7.6,8.3,0.40999985,5.78279,7.0,37.0,0.735354208984375,True,REGULAR,USD
22,GILD200522C00080000,1587577595,80.0,7.0,6.95,9.05,0.4499998,6.870226,26.0,223.0,0.7939473730468749,True,REGULAR,USD
23,GILD200522C00081000,1587487466,81.0,6.03,6.65,9.15,0.0,0.0,5.0,23.0,0.8332536206054686,True,REGULAR,USD
24,GILD200522C00081500,1587410110,81.5,7.13,5.95,6.65,0.0,0.0,,,0.6868927795410158,False,REGULAR,
25,GILD200522C00082000,1587480863,82.0,6.65,5.7,6.5,-0.75,-10.135135,1.0,,0.6892120922851563,False,REGULAR,USD
26,GILD200522C00082500,1587477925,82.5,6.8,5.5,6.3,0.4300003,6.750397,,,0.6910431286621095,False,REGULAR,USD
27,GILD200522C00083000,1587481126,83.0,6.1,5.3,6.25,-0.5,-7.5757575,1.0,,0.700198310546875,False,REGULAR,
28,GILD200522C00083500,1587402139,83.5,6.8,5.2,6.1,0.0,0.0,,,0.7084990087890625,False,REGULAR,
29,GILD200522C00084000,1587577893,84.0,5.25,5.35,7.05,0.05000019,0.9615422,1.0,15.0,0.788088056640625,False,REGULAR,USD
30,GILD200522C00084500,1587476047,84.5,5.15,4.8,5.75,-0.9499998,-15.573769,,,0.7104521142578125,False,REGULAR,
31,GILD200522C00085000,1587573732,85.0,4.92,4.85,5.5,0.32000017,6.9565253,4.0,429.0,0.7199735034179688,False,REGULAR,USD
32,GILD200522C00085500,1587577871,85.5,5.3,4.7,7.4,-0.3699999,-6.525571,1.0,5.0,0.8330094824218748,False,REGULAR,USD
33,GILD200522C00086000,1587412632,86.0,5.19,3.45,6.65,0.0,0.0,,,0.7453638745117188,False,REGULAR,
34,GILD200522C00087000,1587577817,87.0,4.5,4.1,6.4,-0.3499999,-7.2164936,17.0,12.0,0.8039570385742187,False,REGULAR,USD
35,GILD200522C00088000,1587580390,88.0,4.3,4.05,6.4,-1.1999998,-21.818178,1.0,12.0,0.8371598315429687,False,REGULAR,USD
36,GILD200522C00089000,1587400010,89.0,5.1,1.71,4.45,0.0,0.0,,1.0,0.6323278955078125,False,REGULAR,USD
37,GILD200522C00090000,1587579888,90.0,3.8,1.1,4.6,1.05,38.181816,30.0,380.0,0.6367223828125,False,REGULAR,USD
38,GILD200522C00095000,1587577596,95.0,2.47,2.15,3.0,0.26999998,12.272726,5.0,526.0,0.7426783544921874,False,REGULAR,USD
39,GILD200522C00100000,1587579915,100.0,1.79,1.7,2.0,-0.36000013,-16.744192,71.0,469.0,0.7614769946289064,False,REGULAR,USD
40,GILD200522C00105000,1587577263,105.0,1.25,1.07,1.5,-0.40999997,-24.698793,16.0,136.0,0.770510107421875,False,REGULAR,USD
41,GILD200522C00110000,1587578140,110.0,0.95,0.9,1.1,0.34999996,58.333324,8.0,159.0,0.8029804858398437,False,REGULAR,USD
