,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KMI200522C00014500,1587574762,14.5,1.05,0.97,1.21,-0.36,-25.531918,5.0,11,0.5429733203125001,True,REGULAR,USD
1,KMI200522C00015000,1587133283,15.0,0.71,0.71,0.93,0.0,0.0,1.0,566,0.52539537109375,False,REGULAR,USD
2,KMI200522C00015500,1587492250,15.5,0.51,0.48,0.7,0.0,0.0,15.0,1828,0.50586431640625,False,REGULAR,USD
3,KMI200522C00016000,1587569433,16.0,0.36,0.3,0.53,0.0,0.0,10.0,26,0.567387138671875,False,REGULAR,USD
4,KMI200522C00016500,1587396588,16.5,0.35,0.16,0.38,0.0,0.0,8.0,761,0.5537154003906251,False,REGULAR,USD
5,KMI200522C00017000,1587411268,17.0,0.14,0.1,0.28,0.0,0.0,3.0,5,0.5537154003906251,False,REGULAR,USD
6,KMI200522C00017500,1586461520,17.5,0.32,0.02,0.19,0.0,0.0,62.0,68,0.5410202148437502,False,REGULAR,USD
7,KMI200522C00018000,1586785682,18.0,0.15,0.0,0.15,0.0,0.0,,7,0.5585981640625001,False,REGULAR,USD
8,KMI200522C00018500,1586268434,18.5,0.18,0.0,0.16,0.0,0.0,,1,0.5214891601562499,False,REGULAR,USD
9,KMI200522C00019000,1587355888,19.0,0.12,,0.19,0.0,0.0,,5,0.7070341796875,False,REGULAR,USD
10,KMI200522C00020000,1587355888,20.0,0.2,,0.35,0.0,0.0,,2,0.96289099609375,False,REGULAR,USD
