,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,HON200529C00131000,1587146917,131.0,13.1,9.2,9.9,0.0,0.0,1.0,1,0.5062305236816407,True,REGULAR,USD
1,HON200529C00135000,1587563276,135.0,7.85,6.95,7.65,-3.2000003,-28.959278,5.0,22,0.4862111926269531,False,REGULAR,USD
2,HON200529C00136000,1587355674,136.0,8.14,6.35,6.95,0.0,0.0,,30,0.47046427978515626,False,REGULAR,USD
3,HON200529C00137000,1587405530,137.0,8.41,5.85,6.5,0.0,0.0,1.0,2,0.4682670361328125,False,REGULAR,USD
4,HON200529C00142000,1587355674,142.0,7.55,3.8,4.35,0.0,0.0,4.0,4,0.4456842541503906,False,REGULAR,USD
5,HON200529C00143000,1587049245,143.0,4.02,3.45,4.0,0.0,0.0,2.0,2,0.442388388671875,False,REGULAR,USD
6,HON200529C00148000,1586977444,148.0,3.55,1.86,2.5,0.0,0.0,,1,0.4243221630859375,False,REGULAR,USD
7,HON200529C00150000,1587489725,150.0,1.75,1.45,1.8,0.0,0.0,55.0,56,0.3986876538085938,False,REGULAR,USD
8,HON200529C00155000,1587401880,155.0,1.6,0.11,1.36,0.0,0.0,,131,0.4233456103515625,False,REGULAR,USD
9,HON200529C00170000,1587355674,170.0,0.37,0.0,0.23,0.0,0.0,,1,0.40039662109375,False,REGULAR,USD
