,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABBV200619C00035000,1581021835,35.0,52.1,52.65,54.35,0.0,0.0,2.0,1,2.7055696423339843,True,REGULAR,USD
1,ABBV200619C00040000,1585242799,40.0,37.33,32.0,36.35,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,ABBV200619C00042500,1570734361,42.5,31.77,42.55,43.2,0.0,0.0,1.0,2,1.7026382055664064,True,REGULAR,USD
3,ABBV200619C00045000,1585243698,45.0,23.8,27.0,31.55,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
4,ABBV200619C00047500,1570735911,47.5,26.9,37.55,38.3,0.0,0.0,21.0,0,1.4855982751464842,True,REGULAR,USD
5,ABBV200619C00050000,1586806247,50.0,29.8,31.45,33.5,0.0,0.0,16.0,6,0.8188494677734374,True,REGULAR,USD
6,ABBV200619C00055000,1586804229,55.0,24.8,27.15,27.6,0.0,0.0,4.0,5,0.65820654296875,True,REGULAR,USD
7,ABBV200619C00057500,1586894337,57.5,25.1,24.9,25.4,0.0,0.0,3.0,10,0.6640658593750002,True,REGULAR,USD
8,ABBV200619C00060000,1587498413,60.0,21.6,22.4,22.85,0.0,0.0,3.0,48,0.59570716796875,True,REGULAR,USD
9,ABBV200619C00062500,1587052708,62.5,21.8,20.15,20.65,0.0,0.0,2.0,7,0.5839885351562499,True,REGULAR,USD
10,ABBV200619C00065000,1587486553,65.0,16.7,17.95,18.5,0.0,0.0,2.0,118,0.5690961059570312,True,REGULAR,USD
11,ABBV200619C00067500,1587398029,67.5,18.75,15.7,16.15,0.0,0.0,3.0,385,0.5293015820312501,True,REGULAR,USD
12,ABBV200619C00070000,1587475813,70.0,14.32,13.5,14.1,0.0,0.0,2.0,1152,0.5051319018554687,True,REGULAR,USD
13,ABBV200619C00072500,1587573367,72.5,12.08,11.45,11.75,1.0199995,9.222419,15.0,1633,0.4804739453125,True,REGULAR,USD
14,ABBV200619C00075000,1587572263,75.0,9.5,9.5,9.95,0.5,5.5555553,25.0,1540,0.46960979614257814,True,REGULAR,USD
15,ABBV200619C00077500,1587488021,77.5,7.3,7.75,8.15,0.0,0.0,4.0,1120,0.44727115234375,True,REGULAR,USD
16,ABBV200619C00080000,1587579585,80.0,6.2,6.25,6.5,0.5,8.77193,71.0,12778,0.42578699218750005,True,REGULAR,USD
17,ABBV200619C00082500,1587576561,82.5,5.0,4.75,5.15,0.6500001,14.942531,107.0,2765,0.4149228430175781,False,REGULAR,USD
18,ABBV200619C00085000,1587579048,85.0,3.65,3.45,3.8,0.45000005,14.062501,140.0,5729,0.39050902465820314,False,REGULAR,USD
19,ABBV200619C00087500,1587577889,87.5,2.75,2.5,2.84,0.089999914,3.3834553,81.0,4409,0.38184211914062494,False,REGULAR,USD
20,ABBV200619C00090000,1587579613,90.0,1.8,1.8,2.07,0.049999952,2.85714,172.0,9831,0.37415176635742187,False,REGULAR,USD
21,ABBV200619C00092500,1587574741,92.5,1.27,1.18,1.47,0.19999993,18.69158,20.0,1923,0.36743796630859377,False,REGULAR,USD
22,ABBV200619C00095000,1587579067,95.0,0.84,0.76,1.14,0.0,0.0,96.0,4047,0.37573866455078125,False,REGULAR,USD
23,ABBV200619C00097500,1587579355,97.5,0.58,0.48,0.72,0.14999998,34.883717,1.0,1359,0.3610903735351562,False,REGULAR,USD
24,ABBV200619C00100000,1587572768,100.0,0.39,0.34,0.4,0.03999999,11.428569,7.0,5081,0.3413151806640625,False,REGULAR,USD
25,ABBV200619C00105000,1587577176,105.0,0.27,0.09,0.3,0.110000014,68.750015,9.0,1451,0.37842418457031246,False,REGULAR,USD
26,ABBV200619C00110000,1587572752,110.0,0.09,0.02,0.16,-0.009999998,-9.999997,2.0,1240,0.3857483300781249,False,REGULAR,USD
27,ABBV200619C00115000,1587142161,115.0,0.11,0.0,0.11,0.0,0.0,2.0,2836,0.407232490234375,False,REGULAR,USD
28,ABBV200619C00120000,1587566404,120.0,0.02,0.0,0.08,0.0,0.0,10.0,1080,0.42969320312500003,False,REGULAR,USD
29,ABBV200619C00125000,1587410324,125.0,0.02,0.0,0.09,0.0,0.0,1.0,130,0.47461462890625,False,REGULAR,USD
30,ABBV200619C00130000,1587573430,130.0,0.02,0.0,0.02,0.01,100.0,1.0,1061,0.42969320312500003,False,REGULAR,USD
31,ABBV200619C00135000,1586881365,135.0,0.04,0.0,0.08,0.0,0.0,150.0,159,0.5380905566406251,False,REGULAR,USD
32,ABBV200619C00140000,1581441427,140.0,0.02,0.0,0.38,0.0,0.0,5.0,0,0.6425816992187501,False,REGULAR,USD
33,ABBV200619C00145000,1585575124,145.0,0.06,0.0,0.07,0.0,0.0,1.0,769,0.5468795312500001,False,REGULAR,USD
