,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MET200619C00015000,1587401640,15.0,17.85,16.6,17.3,0.0,0.0,10.0,13,1.087895185546875,True,REGULAR,USD
1,MET200619C00017500,1586353683,17.5,14.8,14.2,14.75,0.0,0.0,9.0,45,0.9160164648437501,True,REGULAR,USD
2,MET200619C00020000,1585923439,20.0,11.35,12.0,12.3,0.0,0.0,1.0,18,0.8623060644531251,True,REGULAR,USD
3,MET200619C00022500,1586289520,22.5,9.9,9.8,10.05,0.0,0.0,20.0,39,0.8095722167968749,True,REGULAR,USD
4,MET200619C00025000,1585936768,25.0,8.2,7.65,7.8,0.0,0.0,12.0,162,0.7246121289062499,True,REGULAR,USD
5,MET200619C00027500,1587151988,27.5,6.6,5.7,5.9,0.0,0.0,90.0,667,0.6792024267578126,True,REGULAR,USD
6,MET200619C00030000,1587571143,30.0,4.25,4.0,4.15,0.1500001,3.658539,1.0,647,0.6274451318359376,True,REGULAR,USD
7,MET200619C00032500,1587575467,32.5,2.58,2.55,2.72,-0.17000008,-6.181821,2.0,769,0.579105771484375,False,REGULAR,USD
8,MET200619C00035000,1587576204,35.0,1.49,1.5,1.63,-0.059999943,-3.870964,19.0,4988,0.5415084912109377,False,REGULAR,USD
9,MET200619C00037500,1587575287,37.5,0.83,0.77,0.89,-0.050000012,-5.6818194,18.0,322,0.507817421875,False,REGULAR,USD
10,MET200619C00040000,1587573061,40.0,0.44,0.37,0.45,-0.03999999,-8.333331,35.0,564,0.500005,False,REGULAR,USD
11,MET200619C00042500,1587565815,42.5,0.22,0.14,0.23,0.019999996,9.999997,1.0,692,0.4931691308593751,False,REGULAR,USD
12,MET200619C00045000,1587153002,45.0,0.12,0.0,0.15,0.0,0.0,1.0,1006,0.514653291015625,False,REGULAR,USD
13,MET200619C00047500,1587568054,47.5,0.05,0.0,0.08,0.0,0.0,11.0,17460,0.51562984375,False,REGULAR,USD
14,MET200619C00050000,1587399359,50.0,0.03,0.0,0.23,0.0,0.0,10.0,12798,0.6035195898437502,False,REGULAR,USD
15,MET200619C00052500,1586978699,52.5,0.1,0.01,0.18,0.0,0.0,163.0,6110,0.632816171875,False,REGULAR,USD
16,MET200619C00055000,1587578987,55.0,0.06,0.0,0.12,0.04,200.0,18.0,6353,0.6347692773437501,False,REGULAR,USD
17,MET200619C00057500,1587134151,57.5,0.26,0.0,0.17,0.0,0.0,10.0,318,0.710940390625,False,REGULAR,USD
18,MET200619C00060000,1583947870,60.0,0.01,0.0,0.2,0.0,0.0,1.0,1250,0.77148666015625,False,REGULAR,USD
19,MET200619C00065000,1584388673,65.0,0.06,0.0,0.22,0.0,0.0,,15,0.86132951171875,False,REGULAR,USD
