,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,QCOM200619P00030000,1587149495,30.0,0.04,0.02,0.07,0.0,0.0,5.0,23,0.937500625,False,REGULAR,USD
1,QCOM200619P00035000,1587563419,35.0,0.1,0.08,0.12,0.0,0.0,3.0,155,0.8789074609374999,False,REGULAR,USD
2,QCOM200619P00040000,1587499139,40.0,0.25,0.09,0.25,0.0,0.0,1.0,532,0.79883013671875,False,REGULAR,USD
3,QCOM200619P00045000,1587481882,45.0,0.47,0.28,0.39,0.0,0.0,2.0,572,0.752932158203125,False,REGULAR,USD
4,QCOM200619P00050000,1587496640,50.0,0.83,0.54,0.63,0.0,0.0,82.0,2541,0.6997100341796876,False,REGULAR,USD
5,QCOM200619P00052500,1587569315,52.5,0.84,0.73,0.81,-0.21999997,-20.754715,1.0,66,0.676761044921875,False,REGULAR,USD
6,QCOM200619P00055000,1587580899,55.0,0.98,0.97,1.05,-0.42999995,-30.496452,60.0,7419,0.6555210229492189,False,REGULAR,USD
7,QCOM200619P00057500,1587485565,57.5,1.7,1.28,1.36,0.0,0.0,62.0,5701,0.6364782446289063,False,REGULAR,USD
8,QCOM200619P00060000,1587580899,60.0,1.66,1.66,1.76,-0.49000013,-22.790703,69.0,3177,0.6189002954101563,False,REGULAR,USD
9,QCOM200619P00062500,1587580775,62.5,2.18,2.13,2.22,-0.72,-24.827585,16.0,2368,0.5998575170898439,False,REGULAR,USD
10,QCOM200619P00065000,1587576725,65.0,2.88,2.72,2.83,-0.6199999,-17.714283,69.0,2088,0.5854533642578125,False,REGULAR,USD
11,QCOM200619P00067500,1587580031,67.5,3.53,3.4,3.55,-1.0699999,-23.26087,295.0,2826,0.5694623132324219,False,REGULAR,USD
12,QCOM200619P00070000,1587579676,70.0,4.4,4.25,4.4,-0.8499999,-16.190474,979.0,4787,0.5559126440429689,False,REGULAR,USD
13,QCOM200619P00072500,1587579498,72.5,5.4,5.25,5.4,-1.2999997,-19.40298,180.0,1688,0.5434615966796876,False,REGULAR,USD
14,QCOM200619P00075000,1587572304,75.0,7.0,6.4,6.55,-0.80999994,-10.371318,17.0,3030,0.5312546875,True,REGULAR,USD
15,QCOM200619P00077500,1587576556,77.5,8.0,7.75,7.9,-1.25,-13.513514,7.0,2270,0.523320196533203,True,REGULAR,USD
16,QCOM200619P00080000,1587574819,80.0,9.81,9.2,9.4,0.89000034,9.977582,39.0,3850,0.5134326000976561,True,REGULAR,USD
17,QCOM200619P00082500,1587580464,82.5,10.92,10.8,11.05,-0.32999992,-2.9333327,2.0,3259,0.5037891418457032,True,REGULAR,USD
18,QCOM200619P00085000,1587570827,85.0,13.69,12.65,12.9,-1.2200003,-8.18243,10.0,1341,0.5025684509277344,True,REGULAR,USD
19,QCOM200619P00087500,1587064784,87.5,13.51,14.55,14.85,0.0,0.0,7.0,962,0.5130663928222656,True,REGULAR,USD
20,QCOM200619P00090000,1587484693,90.0,18.7,16.6,17.15,0.0,0.0,1.0,1048,0.5090381127929688,True,REGULAR,USD
21,QCOM200619P00092500,1587150249,92.5,18.04,18.9,19.3,0.0,0.0,14.0,588,0.5190477783203125,True,REGULAR,USD
22,QCOM200619P00095000,1587065166,95.0,19.65,21.2,21.6,0.0,0.0,3.0,149,0.5324753784179688,True,REGULAR,USD
23,QCOM200619P00097500,1585853984,97.5,30.9,23.45,23.9,0.0,0.0,10.0,28,0.5361374511718751,True,REGULAR,USD
24,QCOM200619P00100000,1587481896,100.0,28.61,25.85,26.3,0.0,0.0,1.0,38,0.5542036767578126,True,REGULAR,USD
25,QCOM200619P00105000,1585672453,105.0,37.24,30.7,31.35,0.0,0.0,3.0,58,0.6088906298828126,True,REGULAR,USD
26,QCOM200619P00110000,1586289006,110.0,37.2,35.7,36.1,0.0,0.0,1.0,11,0.6420934228515626,True,REGULAR,USD
27,QCOM200619P00115000,1579277764,115.0,21.6,27.1,28.35,0.0,0.0,2.0,29,1.0000000000000003e-05,True,REGULAR,USD
28,QCOM200619P00120000,1576006117,120.0,36.3,30.05,30.95,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD
29,QCOM200619P00125000,1585296463,125.0,38.2,60.15,60.0,0.0,0.0,2.0,8,1.8344734838867183,True,REGULAR,USD
30,QCOM200619P00130000,1585296463,130.0,43.9,56.85,57.55,0.0,0.0,,18,1.0744675183105472,True,REGULAR,USD
